Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Anderson, Jed",,,,,,,,-,-,-,1,4,2,1,1,3,-,1,-,2,-,,15.0
"Archer, Jackson",,,,,,,,,,,,,,3,,,,,4,,3,,10.0
"Bergman, Miller",,,,,,,-,,,,,,,,,,,,,,,,
"Bonar, Aiden",,-,-,-,,,5,,,,,,,1,,1,3,5,2,,,2,19.0
"Bosenavulagi, Atu",,,,1,-,-,2,2,1,-,,1,,,1,,,,,,,,8.0
"Coleman-Jones, Callum",-,,,,,,-,-,2,,,,,,,-,-,1,-,-,-,,3.0
"Comben, Charlie",,,,,,,,,,,,,,,,,,,,,,-,
"Corr, Aidan",3,-,5,5,5,7,,1,6,11,3,11,4,2,4,2,3,5,,4,4,15,100.0
"Cunnington, Ben",,,,,,,,,,,,,,,,,,,,,-,-,
"Curtis, Paul",,,,,,-,1,-,-,1,-,1,-,-,1,1,-,-,,-,-,,5.0
"Davies-Uniacke, Luke",2,-,,3,1,-,3,3,3,4,2,2,3,3,2,4,4,-,1,1,-,2,43.0
"Dawson, Kallan",,,,,,,,,,,,,,,,,,,5,1,4,1,11.0
"Ford, Eddie",,,-,,-,-,,,,,,,,,,,,,,,,,
"Goater, Josh",,,,,,,,,,,,,,,,,,,,,,3,3.0
"Goldstein, Todd",1,1,-,-,1,-,-,3,-,1,1,1,2,-,-,-,2,2,-,-,-,1,16.0
"Greenwood, Hugh",-,1,2,1,2,-,1,2,,-,1,-,-,2,2,-,2,1,1,-,1,2,21.0
"Hall, Aaron",8,7,8,9,4,,,,,,,,6,10,1,,,6,,3,9,,71.0
"Hayden, Kyron",,,,,,,,,1,4,3,2,1,,,,,,,,,,11.0
"Horne-Francis, Jason",-,1,2,2,2,2,1,2,,2,1,1,-,,,,-,2,-,1,,1,20.0
"Larkey, Nick",-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"Lazzaro, Charlie",-,-,,,,,,,-,,,,-,,3,-,-,-,-,-,1,1,5.0
"Mahony, Jack",1,-,2,-,-,1,1,1,-,,-,,,,-,-,,,,,,1,7.0
"McDonald, Luke",7,6,7,4,6,5,5,9,1,7,4,11,5,2,10,2,8,5,9,5,6,11,135.0
"McKay, Ben",-,,1,1,2,5,,3,,,,1,,-,-,5,3,2,-,,3,2,28.0
"Perez, Flynn",,,,4,3,2,2,5,-,3,-,5,1,2,,2,5,4,,-,,3,41.0
"Polec, Jared",,1,2,,,,,,,,,,,,,,,,,,,,3.0
"Powell, Tom",1,2,1,,1,,,,1,2,3,3,-,1,3,-,3,-,2,-,-,2,25.0
"Scott, Bailey",2,2,5,5,6,4,5,2,6,3,4,7,4,-,,5,3,3,4,4,2,1,77.0
"Simpkin, Jy",-,2,2,-,1,-,1,1,,3,3,3,5,2,1,4,2,-,4,4,-,1,39.0
"Spicer, Phoenix",,,,,,,,,,,,,,,-,-,-,-,1,,,,1.0
"Stephenson, Jaidyn",2,,1,2,1,,3,3,-,,,,-,3,9,4,12,-,7,6,-,,53.0
"Taylor, Curtis",1,-,4,-,2,1,-,3,4,3,2,2,1,5,3,2,3,5,1,1,-,2,45.0
"Thomas, Tarryn",1,1,,,,2,2,-,-,1,1,-,,1,,,,,,,,,9.0
"Turner, Kayne",2,1,1,-,-,1,4,4,2,4,2,-,-,2,-,,,,-,,,-,23.0
"Walker, Josh",,9,1,1,2,3,2,2,6,4,5,4,-,2,6,,,,-,3,,,50.0
"Xerri, Tristan",-,1,-,-,-,2,,,,-,-,2,1,-,-,,,,,,,,6.0
"Young, Lachie",2,1,1,4,5,8,3,6,10,5,2,2,3,,5,2,2,5,,4,3,4,77.0
"Ziebell, Jack",4,4,8,-,-,-,-,-,-,-,-,-,-,,,1,-,-,-,-,-,,17.0
"Zurhaar, Cameron",-,-,-,-,,1,1,-,-,-,-,,,-,-,-,-,-,-,-,-,-,2.0
Totals,37,41,53,42,44,44,42,52,43,58,38,63,38,42,52,38,55,47,41,39,36,55,1000.0
Opponent,HW,WC,BL,SY,WB,GE,CA,FR,PA,ME,SK,GC,GW,AD,GE,CW,RI,HW,ES,SY,AD,GC,
