Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Abernethy, Jim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Adams, Bill",,,,,,,,,,,,,,,,1,,,1.0
"Avery, Bert",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Beames, Percy",,,,,,,,-,-,-,-,-,-,-,-,-,1,1,2.0
"Cassidy, George",2,,,,,,,,,,,,-,,,,,-,2.0
"Collins, Billy",,,,,,,,,,,-,-,,,,,,,
"Collins, Jack",-,-,,,-,-,-,-,,-,,1,,,,,,,1.0
"Conole, Reg",,-,-,1,-,-,-,-,,,-,1,-,-,-,-,-,,2.0
"Crapper, Harry",-,-,,,-,,-,,,-,,,,,,,,,
"Cutler, Bill",,,,,,,,,,-,-,,-,-,-,-,-,,
"Davidson, Hec",,,-,-,,-,,,,,,,-,-,,-,,,
"Davidson, Jimmy",-,-,-,-,-,2,-,-,-,1,-,-,-,1,2,-,1,1,8.0
"Esposito, Ted",-,1,-,1,-,-,-,-,-,-,1,-,,-,1,-,-,-,4.0
"Gough, Lew",,,,,,,,,,-,,,-,-,-,,,,
"Green, Ossie",,,,,,,,,,,,,,,,,,-,
"Jackson, Webber",-,,1,3,,,,,-,-,-,-,1,-,-,,-,-,5.0
"Johnson, Bob",6,5,4,3,5,3,2,2,2,,1,1,,1,,3,3,3,44.0
"Lindsay, Gordon",,,,,,,,,,,-,,,,,,,,
"Long, Harry",-,-,-,2,-,-,1,-,-,-,1,1,-,2,-,-,-,-,7.0
"MacDonald, Bill",,,,,,-,-,-,,,,,,,,,,,
"Margitich, George",4,3,4,4,5,8,3,3,2,4,,1,7,-,3,1,12,2,66.0
"Murray, Wyn",-,-,-,,,,,-,-,1,-,,,,,,,,1.0
"Ogden, Gordon",-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,,
"Pemberton, Edwin",-,,,,-,-,,,,,,,,,,,-,-,
"Power, Jack",,,,1,-,-,-,-,-,,,-,-,,-,-,-,-,1.0
"Smith, Frank",,-,-,-,,-,-,-,-,,,-,-,,-,,-,-,
"Steel, Howard",1,-,-,,,,,,,,,,,,,,,,1.0
"Taylor, Dick",,1,1,-,-,-,-,1,-,-,,,1,2,6,-,-,-,12.0
"Tymms, Bill",-,-,-,-,-,-,-,,-,,-,-,,,,,,-,
"Usher, Ray",-,-,1,-,-,,-,-,-,-,-,,,-,-,-,-,-,1.0
"Vanthoff, Bill",,,1,-,3,2,1,3,-,-,,2,-,-,-,-,-,,12.0
"Vine, Francis",-,-,-,-,-,,,,-,-,-,2,-,-,-,-,,-,2.0
"Warne-Smith, Ivor",2,-,,,-,-,-,-,-,1,1,-,2,-,1,-,1,1,9.0
"Wittman, Stan",,,,1,-,-,-,-,,,-,,,,,,,,1.0
Totals,15,10,12,16,13,15,7,9,4,7,4,9,11,6,13,5,18,8,182.0
Opponent,FI,ES,GE,HW,FO,NM,CW,CA,SK,RI,SM,FI,ES,GE,HW,FO,NM,CW,
