Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SF,Tot
"Arnold, Lance",-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,-,-,
"Bedford, Dave",,-,-,,,,,,,,,,,,,-,-,,,
"Bickford, George",-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,,-,-,3.0
"Bowman, Gordon",-,,,,,,,,,,,,,,,,,,,
"Carlon, Ken",-,-,-,,-,-,-,-,-,-,-,,,,1,1,,-,-,2.0
"Collins, Geoff",,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Cordner, Denis",2,2,3,2,2,3,1,6,-,2,1,3,2,-,-,1,1,2,3,36.0
"Cordner, Don",-,1,-,-,,,,-,3,1,-,-,-,-,-,-,-,-,-,5.0
"Craddock, Eddie",1,,,,,1,,2,-,-,,,,,,,,4,-,8.0
"Deans, Billy",-,-,-,-,-,-,-,,,,,1,-,-,,,-,1,-,2.0
"Dockett, Len",-,-,-,1,4,4,2,3,2,2,,-,1,,1,1,-,1,-,22.0
"Heywood, Doug",-,-,-,-,-,2,6,-,-,1,1,,,-,-,-,-,,,10.0
"Hiscock, Jack",,,1,1,1,,-,,,,,,,,,,,,,3.0
"Hutchins, Ray",,,,,,,,,,,,,,,,,-,,,
"Jackson, Eddie",-,-,-,1,1,-,,,,,,,,,,,,-,-,2.0
"Jeffers, Max",,,,,,-,2,,,,1,-,1,1,,,,,,5.0
"Johnston, Bob",,,,,,,,,,,-,-,-,-,-,-,-,-,,
"Lourey, Greg",,,,,,,,,-,,,-,,,,,,,,
"Love, Colin",,,,,,,,,,,,,-,-,,,,,,
"McGivern, Geoff",-,1,2,1,2,-,-,-,,-,-,-,3,-,-,-,-,2,-,11.0
"McGowan, Alan",-,-,-,-,2,2,-,,,-,-,,,,,,-,,,4.0
"McGrath, Shane",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McKenzie, Robert",2,,,,,,,1,4,1,2,2,1,1,1,5,-,2,-,22.0
"McMahen, Noel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Mueller, Jack",,,,,,,,,,,,,,,5,6,4,3,2,20.0
"OToole, Con",,,,-,,,,,,,,,-,-,-,,,,,
"Paynter, Nevin",,,,,,,,,,,,,,-,,,,,,
"Pound, Arthur",,,,,,,,2,2,1,1,4,2,,-,,,,,12.0
"Rodda, Alby",,1,1,1,-,-,-,-,-,-,1,-,1,-,-,1,1,3,-,10.0
"Rollason, Ken",6,5,-,1,,,,,1,,,,,,,,,,,13.0
"Rule, Stan",-,-,-,-,1,-,-,1,-,-,-,,,-,1,-,-,-,1,4.0
"Spencer, Stuart",2,-,,1,-,,-,1,-,-,1,-,-,-,-,-,-,-,,5.0
"Spittle, Max",,,-,-,-,-,-,-,-,-,-,-,,,-,,,,-,
"Thomson, Jack",,-,,,3,-,3,-,1,,1,-,1,2,,-,-,4,-,15.0
"Woods, Mike",-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,
Totals,13,10,7,10,16,13,14,16,13,8,9,10,13,4,9,15,6,23,6,215.0
Opponent,CA,RI,NM,GE,FO,FI,HW,CW,SM,ES,SK,CA,RI,NM,GE,FO,FI,HW,GE,
