Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Alves, Stan",,,,,,,1,-,-,-,-,-,-,-,-,-,-,1,2.0
"Anderson, Tony",1,-,-,-,-,-,-,,-,1,-,,,,,,,,2.0
"Andrew, Robin",,,,,,,-,,,,,,,,,,,,
"Bourke, Barry",-,2,2,-,3,2,,-,1,1,-,-,,2,,,,,13.0
"Bromell, Hugh",-,-,-,-,-,2,,-,-,,1,1,-,,1,-,,,5.0
"Crompton, Neil",,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0
"Davis, Frank",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Dixon, Brian",-,-,,,,,,1,-,-,1,-,-,-,-,-,-,-,2.0
"Emselle, Ken",-,,3,-,-,2,-,2,-,-,4,1,-,-,2,-,1,3,18.0
"Feldmann, Rick",,,,,,,,,,,,,,,,,,-,
"Foster, Rob",,,,,,,,,,,,,,1,-,,,-,1.0
"Gormly, Bob",,,,,,,,,,,,,,,,,,-,
"Groom, Ray",-,1,2,1,-,,,,,,,,1,-,-,,,,5.0
"Jacobs, Graeme",1,2,1,1,,,,-,-,1,-,1,-,1,-,1,2,,11.0
"Johnson, Tassie",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Kenneally, Bryan",1,1,-,-,1,1,2,1,-,-,2,1,-,1,-,1,-,-,12.0
"Leahy, Brian",,,,,,,,,,,,,,,,-,,,
"Leitch, Jim",,,-,-,-,-,,,,-,-,-,,,-,-,1,,1.0
"Lord, John",1,2,7,-,1,-,-,3,2,-,-,1,-,,,,2,,19.0
"Mann, Hassa",-,2,-,1,1,2,-,-,1,,,,-,-,1,,-,-,8.0
"Massey, Bernie",,,,,,,,,-,-,-,,,,-,-,-,-,
"McLean, Peter",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1.0
"Miller, Robert",-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rattray, Kerry",,-,,,,,2,1,,-,,-,,,,2,,,5.0
"Robbie, David",,2,1,-,,-,-,,,-,,,,,,-,-,-,3.0
"Roet, Brian",-,-,-,-,-,,,,,,,,,,,,,,
"Rowe, Ken",,,,,-,-,-,,,,-,,-,-,,,-,-,
"Townsend, John",-,-,6,1,-,1,3,1,-,2,2,-,1,-,-,2,2,5,26.0
"Vagg, Barrie",-,-,3,2,1,2,1,5,2,,-,-,3,2,2,1,-,1,25.0
"Vearing, Frank",,,,,,,,,,,1,-,1,2,-,,,,4.0
"Watson, Graeme",-,2,,,,1,-,-,,,,,,,,,,,3.0
"Williams, Don",-,-,-,-,-,-,-,2,-,-,,-,-,-,-,-,-,-,2.0
"Wise, Graham",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
Totals,4,14,25,6,7,13,9,16,6,6,11,5,6,9,7,7,8,11,170.0
Opponent,RI,NM,FI,SM,GE,CW,FO,CA,SK,ES,HW,RI,NM,FI,SM,GE,CW,FO,
