Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Alves, Stan",7,8,3,5,9,7,5,5,2,2,3,5,2,,,,5,,5,3,2,3,81.0
"Biffin, Ray",-,-,3,-,1,-,1,-,-,-,-,1,1,2,1,1,1,1,1,,,,14.0
"Bourke, Barry",2,3,,,,,1,2,4,2,1,-,1,1,5,,-,2,-,2,-,1,27.0
"Brown, Bruce",,-,-,,-,,,,,,,,,,,,,,,1,1,1,3.0
"Burgmann, Lloyd",-,4,1,4,5,6,8,5,2,3,4,,3,,,1,5,1,,,,,52.0
"Callery, Paul",5,4,3,6,4,3,4,8,4,3,3,2,-,4,3,1,2,1,3,2,1,5,71.0
"Carr, Ray",-,2,3,,,,-,,,,,,1,,,,,,,,1,,7.0
"Clark, Denis",1,3,6,6,3,6,6,2,-,2,2,3,3,4,5,6,,3,6,2,,2,71.0
"Colcott, Russell",,,,3,-,1,,,,,,,,,,,,,,,,,4.0
"Collins, Mike",,,,,,,,,,,,-,,,,,,,-,,1,,1.0
"Davis, Frank",-,5,-,2,4,-,-,,3,2,2,1,-,-,3,4,5,1,1,1,-,2,36.0
"Dillon, Ross",,,,,,,,,,,,,,-,2,-,,,2,3,1,1,9.0
"Gallus, John",-,-,2,-,2,1,-,-,3,-,1,1,3,,3,-,1,4,2,-,1,,24.0
"Hardeman, Gary",2,4,1,6,4,6,3,-,-,1,2,1,1,1,1,,1,-,4,3,,1,42.0
"Hodges, Barry",,,,,,,,,,,,,,,-,2,1,1,,,,,4.0
"Jones, Brent",,,,,,,,,,,,,,,,,,,1,1,,,2.0
"Keenan, Peter",-,3,3,1,1,1,1,-,2,2,2,1,3,-,5,1,1,1,1,2,-,3,34.0
"Kerley, Stephen",,,,,,,,,,,,,,,,,,,,,,-,
"Lakes, George",-,3,2,1,,-,3,4,1,1,,,,,-,,3,1,,,,-,19.0
"Lawrie, Gordon",,,,,,,,,-,-,,,,-,1,1,3,,,,,,5.0
"Leary, Noel",,,,,,,,,,,,,-,1,,,,,,,,-,1.0
"McKenzie, Robert",2,2,7,4,8,2,,5,4,-,-,2,,1,,2,,,,,,,39.0
"McSpeerin, Shane",,,,,,,,,,-,,,,,3,1,,-,-,-,,,4.0
"Molloy, Graham",5,2,4,7,5,4,2,7,2,3,4,2,2,4,6,2,3,2,7,2,3,3,81.0
"Osborne, Graham",,,,,,,5,1,1,-,-,1,-,1,1,-,-,2,-,-,2,2,16.0
"Parke, Greg",5,4,3,6,7,7,7,8,5,4,3,8,7,9,4,8,-,5,3,3,5,,111.0
"Ritterman, Henry",,,,,,,,,,,,,,,,,,,5,1,,,6.0
"Rollinson, Trevor",-,1,1,3,1,,,-,,,-,-,,,2,,,,,,,,8.0
"Sinclair, Peter",,,-,4,9,3,3,-,-,,-,,-,2,,3,,,,,2,,26.0
"Sullivan, Tony",1,1,1,2,2,2,2,2,2,3,1,1,-,-,2,,-,1,-,-,-,1,24.0
"Tilbrook, John",,,,,,,,,,,,1,4,-,,2,2,1,2,1,-,1,14.0
"Townsend, John",8,4,4,10,9,6,1,1,,,-,3,7,6,7,9,-,2,,,3,7,87.0
"Walker, Max",,,,-,-,-,,,3,3,1,-,,-,,,-,-,,1,1,-,9.0
"Weekes, Peter",-,4,1,1,1,-,-,1,,,,,,,,1,,,,,,,9.0
"Wells, Greg",-,,,,,-,2,3,2,2,3,2,1,-,4,2,3,3,6,2,1,2,38.0
"Williamson, Peter",,,,,,,,,,,,,,,,,,,,,-,2,2.0
Totals,38,57,48,71,75,55,54,54,40,33,32,35,39,36,58,47,36,32,49,30,25,37,981.0
Opponent,SM,FO,CA,ES,FI,CW,NM,GE,SK,RI,HW,SM,FO,CA,ES,FI,CW,NM,GE,SK,RI,HW,
