Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Alves, Stan",20,12,3,,,18,23,16,19,21,-,10,13,17,11,21,17,17,19,18,24,21,320.0
"Baker, Garry",8,8,14,3,4,,3,8,9,7,-,9,10,5,,,6,-,,1,,,95.0
"Barham, Billy",,,,,,,,,,11,-,-,,,,,,,,,,,11.0
"Biffin, Ray",,,,10,14,15,12,11,8,6,-,5,9,9,4,9,6,7,5,7,13,10,160.0
"Brewer, Ross",8,10,16,7,11,14,16,13,9,7,-,,,,1,,,,,,5,4,121.0
"Campbell, Des",,-,,11,5,7,8,-,15,5,-,,,12,8,6,6,7,7,3,12,2,114.0
"Carroll, Ted",,-,8,16,,9,3,,,,,,10,,,,,,,4,,,50.0
"Chamberlain, Neil",,,,,,,,,,,,,,9,,,,,,,,,9.0
"Clark, Denis",5,,,7,10,16,9,10,15,,-,10,9,12,,,5,15,22,12,12,,169.0
"Coles, Henry",,,,,,,,,,,,16,9,5,,13,17,14,18,11,5,,108.0
"Delmenico, Wayne",6,8,4,2,3,6,10,8,6,5,-,7,6,1,,,,,,,,,72.0
"Ditterich, Carl",14,12,13,,,,,7,10,9,-,,,,,,,14,11,10,6,8,114.0
"Dullard, Anthony",7,5,6,11,10,9,8,7,,,-,7,7,1,9,6,,5,6,7,6,10,127.0
"Fitzsimmons, Shane",,,,,,,,,-,-,,,,,11,7,12,11,11,8,13,6,79.0
"Flower, Robert",19,27,13,7,13,22,13,13,17,14,-,12,15,14,,,12,15,12,10,13,16,277.0
"Fowler, Laurie",18,18,22,18,15,11,15,20,8,16,-,17,12,14,12,15,10,15,14,16,13,13,312.0
"Giampaolo, Frank",7,16,9,4,,,,,,,,,,17,26,16,14,15,14,11,14,,163.0
"Graham, Colin",,,,,,,,,,,,,,,11,7,,,,,,,18.0
"Guy, Gary",10,4,10,9,13,8,11,15,12,16,-,19,9,14,10,,,,,,,,160.0
"Hardeman, Gary",12,21,15,13,21,17,15,20,15,14,-,13,18,,14,13,12,7,12,10,15,11,288.0
"Hurst, Paul",9,9,13,6,7,5,11,4,,,-,14,6,10,8,10,-,,-,,,,112.0
"Hutchison, Greg",,,,,,,,,,,,,,,,,,,,,,5,5.0
"Keays, Peter",,,,,,,,,8,17,-,10,15,18,7,12,8,,,,,8,103.0
"Keenan, Peter",14,10,6,4,10,18,11,5,8,9,,,,8,13,10,11,9,11,5,3,10,175.0
"Kelly, David",,,,,,,,,,,,3,,,,,,,,,,,3.0
"Lyons, Marty",11,18,6,13,19,19,11,9,11,15,-,15,15,9,16,17,9,-,-,,,,213.0
"Molloy, Graham",,,,,,,,,,4,,,3,,,,,,,,,,7.0
"Osborne, Graham",12,,,10,3,-,4,1,7,,-,8,,,,-,,,,,,,45.0
"Ough, Barry",,,,,,,,,,,,,,,-,,,,,,,,
"Owens, Mal",,,-,,,,,,,,,,,,,,,,,,,,
"Smith, Kim",2,5,5,,2,,,,,,,,,,,,,,,,,,14.0
"Smith, Ray",,,,,,,,,,,,,14,9,10,14,15,16,14,7,7,7,113.0
"Smith, Steven",2,11,8,12,5,13,9,3,9,9,-,15,12,8,13,11,8,11,16,8,4,14,201.0
"Sparks, John",,,,,1,,,,,,,,,,,1,,,,,8,14,24.0
"Sullivan, Tony",13,13,9,12,,11,13,16,11,7,,,,,,,17,11,11,11,12,16,183.0
"Tilbrook, John",,,,,,,,,,,,3,-,,,,,,,,,,3.0
"Walley, Glenn",,,,,,,,,,,,,,,,,,,,,,3,3.0
"Wells, Greg",22,23,20,28,16,19,6,23,22,22,-,23,12,,23,16,20,19,24,18,15,17,388.0
"Wilkins, Terry",,,,,11,3,,,,,,,,4,19,13,10,19,18,8,15,7,127.0
Totals,219,230,200,203,193,240,211,209,219,214,0,216,204,196,226,217,215,227,245,185,215,202,4486.0
Opponent,FO,NM,ES,SK,HW,SM,RI,CA,FI,GE,CW,FO,NM,SK,ES,HW,SM,RI,CA,FI,GE,CW,
