Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Bennett, Darren",-,-,-,2,-,1,-,-,1,-,-,2,1,4,2,1,-,-,3,3,,1,1,3,25.0
"Beveridge, Luke",-,,,,,,,-,,-,,,,,,,,,,,,,,,
"Cameron, Stuart",,,,,,,,,,-,-,-,-,-,,,,,,,,,,,
"Campbell, Tony",,,-,-,-,-,-,-,-,-,,,,,1,-,1,-,1,-,-,-,-,-,3.0
"Clark, Steven",-,-,-,,,,,,,,,,,,,,,,,,,,,,
"Eishold, Simon",-,-,-,-,-,-,-,-,-,-,,,,,-,-,1,-,1,-,-,-,-,-,2.0
"Febey, Steven",-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,2.0
"Flintoff, David",-,,,,,,,,,-,-,,,,,-,-,-,,,,,,,
"Grinter, Rod",-,-,-,-,-,,-,-,,,,,,,,,,,-,-,-,-,-,-,
"Healy, Greg",,,,,-,-,-,,-,,,,,,-,-,-,-,-,-,,-,-,-,
"Heaver, Brent",,,,,,,,,,,-,-,-,,-,-,-,,-,,-,-,,,
"Hickmott, Robert",,,,,,,,,,,,,-,-,,,,,,,,,,,
"Howat, John",,,,,,,,,,-,,,,,,,,,-,,-,-,1,-,1.0
"Hughes, Danny",,,1,1,1,-,3,1,-,,2,-,1,6,-,-,-,-,-,1,,,,,17.0
"Jackson, Ricky",,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Johnson, Alan",,,,-,,,,,,-,-,-,1,-,-,,,,,,,,,,1.0
"Keogh, Rod",,,,,,,,,,,-,-,-,-,,,,,,,,,,,
"Lovell, Andy",,-,-,1,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,1.0
"Lovett, Brett",-,1,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,6.0
"Lovett, Glenn",,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,-,-,
"Lyon, Garry",-,-,-,-,-,-,-,-,2,-,1,-,-,,-,2,1,4,,-,2,1,-,,13.0
"Mahoney, Mathew",,,,,,,,,,,,,,,,,,,3,1,1,4,,,9.0
"Newport, Stephen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,
"ODwyer, Steven",18,17,12,,,7,4,,4,8,11,1,,,11,17,13,10,,,,,2,4,139.0
"Obst, Andrew",1,-,1,1,1,-,-,1,-,-,-,2,2,-,-,,,-,-,1,-,-,-,-,10.0
"Rohde, Peter",1,-,1,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,2.0
"Seow, Dannie",,,,,,,,,,,,,,1,-,,,,,,,,,,1.0
"Spalding, Earl",,-,-,1,1,-,-,2,-,,1,5,1,-,2,-,-,-,2,2,2,1,2,-,22.0
"Spencer, Trevor",1,-,,,,,,,,,,,,,,,,,,,,,,,1.0
"Stretch, Steven",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,-,,-,-,4.0
"Stynes, Jim",14,15,10,14,11,8,19,12,9,4,5,13,15,18,7,5,2,3,12,14,9,15,14,10,258.0
"Tingay, Stephen",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2.0
"Viney, Jay",,,,,-,-,,-,,,,,,-,,,,-,-,-,-,-,,,
"Viney, Todd",,,,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,-,1.0
"Wight, Sean",-,-,,,,,,,,,,,,,,,,,,,,,,,
"Wilson, Brian",-,-,1,1,-,-,,,-,,,,,,-,-,-,,-,1,-,,,,3.0
"Yeats, Graeme",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
Totals,35,33,26,23,16,16,28,16,16,13,20,24,22,29,23,25,18,19,25,23,14,22,20,17,523.0
Opponent,NM,GE,ES,FI,BB,SY,WC,RI,HW,CW,CA,FO,SK,NM,GE,ES,FI,BB,SY,WC,RI,HW,HW,WC,
