Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Beams, Ben",1,1,,,,2,,,,,-,,,,,,-,,,,,,4.0
"Broadbridge, Troy",,,,,,,,1,,,,1,-,-,-,-,-,-,-,-,-,-,2.0
"Brown, Nathan",-,-,-,-,-,,,1,1,-,-,-,1,-,-,-,1,,1,1,-,-,6.0
"Bruce, Cameron",1,2,2,-,-,-,3,-,4,3,2,-,1,2,3,3,2,1,-,1,-,1,31.0
"Collins, Matthew",-,-,1,-,-,-,-,,,-,-,,,,,,,,,,,,1.0
"Farmer, Jeff",,,1,-,3,,,,,,,3,2,2,3,1,2,2,2,5,2,5,33.0
"Febey, Steven",-,-,-,-,-,-,-,-,-,,,-,-,-,1,1,1,2,-,2,-,-,7.0
"Funcke, Ross",-,,,,,,,,,,,,,,,,,,-,1,-,-,1.0
"Godfrey, Simon",,,,,-,-,-,-,-,1,-,-,,-,-,,,,,,1,-,2.0
"Green, Brad",2,,3,1,-,4,1,3,-,4,1,2,3,2,3,-,2,3,1,-,2,-,37.0
"Grgic, Brent",-,-,-,-,-,-,-,-,-,-,-,,-,,,,,-,-,,,,
"Ingerson, Anthony",-,-,-,-,-,-,-,-,-,,,-,,,,,,,,,,,
"Johnstone, Travis",,,,,,,1,-,-,,,,,,,,,,,,-,-,1.0
"Jolly, Darren",,-,-,-,,-,,,,,,,,,,,,,,,,,
"Lamb, Chris",-,,,,,,,,,-,,,,-,,,,,,,,,
"Leoncelli, Andrew",1,2,-,-,-,-,-,,-,1,-,,2,1,2,-,-,1,-,,,1,11.0
"McDonald, Anthony",1,-,-,-,-,1,-,-,-,1,-,-,-,-,,,-,-,-,-,2,1,6.0
"McDonald, James",,,,,,,,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,3.0
"Neitz, David",1,1,1,2,6,2,2,3,1,4,2,2,-,-,-,-,1,-,-,4,2,4,38.0
"Nicholson, Alistair",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Pitt, Steven",,-,,,,,,,,,,-,,,,,,,,,,,
"Rigoni, Guy",-,-,1,-,-,1,-,-,-,,,,1,,,,,,,,,,3.0
"Robertson, Russell",-,3,3,-,4,3,3,1,1,2,1,1,2,-,-,3,3,5,1,2,1,3,42.0
"Schwarz, David",4,2,1,-,1,1,-,-,-,1,-,,1,2,-,2,-,-,2,1,1,2,21.0
"Simmonds, Troy",,,,,,,,,,-,-,-,-,-,1,-,-,-,-,-,1,-,2.0
"Thompson, Scott",,,,,,,,,,1,1,-,-,-,-,-,,-,,-,,,2.0
"Walsh, Peter",1,-,-,-,-,-,-,,,,,,,-,1,-,-,1,-,1,-,-,4.0
"Ward, Daniel",-,-,2,-,-,2,-,-,1,1,-,1,-,1,1,-,-,-,-,1,-,-,10.0
"Wheatley, Paul",,,,-,2,-,-,-,-,1,-,1,-,-,1,-,-,-,,-,,,5.0
"Whelan, Matthew",,,,,,-,-,-,-,-,-,-,,,-,1,,,,,,,1.0
"White, Jeff",-,-,-,-,-,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,3.0
"Williams, Luke",,-,-,,,,,,,,,,,,2,1,-,-,-,-,1,,4.0
"Woewodin, Shane",-,-,2,1,-,1,-,-,-,2,1,-,-,,,-,-,-,-,-,-,-,7.0
"Yze, Adem",3,1,1,1,2,1,2,2,-,-,-,3,-,1,-,-,-,-,2,-,1,4,24.0
Totals,15,12,18,5,18,18,12,11,9,22,8,14,13,13,18,12,12,16,10,19,16,21,312.0
Opponent,RI,AD,GE,HW,SY,FR,WB,ES,PA,SK,CW,BL,WC,KA,CA,RI,AD,GE,HW,SY,FR,WB,
