Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Armstrong, Steven",,,,,5,6,13,4,,7,4,,,,,,,,,,,,,39.0
"Bell, Daniel",,,,,,,,,,,,,,,3,,,,,6,3,,,12.0
"Bizzell, Clint",10,14,14,8,5,,,5,3,,,,,,,,7,13,9,11,10,9,4,122.0
"Broadbridge, Troy",,,,4,,,,,,7,2,6,6,2,5,9,5,5,5,6,,4,11,77.0
"Brown, Nathan",11,15,13,10,10,10,18,,18,8,17,8,18,6,8,16,13,8,14,10,20,22,12,285.0
"Bruce, Cameron",,4,14,14,5,13,8,6,8,9,11,14,13,8,13,10,13,10,13,10,10,13,10,229.0
"Carroll, Nathan",,,,,,6,4,1,,,,,,4,,,,,,,,,,15.0
"Davey, Aaron",10,8,12,6,9,7,7,10,8,9,2,9,8,7,5,1,,,,,4,4,5,131.0
"Godfrey, Simon",8,11,6,6,12,11,10,9,4,3,,,,,1,,,,,8,14,6,,109.0
"Green, Brad",8,12,12,21,5,11,16,14,13,,17,17,20,10,12,9,13,15,10,10,,12,13,270.0
"Heffernan, Chris",5,,,,,15,10,13,14,13,7,11,8,3,13,11,8,6,4,9,9,6,,165.0
"Holland, Ben",1,7,3,6,2,12,8,1,4,2,,2,5,5,11,8,11,2,3,7,2,,2,104.0
"Jamar, Mark",,,,,-,,,,,,,,,,,,,,,,,3,1,4.0
"Johnstone, Travis",7,10,19,,13,17,13,13,16,3,,,,,11,5,14,19,3,,,14,18,195.0
"Jolly, Darren",2,1,-,,,,,,,,,,,,,,7,2,,2,2,,,16.0
"McDonald, James",9,9,13,15,10,,,,10,16,9,10,14,18,6,,,17,12,8,12,5,20,213.0
"McLean, Brock",,,,,,,,,,,8,7,8,6,6,5,5,,,,6,,3,54.0
"Miller, Brad",7,7,8,6,6,2,1,9,9,6,3,10,7,1,,3,11,12,4,10,5,7,8,142.0
"Neitz, David",4,13,7,11,11,3,3,4,9,8,4,6,10,4,7,9,9,10,9,8,6,,,155.0
"Nicholson, Alistair",1,1,6,5,2,4,3,3,2,6,3,7,2,3,4,4,1,5,2,6,6,3,2,81.0
"Read, Phillip",,9,7,7,9,7,5,10,,11,10,9,5,6,11,14,6,10,8,10,13,8,6,181.0
"Rigoni, Guy",,,,8,2,,,,,,,,,,,4,11,10,4,,,,9,48.0
"Rivers, Jared",6,8,8,5,4,12,8,7,5,1,5,7,10,5,3,2,,4,6,8,2,6,8,130.0
"Robertson, Russell",12,13,3,8,,13,16,6,7,10,9,5,6,10,14,9,9,9,9,7,18,11,10,214.0
"Sylvia, Colin",,,,,,,,,-,,,,,,,,,,,,5,1,,6.0
"Thompson, Scott",10,11,11,9,14,13,10,11,6,,14,6,1,,,,,,,,,,,116.0
"Vardy, Peter",,12,1,,,,,,6,9,9,9,6,3,6,7,2,,,,,,,70.0
"Walsh, Peter",,,,5,,,,,,7,2,2,3,6,6,7,9,8,4,,10,7,,76.0
"Ward, Daniel",7,,,,,13,7,5,,,,,,8,1,,,4,10,,,9,9,73.0
"Wheatley, Paul",13,13,10,15,2,10,15,12,15,10,7,7,17,,,10,15,,6,5,16,10,14,222.0
"Whelan, Matthew",9,11,7,11,8,6,6,8,7,7,7,7,9,4,,3,7,8,10,12,,,11,158.0
"White, Jeff",9,8,10,8,4,15,9,13,12,10,13,13,14,3,13,12,10,8,10,5,4,6,13,222.0
"Williams, Luke",2,,,,,,,,,,,,,,,,,,,2,,,,4.0
"Yze, Adem",25,11,19,15,17,25,20,23,11,15,22,15,19,21,14,24,9,29,15,12,17,12,20,410.0
Totals,176,208,203,203,155,231,210,187,187,177,185,187,209,143,173,182,195,214,170,172,194,178,209,4348.0
Opponent,HW,RI,WB,PA,SY,CA,WC,GE,KA,BL,FR,CW,ES,AD,SK,WB,RI,HW,PA,SY,CA,WC,ES,
