Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bail, Rohan",,1,-,1,,,,,,,,,,,,-,2,-,3,-,1,,8.0
"Bartram, Clint",,1,2,-,-,-,-,2,-,-,1,1,-,1,-,2,1,1,1,2,2,-,17.0
"Bate, Matthew",1,-,-,1,2,-,-,-,,,-,-,-,-,-,-,,,,,,-,4.0
"Bennell, Jamie",-,-,-,-,-,-,-,-,-,-,1,,,-,1,2,-,-,1,-,-,,5.0
"Bruce, Cameron",1,1,2,2,-,2,1,-,,-,-,1,-,2,-,-,1,4,4,2,-,1,24.0
"Cheney, Kyle",,,,,,,,,,,,,,-,-,,,,,,,,
"Davey, Aaron",-,6,4,4,2,2,2,2,3,1,3,1,1,1,3,5,4,2,1,-,,,47.0
"Dunn, Lynden",2,1,2,1,4,5,1,,,,,-,1,-,3,2,-,-,1,-,2,2,27.0
"Frawley, James",-,-,1,-,-,-,1,-,3,1,,1,-,1,-,1,-,-,-,-,1,-,10.0
"Garland, Colin",,,3,1,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,1,1,-,10.0
"Green, Brad",-,1,1,-,-,-,1,-,-,-,1,-,1,4,3,4,-,3,1,1,-,-,21.0
"Grimes, Jack",-,-,1,-,-,-,-,3,-,-,1,-,2,2,,,,,,,,,9.0
"Gysberts, Jordan",,,,,,,,,,4,4,-,,,,,,,,,,,8.0
"Hughes, Danny",,,,,,,-,-,,,,,,,,,,,,,,,
"Jamar, Mark",3,7,-,2,3,4,4,5,2,4,3,-,4,3,5,-,2,3,3,4,-,4,65.0
"Jetta, Neville",,,,,,,,,-,1,2,4,-,1,,,,,,,,,8.0
"Johnson, Paul",,,,,,,1,1,,,,,,,2,2,2,1,3,1,,,13.0
"Jones, Nathan",1,2,5,3,2,5,-,-,2,1,2,3,4,3,-,4,2,3,3,6,3,1,55.0
"Jurrah, Liam",,,,,,,,,,,,,,,-,-,-,-,-,1,1,1,3.0
"Macdonald, Joel",3,1,1,-,1,2,,,-,1,,,-,4,-,2,1,-,-,1,,1,18.0
"Maric, Addam",,,,,,,,,,,,,,,,,-,,,,,,
"Martin, Stefan",,,,,1,-,,,,,,,,,,,,,,,,,1.0
"McDonald, James",5,4,4,4,2,5,2,4,5,6,4,,,,,,,4,3,7,4,8,71.0
"McKenzie, Jordie",-,-,4,2,1,,5,2,1,,,3,3,7,2,3,7,3,4,7,3,2,59.0
"Miller, Brad",-,,,,,,,,-,-,-,1,-,,,,,,,,,,1.0
"Moloney, Brent",6,9,3,9,5,3,7,3,4,9,8,6,5,5,4,1,,,,,4,3,94.0
"Morton, Cale",,,,,,,,,1,2,-,-,-,,,1,4,-,,,1,-,9.0
"Newton, Michael",,-,-,,,,,,,,,,,,,,,,,,2,1,3.0
"Petterd, Ricky",1,-,-,1,-,-,,,,,,,,,,,,,,,,,2.0
"Rivers, Jared",1,,,,,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-,1,-,6.0
"Scully, Tom",3,-,2,5,2,1,7,4,3,,2,1,1,2,3,2,2,1,4,-,2,4,51.0
"Spencer, Jake",-,,,,,,,,,,,,,-,,,,,,,,,
"Strauss, James",-,1,,,,,,,,,,,,,,,,,,,,,1.0
"Sylvia, Colin",,,,-,1,1,4,-,2,2,5,,,,4,3,3,6,3,7,,2,43.0
"Trengove, Jack",2,1,2,2,2,3,2,3,5,,4,3,2,6,1,,,,1,1,4,-,44.0
"Warnock, Matthew",-,-,-,-,-,-,-,-,,-,-,-,1,,,,,,,,-,,1.0
"Watts, Jack",,,,,,,,1,1,1,-,-,-,1,2,2,-,1,-,-,2,1,12.0
"Wonaeamirri, Austin",,,,,,,,,-,-,,,,,,,1,-,-,-,1,-,2.0
Totals,29,36,37,38,28,33,38,30,32,33,41,29,26,43,33,37,32,33,37,41,35,31,752.0
Opponent,HW,CW,AD,RI,BL,NM,WB,WC,PA,GE,CA,CW,AD,SK,ES,FR,SY,BL,RI,HW,PA,NM,
