Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Bail, Rohan",,,,,,,-,-,-,,,-,-,,,,,,-,,,,
"Brayshaw, Angus",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"Cross, Daniel",-,-,3,1,-,4,2,1,-,1,4,-,1,-,1,-,2,4,-,-,-,1,25.0
"Dawes, Chris",,2,3,4,,-,1,,,,,-,-,8,6,4,3,4,7,1,,,43.0
"Dunn, Lynden",-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,12,14.0
"Fitzpatrick, Jack",,,,,,,,-,-,7,,,,,,,,,,,,,7.0
"Frost, Sam",4,8,1,,,,,,,,,,,,,,,,,,,,13.0
"Garland, Colin",-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Garlett, Jeff",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gawn, Max",,,,,,,,,,31,39,44,27,58,38,32,32,28,32,39,30,55,485.0
"Grimes, Jack",,,,,-,,-,-,-,,-,,,,,-,-,-,-,-,-,-,
"Harmes, James",,,,,,,,,,,,,,-,-,-,-,-,-,-,,-,
"Hogan, Jesse",-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Howe, Jeremy",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.0
"Jamar, Mark",29,27,44,29,21,,,,,,,,,,,,,,,,,,150.0
"Jetta, Neville",-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,,-,,
"Jones, Matt",,,,,,,-,-,-,-,,-,-,,,,,-,-,,-,,
"Jones, Nathan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Kennedy Harris, Jay",-,,-,-,-,-,,,,,,,,-,-,,,,,,,-,
"Kent, Dean",-,-,-,-,,,,,,,,,,,,,,,,,,,
"Lumumba, Heritier",-,-,1,-,4,-,-,2,-,-,-,-,,-,-,1,-,1,1,-,,,10.0
"McDonald, Oscar",,,,,,,,,,,,,,,,,,,,,-,-,
"McDonald, Tom",-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,9,3,-,-,14.0
"McKenzie, Jordie",,,,,-,,,,,,,,,,,,,,,,,,
"Michie, Viv",,,,-,-,,-,,,,-,,,,,-,-,-,-,-,-,-,
"Neal-Bullen, Alex",,,,,,,,,,,-,-,-,-,-,,-,-,-,-,-,-,
"Newton, Ben",-,-,-,-,-,1,,-,,-,,,,,,,,,,-,-,-,1.0
"Pedersen, Cameron",,,,,7,1,4,4,2,1,4,,,,,,,,,,,,23.0
"Riley, Aidan",,,,,,,,-,,-,-,-,,,,,,,,,,,
"Salem, Christian",-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,
"Spencer, Jake",,,,,,30,21,40,39,,,25,12,,,,,,,,6,,173.0
"Stretch, Billy",,,,,,-,-,,,,-,-,-,-,-,-,,,,-,-,-,
"Toumpas, Jimmy",-,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,
"Tyson, Dom",-,-,2,-,-,-,1,,,,-,-,-,-,-,-,-,1,,,,,4.0
"Vandenberg, Aaron",-,-,1,-,-,-,-,-,-,-,,,,-,-,-,-,,,,,,1.0
"Vince, Bernie",,1,5,3,1,-,-,1,-,-,1,-,-,1,-,1,-,-,-,1,-,1,16.0
"Viney, Jack",1,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Watts, Jack",-,-,-,2,-,1,,4,3,1,4,-,-,2,3,2,1,-,2,4,-,,29.0
"White, Mitch",,,,,,,,,,,,,,,,,,,,,,-,
Totals,34,38,60,39,34,37,29,52,44,41,53,69,40,71,49,40,38,38,51,48,36,69,1010.0
Opponent,GC,GW,AD,RI,FR,SY,HW,WB,PA,CW,SK,GE,WC,ES,BL,SK,CW,NM,WB,CA,FR,GW,
