Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,PF,Tot
"Brayshaw, Angus",,,,5,2,4,8,8,7,5,9,2,4,4,7,5,8,4,7,3,3,3,5,2,7,112.0
"Bugg, Tomas",,2,3,3,,,,,,,,,,,,,,,,,,,,,,8.0
"Fritsch, Bayley",3,2,3,4,,4,3,7,3,2,3,3,3,3,3,3,2,2,3,1,2,2,-,-,,61.0
"Frost, Sam",,,1,1,,,,,,,,,,,-,-,1,1,-,1,-,2,-,1,1,9.0
"Garlett, Jeff",-,7,1,-,-,,,,,,,,,,1,3,1,2,3,-,,,,,,18.0
"Gawn, Max",3,1,3,1,3,2,3,2,1,1,3,-,2,5,4,2,1,2,5,3,4,2,1,1,2,57.0
"Hannan, Mitch",2,,,,,5,2,3,3,4,5,2,2,1,,4,,,,,2,,4,1,2,42.0
"Harmes, James",7,4,2,-,2,2,3,5,3,4,2,2,4,4,5,1,2,1,4,6,5,6,7,3,4,88.0
"Hibberd, Michael",3,1,3,2,-,1,3,3,-,3,1,-,3,4,3,1,,,,,1,3,3,-,2,40.0
"Hogan, Jesse",6,2,5,4,2,1,3,4,2,2,4,1,2,2,6,2,1,3,4,-,,,,,,56.0
"Hunt, Jayden",7,2,,,3,1,3,,,,,,,,,,,,,3,,,,,,19.0
"Jetta, Neville",-,1,-,-,1,-,2,1,1,1,2,-,1,-,1,1,2,1,-,-,1,1,1,2,1,21.0
"Jones, Nathan",6,3,4,3,4,7,1,7,8,4,1,2,8,5,3,3,2,2,7,6,5,5,5,2,3,106.0
"Kennedy Harris, Jay",,,,,,,,,,,,,,,,1,2,1,3,1,,2,,,,10.0
"Kent, Dean",,,3,2,-,,,,,,,,,,,,,,,,5,-,,,,10.0
"Lever, Jake",1,-,1,2,2,3,2,2,4,2,-,,,,,,,,,,,,,,,19.0
"Lewis, Jordan",3,1,4,3,,2,-,1,1,1,3,2,4,3,6,4,3,3,3,2,1,-,3,-,2,55.0
"Maynard, Corey",4,,,,,,,,,,,,,,,,,,,,,,,,,4.0
"McDonald, Oscar",1,-,1,1,-,1,-,-,-,-,1,-,1,-,1,1,1,-,1,3,1,2,2,-,1,19.0
"McDonald, Tom",,,,,,4,5,2,5,3,5,-,1,2,6,2,1,2,2,4,1,2,1,4,3,55.0
"Melksham, Jake",4,4,6,3,1,6,3,10,4,4,3,4,5,3,4,5,6,5,,,3,7,1,5,3,99.0
"Neal-Bullen, Alex",1,3,4,3,2,-,1,5,2,2,1,3,1,1,3,1,5,4,5,6,2,2,2,1,1,61.0
"Oliver, Clayton",3,9,2,4,3,3,5,6,2,8,6,4,5,5,7,8,8,3,3,2,4,3,5,2,1,111.0
"Pedersen, Cameron",1,3,,,,,,,,,,1,,,,,,,,2,,,,,,7.0
"Petracca, Christian",5,2,6,3,3,,4,2,4,2,5,6,6,3,3,3,6,8,3,6,5,2,4,7,5,103.0
"Petty, Harry",,,,,,,,,,,,,,-,,,,,,,,,,,,
"Salem, Christian",2,1,6,6,2,1,,7,2,3,-,2,1,2,5,1,3,2,3,2,1,1,-,3,3,59.0
"Smith, Joel",,,,,,,,,,,,1,1,4,-,,2,2,2,,,,,,2,14.0
"Smith, Tim",,,,,,,,,2,2,2,,4,,,,,,,,,,,,,10.0
"Spargo, Charlie",,,,,,2,4,3,4,2,4,2,,,3,-,2,-,2,1,1,-,2,2,1,35.0
"Stretch, Billy",,,,,1,,,,,,,,,,5,,,,,,,,,,,6.0
"Tyson, Dom",,4,2,,8,3,4,2,,,,,3,3,,,2,2,3,4,3,2,6,2,-,53.0
"Vandenberg, Aaron",,,,,,,,,,,,,,,,,,,6,4,2,6,5,4,6,33.0
"Vince, Bernie",2,3,4,1,2,1,2,2,-,1,2,-,2,,,1,3,-,-,,,,,,,26.0
"Viney, Jack",,,,,,,,,5,6,6,5,6,7,2,,,,,,,,2,7,3,49.0
"Wagner, Josh",-,1,2,2,1,,,,,,,,,,,,,,,,,,,,,6.0
"Weideman, Sam",,,,,4,2,2,1,,,,,,1,,,,,,,3,1,1,1,-,16.0
Totals,64,56,66,53,46,55,63,83,63,62,68,42,69,62,78,52,64,50,69,60,55,54,60,50,53,1497.0
Opponent,GE,BL,NM,HW,RI,ES,SK,GC,CA,AD,WB,CW,PA,SK,FR,WB,GE,AD,GC,SY,WC,GW,GE,HW,WC,
