Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,GF,Tot
"Baker, Oskar",,-,,,,,1,,,,,-,,,,,,,,,,,,,,1.0
"Bowey, Jake",,,,,,,,,,,,,,,,,,,-,1,-,1,3,2,4,11.0
"Brayshaw, Angus",-,1,-,1,2,3,3,-,3,2,5,2,2,2,1,1,2,-,1,1,1,4,2,1,6,46.0
"Brown, Ben",,,,,,,2,1,1,,,,,,,3,1,3,1,1,5,2,2,3,4,29.0
"Brown, Mitch",,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Chandler, Kade",-,,,,,-,,-,-,,,,-,,,,,,,,,,,,,
"Fritsch, Bayley",1,1,2,2,,-,-,2,1,-,1,1,1,1,-,-,1,-,-,1,2,-,-,-,-,17.0
"Gawn, Max",7,5,2,2,4,4,6,5,1,6,5,6,6,3,5,5,5,5,1,-,2,3,3,5,3,99.0
"Harmes, James",-,,,,,,,2,1,2,3,2,-,3,1,-,,1,1,-,-,1,3,1,1,22.0
"Hibberd, Michael",,,,,6,2,-,1,3,2,1,5,2,-,1,2,5,1,,,3,,,-,2,36.0
"Hunt, Jayden",1,-,2,2,2,-,1,1,2,-,-,2,-,4,2,1,1,1,1,-,,,,,,23.0
"Jackson, Luke",1,2,1,2,-,1,1,2,,-,2,-,2,4,1,1,1,3,4,1,3,-,2,1,2,37.0
"Jetta, Neville",7,2,4,-,,,,,,6,,,,,,,,,,,,,,,,19.0
"Jones, Nathan",-,-,1,1,-,-,-,,,,,,,-,,,,,,,,,,,,2.0
"Jordon, James",1,1,-,-,2,1,-,-,2,-,2,1,-,1,1,-,2,-,1,2,-,-,-,-,-,17.0
"Langdon, Ed",1,2,-,2,1,1,-,3,1,-,-,,1,3,-,-,-,-,1,-,-,2,-,1,-,19.0
"Lever, Jake",6,6,5,10,7,5,3,8,8,2,5,5,8,6,6,7,14,12,5,11,4,5,4,8,7,167.0
"May, Steven",4,3,5,2,,6,12,8,10,6,6,6,5,9,9,6,7,13,7,6,,5,8,1,7,151.0
"McDonald, Tom",1,3,4,1,-,5,4,2,4,1,2,4,1,2,2,3,3,2,2,,,-,2,6,1,55.0
"Melksham, Jake",,,-,4,-,-,-,-,-,-,2,1,,,,,,,,2,2,,,,,11.0
"Neal-Bullen, Alex",2,1,3,1,-,2,1,3,1,1,-,2,2,-,1,1,-,-,2,2,-,3,3,2,-,33.0
"Oliver, Clayton",1,2,1,2,2,2,-,1,1,2,1,-,-,-,1,-,1,3,3,-,1,1,1,1,2,29.0
"Petracca, Christian",1,-,1,2,1,-,-,1,3,-,-,1,-,1,-,-,3,1,1,-,-,2,-,2,-,20.0
"Petty, Harry",,,,,4,,,4,4,8,5,3,7,6,11,8,9,5,8,7,3,2,6,3,2,105.0
"Pickett, Kysaiah",-,-,3,3,1,2,1,-,1,-,1,-,2,1,-,-,3,-,1,-,2,-,1,-,1,23.0
"Rivers, Trent",-,1,1,1,2,3,1,3,3,3,2,2,3,1,2,2,5,3,4,3,4,1,5,3,3,61.0
"Salem, Christian",2,1,2,1,1,2,1,-,1,,1,5,1,3,-,-,-,1,-,3,1,-,3,2,-,31.0
"Smith, Joel",,,,,,,,,,,,,,,,,,,,,7,4,5,,,16.0
"Spargo, Charlie",1,1,-,-,1,-,-,1,-,1,-,1,-,1,1,-,1,1,-,-,1,1,-,-,1,13.0
"Sparrow, Tom",2,1,3,2,-,,,,,-,-,1,1,-,1,-,-,-,1,2,1,-,1,3,-,19.0
"Tomlinson, Adam",7,3,3,6,5,10,-,,,,,,,,,,,,,,,,,,,34.0
"Vandenberg, Aaron",,,,,,,,,,,,,,,-,,1,,,-,-,,,,,1.0
"Viney, Jack",,-,2,2,1,2,,,,,,,,1,1,2,1,1,1,,,5,2,-,-,21.0
"Weideman, Sam",,,,,,,,,1,1,1,-,2,,,,,,,,,,,,,5.0
Totals,46,36,45,49,43,51,37,48,52,43,45,50,46,52,47,42,66,56,46,43,42,42,56,45,46,1174.0
Opponent,FR,SK,GW,GE,HW,RI,NM,SY,CA,AD,WB,BL,CW,ES,GW,PA,HW,WB,GC,WC,AD,GE,BL,GE,WB,
