Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,Tot
"Bishop, Matthew",-,1,-,-,-,-,1,-,-,,,,-,-,1,-,-,-,-,2,1,-,3,1,1,11.0
"Brogan, Dean",,11,20,19,15,25,14,8,12,18,15,23,36,20,8,29,20,19,2,13,,16,25,14,14,396.0
"Burgoyne, Peter",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,
"Burgoyne, Shaun",-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,3.0
"Carr, Josh",,,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,3,-,13.0
"Cassisi, Domenic",-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,
"Cochrane, Stuart",-,-,-,-,-,-,-,-,-,-,-,-,2,-,,,-,,-,1,-,-,-,1,-,4.0
"Cockatoo-Collins, Che",,-,,,,-,-,-,-,-,,-,,,,-,-,-,-,-,-,-,,-,-,
"Cornes, Chad",1,1,1,-,2,-,1,-,,,1,-,2,-,1,-,-,2,1,2,-,,2,2,1,20.0
"Cornes, Kane",1,-,-,-,1,-,-,-,1,-,-,-,-,,,,-,-,-,1,-,-,-,-,-,4.0
"Dew, Stuart",-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Francou, Josh",1,-,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Guerra, Brent",-,-,-,-,-,,,-,-,-,,,,,,-,-,-,-,,-,,-,,,
"Hall, Christopher",,,-,,,,,,,,,,,,,,,-,,,,,,,,
"Hardwick, Damien",-,,-,-,-,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,
"James, Roger",,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,,,,,,
"Kingsley, Adam",,,,,,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,
"Lade, Brendon",9,,,13,-,9,,24,30,18,9,19,5,,13,,,10,18,12,23,8,15,27,10,272.0
"Montgomery, Brett",1,-,-,-,,,,,1,2,-,-,1,1,-,-,-,,,-,-,-,-,-,2,8.0
"Morgan, Adam",,,,,,,,,,,,,,,,,,,-,,,,,,,
"Paxman, Stephen",-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3,-,-,6.0
"Pickett, Byron",-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2.0
"Poulton, Jared",,-,1,-,-,,,,,2,-,-,-,-,-,-,-,-,-,,-,,,,,3.0
"Primus, Matthew",14,26,17,,,,1,,,,,,,9,7,7,14,16,,,,,,,,111.0
"Salopek, Steven",-,-,-,-,,,,,,,-,-,,,-,-,,-,,,,,,,,
"Schofield, Jarrad",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stevens, Nick",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,-,-,-,-,-,-,1.0
"Thurstans, Toby",1,-,4,-,1,1,2,,,-,,,,,,,,,,,2,1,,,,12.0
"Tredrea, Warren",-,-,,,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,1,1,-,-,7.0
"Wakelin, Darryl",-,,,-,-,-,-,-,-,1,4,-,1,-,-,-,-,,,2,,-,2,-,3,13.0
"Wanganeen, Gavin",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wilson, Michael",,,,,1,-,-,-,-,-,-,,,-,,,,,2,-,2,-,-,2,1,8.0
Totals,28,39,45,32,22,36,21,33,44,41,31,43,50,31,30,36,34,47,23,34,32,27,54,50,32,895.0
Opponent,WC,BL,HW,CA,AD,RI,ME,KA,ES,CW,FR,SK,SY,GE,WB,WC,BL,HW,CA,ME,RI,AD,SY,ES,CW,
