Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Banner, Mitchell",-,1,-,,,,,,,,,,-,1,-,1,-,-,-,,,,3.0
"Boak, Travis",-,-,-,-,-,-,-,-,-,-,-,-,2,,-,,-,3,-,-,-,3,8.0
"Broadbent, Matthew",,,,,,,,,,-,-,,,-,-,-,-,-,1,-,2,-,3.0
"Brogan, Dean",-,-,,-,-,1,-,-,-,,-,-,-,-,-,-,-,1,-,-,-,2,4.0
"Carlile, Alipate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Carr, Josh",,,,,-,-,,,,1,,,-,,-,1,-,,,,,,2.0
"Cassisi, Domenic",-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,3.0
"Chaplin, Troy",,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,1.0
"Cloke, Cameron",,,-,,,,,,,,,,,,,,,,,,,,
"Cornes, Chad",-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,,,,,,,1.0
"Cornes, Kane",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Davenport, Jason",1,2,2,1,,1,-,-,-,,1,1,1,,,-,,,,1,,2,13.0
"Ebert, Brett",4,3,2,-,6,1,3,1,1,3,4,2,,1,4,2,6,3,2,-,-,,48.0
"Gray, Robbie",,,,-,1,4,2,-,,,,,,,,,1,2,1,2,3,3,19.0
"Harding, Scott",1,,,,,,,,,,,,,,,-,,,,,,,1.0
"Hartlett, Hamish",,,,,-,-,,,,,-,-,,,,,,,,,,,
"Hitchcock, Cameron",1,-,-,1,,,,1,1,1,,2,2,1,-,-,1,1,1,1,-,,14.0
"Krakouer, Nathan",-,-,-,-,,,-,,,,,,,,,,,-,-,,,,
"Lobbe, Matthew",,,,,-,-,,,,,,-,,,,,,,,,,,
"Logan, Tom",,-,1,-,-,,1,-,-,-,1,-,-,-,-,-,-,,1,-,,-,4.0
"Meyer, Danny",,,,,,,,,,,,,-,,,,,-,-,-,-,-,
"Moore, Andrew",1,,,,,,,,,,,,,,,,-,-,-,-,-,-,1.0
"Motlop, Daniel",,,,,,,3,2,-,,3,2,-,1,2,-,,,,,,,13.0
"Nash, Jay",,,,,,,,,-,-,-,-,-,,,-,,,,,-,-,
"Pearce, Danyle",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Pettigrew, Michael",,,,,,,,,,,,,,,,,,,,,,-,
"Rodan, David",,,,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,4.0
"Salopek, Steven",-,-,-,-,-,1,-,-,-,1,1,-,,-,-,-,,,,,,,3.0
"Salter, Nick",,,,,,,,,,-,,,,-,-,-,-,-,,-,-,,
"Schulz, Jay",-,2,2,,3,-,,2,3,,,,7,2,,2,2,5,2,2,3,3,40.0
"Stewart, Daniel",,,,1,,,,,,1,1,,1,3,1,,1,2,-,,-,4,15.0
"Stewart, Paul",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,2,2.0
"Surjan, Jacob",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Thomas, Matt",1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,-,,-,1,-,1,4.0
"Tredrea, Warren",1,-,4,1,-,1,-,,,,,,,,,,,,,,,,7.0
"Trengove, Jackson",-,-,-,-,,,1,1,2,-,-,-,-,-,-,-,,-,-,-,-,-,4.0
"Westhoff, Justin",1,1,-,-,-,-,3,-,-,-,,,,-,-,3,2,1,-,4,-,2,17.0
Totals,11,9,11,4,10,11,13,7,9,7,11,8,13,10,7,10,14,20,8,12,8,23,236.0
Opponent,NM,WC,BL,GE,SK,AD,ES,CA,ME,RI,HW,SY,NM,FR,CW,WB,AD,HW,SK,WC,ME,RI,
