Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Audas, Pat",,,-,-,-,-,,,,,,,,,,,,,
"Betson, Kevin",-,1,-,,-,-,-,-,-,-,-,-,-,,-,-,-,-,1.0
"Boland, Brian",,,,,-,,,-,,,,,,,-,,,-,
"Bradley, Kevin",,,,,,3,2,2,2,-,1,,,,,,,,10.0
"Branton, Ron",3,2,2,3,3,1,3,3,-,3,-,3,-,-,2,1,-,4,33.0
"Cations, Allan",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Cooke, Allan",-,-,1,-,,,-,-,-,-,3,-,-,2,-,-,-,-,6.0
"Cox, Graham",,,,,,,,,,,3,-,-,,,,,,3.0
"Cox, Lance",,,,,,,,,,,,,-,-,,,,,
"Davie, Brian",,,2,2,-,2,-,,,-,,-,-,-,1,-,-,3,10.0
"Deane, Jim",-,1,1,-,1,,,,3,3,1,-,1,-,-,-,1,-,12.0
"Dillon, Kevin",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Dummett, Bob",,,,,,,1,1,-,,1,2,2,-,,,,,7.0
"Eade, Cliff",,,,-,,,,,,,,,,,,,,,
"Green, Bill",,,-,,-,-,,,,,,,,,,,,,
"Hafey, Tom",,,,,,-,-,-,-,,,,,,,,,,
"Hall, Reg",,-,,,,-,-,-,-,1,-,-,-,2,-,1,-,-,4.0
"Hart, Don",1,-,,,,,,,,-,,,,,1,-,,,2.0
"McGown, Ken",,,,,,,,-,,,,,,,,,,,
"Morcom, Stan",,1,,1,-,,-,,,,,,,,,,,,2.0
"Nix, John",-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Oppy, Max",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Patterson, Jeff",,,,-,,,,,,,,,,,,,,,
"Poulter, Ray",-,2,1,,1,1,1,2,1,5,2,1,2,-,7,2,4,-,32.0
"Ritchie, John",-,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Rowe, Des",-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,1,-,1.0
"Rowe, Havel",-,-,1,-,-,-,1,1,2,1,-,3,-,-,,,-,1,10.0
"Ryan, Frank",-,-,-,-,,,,,,,-,,,,-,-,-,-,
"Sawatzky, Herb",,,,,,-,-,-,-,,,,,,,,,,
"Sharp, Laurie",1,1,1,-,1,-,,,,,,,,,,-,-,,4.0
"Slater, Frank",-,-,-,-,-,-,,,,,,,-,-,,,,,
"Spring, Geoff",1,1,1,-,-,-,-,2,-,-,-,-,1,1,-,2,-,3,12.0
"Walton, Jim",4,-,-,1,-,,,3,1,1,1,2,-,1,-,-,-,1,15.0
"Wilson, Bill",3,2,2,1,2,1,2,1,-,2,,2,,-,-,1,-,1,20.0
"Wright, Roy",-,1,2,2,2,1,4,2,2,2,1,1,,-,1,3,-,1,25.0
Totals,13,12,14,10,10,10,14,17,11,18,13,14,6,6,12,10,6,14,210.0
Opponent,NM,FO,CA,SM,ME,HW,CW,SK,FI,GE,ES,NM,FO,CA,SM,ME,HW,CW,
