Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Annear, John",7,12,10,9,12,15,10,9,8,10,7,7,6,15,13,7,6,13,17,6,17,8,224.0
"Barling, Tim",,,5,-,,,,,2,6,3,7,7,16,8,6,4,4,1,,,,69.0
"Bayes, Gavin",,,,,,,,,,,,,,,,,,,1,3,1,,5.0
"Burton, Chris",,,3,3,6,6,2,3,3,3,,,,4,,,,4,4,7,4,4,56.0
"Crebbin, Tom",,,,,,,,,,,,,2,4,11,4,2,,7,5,,,35.0
"Czerkaski, Peter",,,,,,,,,4,5,1,2,3,8,,3,-,,5,4,-,2,37.0
"Egan, Phil",,,,15,3,5,2,,,7,4,7,,9,7,11,8,5,5,3,9,6,106.0
"Eustice, Mark",1,6,3,1,3,-,1,4,6,5,6,1,,,1,,,3,5,9,5,3,63.0
"Foley, Dan",,,,,-,,5,4,,,,5,,,,,9,10,,,,,33.0
"Francis, Peter",3,,10,3,2,5,5,3,3,,,,3,7,6,4,2,6,6,4,3,3,78.0
"Geary, Richard",,,,,,,,,4,2,6,3,8,-,5,,,,,9,2,4,43.0
"Gepp, Tim",1,10,7,7,4,9,2,-,6,10,7,11,5,8,7,5,4,5,6,5,10,7,136.0
"James, Stephen",,-,1,5,3,4,1,1,1,3,,,2,2,2,5,1,3,,7,7,1,49.0
"Jess, Jim",4,4,,,,6,3,3,1,4,5,1,,10,3,3,5,7,4,9,5,6,83.0
"Landy, Graeme",1,1,2,1,8,3,5,2,9,,6,2,1,,,,4,4,,,8,6,63.0
"Larkins, Trevor",1,4,3,1,,,,,,,,,,,,,,,,,,,9.0
"Lee, Mark",8,6,6,4,9,11,5,4,4,,6,,,,,,,,,,,,63.0
"Lovell, Noel",,6,,,,,,,,,,,,,,,,,,,,,6.0
"Manton, John",5,5,,,,,,,,,,,4,,6,,,,5,,,,25.0
"McKenna, Michael",1,3,8,2,8,4,7,4,5,8,11,11,5,10,13,8,6,2,3,7,9,1,136.0
"Notting, Dean",,,,,,,,,,,,,,,,,,,3,4,,,7.0
"Palm, David",1,6,10,4,5,9,6,11,7,1,7,2,5,-,5,5,,2,,,6,5,97.0
"Pickering, Michael",,,,,8,9,4,3,,1,,,,8,10,8,3,7,6,11,4,6,88.0
"Poole, Trevor",3,4,3,3,8,7,5,4,6,11,8,5,6,8,9,7,14,8,1,11,,,131.0
"Rioli, Maurice",6,10,6,5,12,13,3,1,13,4,7,6,11,10,8,8,7,7,10,11,6,6,170.0
"Roach, Michael",2,1,2,1,3,2,,,1,1,-,2,2,1,1,2,2,-,1,,,,24.0
"Rowlings, Barry",4,8,3,,4,2,10,2,,,6,,,8,4,5,7,6,4,9,5,7,94.0
"Sartori, Ian",,,,,,,,,,,,,,,,1,,,,,,,1.0
"Simpson, David",-,,,,,,,,,,,,,,,,,,,,,,
"Stewart, Craig",3,3,4,6,4,,,3,,6,,2,,,,4,,,,13,7,6,61.0
"Strachan, Greg",,,-,3,-,5,1,1,5,4,3,4,6,1,6,2,1,2,,4,5,2,55.0
"Vernon, Daryl",3,2,,,,,,,,,5,4,3,,,,,,,,,,17.0
"Wall, Matthew",,,,,,,,,,,,,3,,,,,,,,7,1,11.0
"Walsh, Phil",15,6,2,6,,5,5,3,4,6,4,9,10,,,,2,,,,,,77.0
"Weightman, Dale",10,14,8,10,3,13,10,8,10,16,10,2,7,19,16,12,9,12,10,,,7,206.0
Totals,79,111,96,89,105,133,92,73,102,113,112,93,99,148,141,110,96,110,104,141,120,91,2358.0
Opponent,ES,SY,SK,FI,HW,CW,FO,CA,NM,GE,ME,ES,SY,SK,FI,HW,CW,FO,CA,NM,GE,ME,
