Player,R1,R2,R3,R4,R5,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R22,R23,R24,Tot
"Banik, Anthony",13,17,20,18,18,15,22,20,12,17,24,15,25,-,,,18,17,11,25,11,11,329.0
"Bowden, Sean",,16,,,,,,,,,,,,,,,,,,,,,16.0
"Bower, Brendan",,17,16,6,,11,,,,,,,,,17,13,13,17,14,,,,124.0
"Bower, Nathan",,,,,,,,,,,,,,,,,,,,,,4,4.0
"Campbell, Wayne",,,,,20,19,23,20,21,16,21,24,17,12,,,,,,9,7,,209.0
"Cloke, David",29,22,19,27,15,22,18,12,10,15,24,17,17,14,27,15,17,22,14,21,26,15,418.0
"Esler, Ty",,,,,,,,,,,,,,,,,,,,,,10,10.0
"Francis, Matthew",,,7,5,,,,,,,,,,,,,,,,,,,12.0
"Free, Tony",,,,,,,14,11,11,23,27,26,21,25,27,9,14,19,26,16,10,30,309.0
"Gale, Brendon",7,6,21,12,8,15,21,13,18,13,17,18,,10,12,7,4,14,17,4,9,17,263.0
"Goodwin, Andy",,,,,18,17,2,5,,,2,9,,15,3,21,7,16,11,25,15,11,177.0
"Griffiths, Stuart",14,8,,,,,,,,,,,,,,,,,,,,,22.0
"Hogg, Jeff",8,6,8,12,13,9,14,5,7,12,16,7,13,16,11,9,11,11,19,13,10,7,237.0
"Honybun, David",,,,,,,,,,,,2,4,,,,,,,,,,6.0
"Keays, Terry",18,17,16,15,13,14,11,9,5,11,5,5,12,,,,,,,18,15,22,206.0
"Knights, Matthew",19,29,15,35,31,37,27,26,30,23,27,20,26,21,4,19,23,23,25,28,25,22,535.0
"Lambert, Craig",30,19,31,29,25,39,36,36,26,29,29,16,31,30,16,19,28,30,17,17,25,24,582.0
"Lee, Mark",4,1,,,,,,,,,,,,,,,,,,,,,5.0
"Leys, Brian",6,10,19,8,14,,,,13,12,12,,14,17,12,10,15,,,11,9,10,192.0
"Maxfield, Stuart",,,3,,,,,,,,,,,,,,,,,,,,3.0
"McQueen, Mark",15,1,,19,18,14,,,,,,,,,,,,,,,,,67.0
"Menegola, Todd",,,10,,,,,,,,,,,,,,,,,,,,10.0
"Mitchell, Michael",,,15,6,,,,,,,,,,20,17,12,,20,25,17,13,,145.0
"Mrakov, John",,,,,,,10,16,3,2,,,18,,,,,18,7,17,,,91.0
"Naish, Chris",19,18,25,16,13,6,24,19,18,,10,14,5,24,29,16,20,30,15,22,15,19,377.0
"Nichols, Trent",32,37,25,30,1,21,,,16,8,19,19,14,,,,,,9,,,,231.0
"Pickering, Justin",25,16,11,,14,2,,,,22,20,13,8,,,,,,12,,,,143.0
"Pickering, Michael",,,,19,20,13,16,13,25,23,,13,19,21,21,-,16,3,,27,17,25,291.0
"Powell, Tim",13,,,,18,7,,,,,,19,15,,10,29,2,16,19,32,26,14,220.0
"Ryan, Des",,,,,8,13,16,15,13,25,,,,11,13,12,16,12,11,,,,165.0
"Ryan, Stephen",15,12,19,19,,,18,10,,,28,24,13,,,,,,,13,17,16,204.0
"Scott, Allister",,,,,,,,,,,,,,10,8,8,9,11,4,,,,50.0
"Smith, Craig",14,21,22,18,,18,1,21,28,18,17,,,21,28,38,28,23,8,,,,324.0
"Smith, Jason",6,,,,,,,,,,,,,,,,,,,,,,6.0
"Stockdale, Mark",,,,,,,,,,,-,,,,,,,,,,,,
"Trewella, Mark",,,,6,2,,,,,,,,,,,,,,,,6,10,24.0
"Turner, Scott",10,8,6,2,5,10,12,14,11,2,12,10,3,10,14,20,19,7,14,5,8,6,208.0
"Underwood, Andrew",,,,,,,16,17,7,11,20,17,24,17,11,23,25,1,,,,,189.0
"Walker, Robert",,,,,,,,,,,,,,,,,,,,6,11,18,35.0
"Weightman, Dale",,,23,16,28,30,33,30,35,15,,22,29,3,21,23,29,30,35,37,23,20,482.0
"Young, Barry",13,7,,,,,12,7,22,14,16,,,9,14,13,11,,,,,,138.0
Totals,310,288,331,318,302,332,346,319,331,311,346,310,328,306,315,316,325,340,313,363,298,311,7059.0
Opponent,SK,ES,HW,SY,FI,FO,CW,CA,BB,WC,ME,AD,NM,GE,SK,ES,HW,SY,FI,FO,CW,CA,
