Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Biddiscombe, Craig",,,,,-,,,,,,-,,,,,,,,,,,-,
"Bowden, Joel",-,-,1,-,3,1,-,2,2,-,1,-,2,2,1,2,-,-,3,-,2,-,22.0
"Cameron, Leon",1,-,1,-,-,-,-,-,,,,-,-,-,-,-,2,-,-,-,-,-,4.0
"Campbell, Wayne",-,-,-,-,-,1,2,4,1,1,2,1,1,2,-,-,-,-,-,-,-,-,15.0
"Chaffey, Mark",,,-,-,-,-,1,-,2,1,-,-,-,,-,-,-,-,-,-,-,-,4.0
"Coughlan, Mark",,,,-,-,-,,,,-,-,1,-,-,-,1,-,-,-,1,1,-,4.0
"Ednie, Craig",,,,,,1,2,-,-,,,,,-,1,-,,,,,,,4.0
"Fiora, Aaron",-,-,-,-,-,1,-,1,-,-,,,1,-,-,,-,-,-,1,1,-,5.0
"Gaspar, Darren",1,1,,-,-,-,-,-,1,1,-,-,,-,-,-,1,-,-,,-,-,5.0
"Hall, Ray",-,-,-,-,1,-,1,,,-,1,1,-,-,2,-,2,-,-,-,-,3,11.0
"Hilton, Rory",-,-,-,,,,,,,,,,,,,,,,,,,,
"Holland, Ben",-,2,-,-,,,,,,,,,,,,,,,,,,,2.0
"Houlihan, Adam",-,-,2,1,-,1,1,1,1,-,3,-,,,,-,,,,,,,10.0
"Hudson, Paul",,,,,2,-,,,,,,,2,,,,,,,,,,4.0
"Hyde, Chris",,,,,,,,,,,,,,-,-,,,,,,,,
"Kellaway, Andrew",1,1,1,-,-,-,1,-,1,-,1,-,1,-,-,-,-,1,-,-,-,-,8.0
"Kellaway, Duncan",,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"King, Clinton",1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,1.0
"Knights, Matthew",-,1,-,1,-,2,-,-,1,-,-,-,,-,-,-,-,,,,,,5.0
"Krakouer, Andrew",2,1,1,-,,,-,1,1,,2,-,-,,,,,,-,-,-,,8.0
"Mills, Andrew",,,,,,,,,,,,,,,,,,-,-,1,-,-,1.0
"Newman, Chris",,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,
"Ottens, Brad",4,2,2,3,3,3,2,1,1,-,,,2,3,-,-,1,-,1,-,1,3,32.0
"Pettifer, Kayne",,,,,,1,-,1,,-,1,,,2,-,-,-,-,,,,,5.0
"Poyas, Ezra",,,2,2,-,,,,,,,,,,,,,,,,,,4.0
"Richardson, Matthew",6,4,,,,1,,,,,,3,4,1,,1,2,5,5,6,5,2,45.0
"Rodan, David",-,-,-,1,1,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,6.0
"Rogers, Matthew",1,1,3,-,,,-,1,1,-,2,-,-,-,,-,1,1,-,-,-,1,12.0
"Stafford, Greg",1,-,1,,,,,1,1,2,2,-,,,-,2,2,1,5,3,1,3,25.0
"Sziller, Steven",1,-,-,-,-,,-,-,-,-,1,1,-,-,-,,,,,,,1,4.0
"Tivendale, Greg",-,-,-,-,1,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,1,8.0
"Torney, Jason",1,-,2,-,-,-,-,1,-,-,1,1,-,-,3,1,1,-,-,1,-,-,12.0
"Vardy, Royce",,,,,-,-,-,2,-,,,,-,,,,,,,2,,,4.0
"Zantuck, Ty",-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,-,-,-,6.0
Totals,20,13,16,8,11,12,11,17,16,11,18,8,14,12,7,7,12,8,15,15,11,14,276.0
Opponent,CW,ES,ME,FR,HW,AD,SY,WC,SK,WB,KA,PA,GE,CA,BL,CW,ES,ME,FR,HW,AD,SY,
