Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Bowden, Joel",-,2,4,10,4,4,6,5,2,2,2,,,,,,,,,2,,,43.0
"Brown, Nathan",1,4,2,-,,,,1,-,-,,,,,,,1,-,-,1,2,-,12.0
"Browne, Andrew",1,,,,,,,,,,,,,,,,,,,,,,1.0
"Collins, Andrew",,,,-,-,2,-,-,1,2,2,3,,1,,,,,,,,,11.0
"Connors, Daniel",,,,-,,,,,1,,,,,,,,,,,,,,1.0
"Cotchin, Trent",,,,,,,,1,1,-,1,3,-,-,3,,3,2,,,,,14.0
"Coughlan, Mark",,,,,1,2,-,1,1,,4,,,,,2,,,,2,,2,15.0
"Cousins, Ben",2,,,,,,1,5,,2,-,3,-,-,2,,3,2,3,3,2,1,29.0
"Deledio, Brett",5,3,2,1,5,2,4,-,3,3,3,-,1,-,1,1,-,2,1,5,2,1,45.0
"Edwards, Shane",1,2,-,,,,-,,,,,4,2,2,1,3,1,4,3,2,3,1,29.0
"Foley, Nathan",3,-,2,2,1,2,1,3,-,3,-,4,3,-,,,,,,,,,24.0
"Graham, Angus",,-,-,1,1,2,1,1,,,,-,1,1,1,-,,,-,1,-,-,10.0
"Hislop, Tom",,-,-,-,,,,,,,,-,1,-,1,-,1,1,-,1,,,5.0
"Jackson, Daniel",-,2,1,3,3,2,-,-,1,2,1,3,2,1,5,2,4,2,1,2,2,1,40.0
"King, Jake",,2,3,,,,,,,,,,,,1,-,2,2,-,2,,,12.0
"McGuane, Luke",2,4,2,4,6,4,2,1,3,2,-,5,1,2,1,-,3,3,1,-,5,7,58.0
"McMahon, Jordan",-,,,5,1,2,,,,,2,,,,,2,5,5,4,3,1,5,35.0
"Moore, Kelvin",1,4,1,2,-,2,1,2,3,3,-,2,3,5,2,,,1,1,,3,-,36.0
"Morton, Mitch",-,-,-,-,1,1,,-,-,-,-,-,-,-,-,1,-,-,2,4,-,-,9.0
"Nahas, Robin",,-,,-,-,-,-,-,-,-,,1,-,-,1,1,1,1,-,-,-,-,5.0
"Newman, Chris",8,6,4,2,4,-,3,5,7,-,3,3,6,4,2,4,3,3,3,6,2,,78.0
"Oakley-Nicholls, Jarrad",,,,,-,-,-,,,,,,1,,,,,,,,,,1.0
"Pattison, Adam",,,,,1,2,,,-,-,1,-,,,,,-,-,,,,,4.0
"Pettifer, Kayne",,,,,,,,4,-,1,-,,,,,,,,,,,,5.0
"Polak, Graham",,,,,,,,,,,,,,,,,,,,,2,-,2.0
"Polo, Dean",,3,2,2,3,4,6,-,3,3,4,1,7,-,1,-,2,4,1,1,4,5,56.0
"Post, Jayden",,,,,,,,,,,,,,5,-,1,-,1,1,,,2,10.0
"Raines, Andrew",2,,,,,,,3,2,,,,,,,,,,,,,,7.0
"Rance, Alex",,3,2,3,3,1,-,,,,1,3,-,,4,2,,,-,1,4,-,27.0
"Richardson, Matthew",2,1,1,-,-,-,,,,,,,,,,,,,,,,,4.0
"Riewoldt, Jack",-,-,-,-,-,-,-,,,1,-,-,2,1,-,-,1,-,2,2,-,2,11.0
"Schulz, Jay",1,-,2,,,,1,,,,,,,,,,,,,,,,4.0
"Silvester, Jarrod",,,,,,,,,,,,,3,3,,4,-,,,,,2,12.0
"Simmonds, Troy",2,-,-,-,,,-,-,1,1,-,,,,,,,,,,2,1,7.0
"Tambling, Richard",-,,1,,-,-,1,1,1,2,4,5,1,2,4,2,4,-,3,-,5,1,37.0
"Thomson, Adam",,,,,,,,,,,,,,,,,,,,,-,1,1.0
"Thursfield, Will",1,,,,,,,,,-,1,-,-,-,3,3,3,-,3,1,-,,15.0
"Tuck, Shane",1,-,4,1,1,1,-,-,2,2,2,1,3,1,-,2,,,,1,3,-,25.0
"Vickery, Ty",,,,,,,,,,,,-,-,2,-,-,-,-,-,-,,,2.0
"White, Matt",2,-,1,1,2,2,1,2,1,1,,,,,-,1,1,-,1,,-,,16.0
Totals,35,36,34,37,37,35,28,35,33,30,31,41,37,30,33,31,38,33,30,40,42,32,758.0
Opponent,CA,GE,WB,ME,NM,SY,BL,PA,ES,FR,WB,WC,SK,AD,CA,NM,ES,ME,SY,CW,HW,WC,
