Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,PF,Tot
"Astbury, David",-,-,-,-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-,-,1.0
"Baker, Liam",,,,,,,,,,,,,,,,,,-,-,,-,,,,
"Bolton, Shai",-,-,,,,,,,,,,,,,,-,,,,,,,,,
"Broad, Nathan",,,,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,
"Butler, Dan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
"Caddy, Josh",-,-,,-,,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,6.0
"Castagna, Jason",-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Conca, Reece",-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,1.0
"Cotchin, Trent",-,-,1,2,-,-,,3,-,3,-,1,-,-,-,-,-,-,-,-,,-,-,-,10.0
"Edwards, Shane",-,-,-,-,1,-,-,-,-,-,3,-,-,-,1,-,-,2,-,-,-,-,-,-,7.0
"Ellis, Brandon",-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
"Ellis, Corey",-,-,,,,,,,,,,,,,-,-,,,,,,,,,
"Garthwaite, Ryan",,,,,,,,,,,,,-,,,,,,,,-,,,,
"Graham, Jack",-,-,-,-,,-,-,-,-,-,-,,-,-,-,,,,,-,-,-,-,-,
"Grigg, Shaun",-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2.0
"Grimes, Dylan",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Higgins, Jack",,,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Houli, Bachar",,-,-,-,-,-,-,-,-,-,,,,,,-,,,,-,-,-,-,-,
"Lambert, Kane",-,-,-,-,3,-,2,-,-,-,-,-,1,2,3,-,-,-,1,-,,,-,-,12.0
"Lloyd, Sam",,,-,,-,,-,-,-,,,,,,,,,,-,,-,,,,
"Martin, Dustin",-,1,-,3,2,2,-,-,-,-,2,,-,-,2,-,2,-,-,-,3,2,-,-,19.0
"McIntosh, Kamdyn",-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,
"Menadue, Connor",,,,,,,,,,-,-,-,,,,,-,,-,,,,,,
"Miles, Anthony",,,,,,,,,,,,-,,,,,,,,,,,,,
"Moore, Callum",,,,,,,,,,-,-,-,,,-,-,-,,,,,,,,
"Nankervis, Toby",-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,3.0
"Prestia, Dion",,,,-,-,-,-,,,,,,,-,-,-,3,-,,-,,-,-,-,3.0
"Rance, Alex",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Riewoldt, Jack",1,-,2,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,-,1,-,-,10.0
"Rioli, Daniel",,,,,,,,,,,,,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Short, Jayden",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Soldo, Ivan",,,,,,,,,,,,,,,,,,,,-,,,,,
"Townsend, Jacob",-,-,-,-,-,,-,-,-,,,,,,,,,-,-,,,,,,
"Vlastuin, Nick",-,,-,-,,-,-,-,-,-,-,-,2,-,,-,-,-,-,-,-,-,-,-,2.0
Totals,1,1,3,6,6,5,3,5,0,5,6,1,3,5,6,0,6,2,1,6,4,3,0,0,78.0
Opponent,CA,AD,HW,BL,ME,CW,FR,NM,WC,SK,ES,PA,GE,SY,AD,GW,SK,CW,GE,GC,ES,WB,HW,CW,
