Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Aarts, Jake",3,2,-,-,4,2,2,1,2,4,2,2,1,1,4,-,5,2,1,,-,2,40.0
"Astbury, David",1,-,2,-,-,1,-,1,1,1,,,,,-,-,1,1,2,-,,-,11.0
"Baker, Liam",4,1,-,-,3,4,3,2,9,6,-,3,-,3,2,4,3,4,4,3,4,3,65.0
"Balta, Noah",3,2,1,-,-,2,2,-,-,2,2,1,1,-,,,,,,,,,16.0
"Bolton, Shai",8,4,1,5,5,4,10,6,,,5,7,8,4,5,8,4,2,1,3,1,5,96.0
"Broad, Nathan",-,1,-,4,2,2,3,1,2,2,2,1,-,1,,,,,,,,,21.0
"Caddy, Josh",3,-,4,-,,,,,,,5,2,1,,,,,-,-,,,,15.0
"Castagna, Jason",2,3,4,-,2,3,3,-,1,2,-,2,1,1,-,-,1,1,2,-,,4,32.0
"Chol, Mabior",,,,,,,,,,,2,6,2,1,-,-,2,2,1,,,1,17.0
"Coleman-Jones, Callum",,,,,,,,,,,1,-,1,1,-,,,,,-,1,2,6.0
"Collier-Dawkins, Riley",,,,,,,1,3,4,3,2,2,,,1,2,,,,,,3,21.0
"Cotchin, Trent",,7,3,4,1,4,5,,,,4,-,2,4,4,1,2,4,6,2,4,,57.0
"Dow, Thomson",,,,,,,,,,,,,,,-,-,,,,3,2,1,6.0
"Edwards, Shane",3,1,4,5,7,3,-,3,,,,6,1,3,1,,,1,1,1,1,,41.0
"Eggmolesse-Smith, Derek",,,-,,,,,,,,,,,,,,,,,,,,
"Garthwaite, Ryan",,,,,,,,,,,,,,,,1,-,2,1,,-,,4.0
"Graham, Jack",11,3,2,4,5,6,2,4,2,2,3,2,-,4,3,5,3,4,5,7,6,3,86.0
"Grimes, Dylan",1,1,-,-,3,1,-,,1,-,-,-,-,-,2,1,1,-,1,-,3,-,15.0
"Houli, Bachar",,,,3,-,3,6,-,1,3,1,2,5,1,1,,,,,,,,26.0
"Lambert, Kane",4,7,3,3,3,2,,,,,,,3,3,,,7,1,5,1,2,,44.0
"Lynch, Tom",2,5,2,2,-,4,4,2,2,2,,,,,4,4,2,1,3,1,3,2,45.0
"Mansell, Rhyan",,,,2,2,2,-,1,-,,,,,-,,1,3,1,1,1,1,,15.0
"Martin, Dustin",8,9,6,3,8,2,,7,6,3,5,4,7,3,1,6,6,,,,,,84.0
"Martyn, Will",,,,1,,,,,,-,,,,,,,,,,,,2,3.0
"McIntosh, Kamdyn",3,2,3,,4,1,4,3,2,2,3,1,3,2,4,7,1,,,,,2,47.0
"Miller, Ben",,,,,,,,,,,,,,,,,,,,,,-,
"Naish, Patrick",,,,,,,1,1,3,-,,,,,4,2,,,,,,,11.0
"Nankervis, Toby",1,1,2,3,3,5,2,1,2,2,1,,,,,,4,2,1,3,1,,34.0
"Parker, Matthew",,,,,,,,,,,,,,,,,4,5,1,3,1,2,16.0
"Pickett, Marlion",4,2,2,3,3,3,1,1,5,2,,1,3,3,2,2,2,1,,,,5,45.0
"Prestia, Dion",1,5,1,,,,,,,,3,3,,4,,,,,4,4,2,,27.0
"Ralphsmith, Hugo",,,,,,,,,1,2,-,,-,,,,,,,3,2,,8.0
"Riewoldt, Jack",3,1,3,3,4,2,2,1,-,4,5,1,2,4,1,4,-,3,2,2,1,3,51.0
"Rioli, Daniel",1,-,3,,1,2,1,3,-,2,-,-,1,,,-,-,2,5,3,1,1,26.0
"Rioli, Maurice",,,,,,,,,,,,,,,,,,,,1,1,,2.0
"Ross, Jack",5,-,,1,-,1,2,1,-,-,,,,,1,-,1,4,-,,,6,22.0
"Ryan, Samson",,,,,,,,,,,,,,-,,,,,,,,,
"Short, Jayden",4,1,1,3,4,1,3,1,2,-,2,3,2,-,2,3,6,1,2,2,3,4,50.0
"Stack, Sydney",,,,,,,,,,,,,,,,-,3,2,2,5,1,-,13.0
"Vlastuin, Nick",-,,,,,,,-,-,1,-,3,3,-,-,,,,,1,2,2,12.0
Totals,75,58,47,49,64,60,57,43,46,45,48,52,47,43,42,51,61,46,51,49,43,53,1130.0
Opponent,CA,HW,SY,PA,SK,ME,WB,GE,GW,BL,AD,ES,WC,SK,GC,CW,BL,GE,FR,NM,GW,HW,
