Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Baker, Ian",,-,,-,-,-,-,,,,-,-,-,-,,-,-,-,,-,-,,
"Barker, Trevor",-,-,-,-,-,-,-,,,-,-,-,-,-,-,,-,-,-,-,-,4,4.0
"Bell, Peter",,,,,,,,,-,-,-,-,-,-,,,,,-,,,-,
"Besanko, Neil",-,1,-,-,-,-,-,-,-,-,,,,,,,,,,-,-,-,1.0
"Bonney, John",-,-,-,-,,,-,-,-,,-,,,-,,,,,,,,,
"Booth, Doug",,,,,,,,,,,,-,,,,1,,,-,,1,4,6.0
"Breen, Barry",-,-,-,,-,-,-,,,,,,-,,,-,-,-,-,-,-,-,
"Callery, Paul",-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,
"Carter, Colin",,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Colling, Gary",-,2,-,-,2,2,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,2,11.0
"Ditterich, Carl",16,,,,,7,17,4,9,11,13,8,6,11,20,4,11,16,11,17,13,9,203.0
"Duperouzel, Bruce",-,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Elliott, Glenn",-,-,-,,-,-,-,,,-,-,,-,-,-,-,-,-,,1,-,,1.0
"Elliott, Robert",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,,,,-,-,
"Greene, Mark",,-,-,-,,,-,,,,,,,,,,,,,,,,
"Greene, Russell",,,,,,,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Hunt, Rex",-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3.0
"Judson, Wayne",-,-,,,,,,-,-,-,,-,,,-,-,-,-,-,-,,,
"Lawrence, Barry",-,-,-,,-,-,-,-,-,,,,,,,,,,,,,,
"Lofts, Gary",-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Malthouse, Mick",,,,-,,,-,,,,,-,,,,,,,,,,,
"Mildenhall, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Muir, Robert",-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Neale, Kevin",-,5,-,9,14,14,7,-,-,2,3,,4,1,1,-,5,1,-,8,-,-,74.0
"ODea, Jim",,,,,-,,,,,-,-,,,,-,,,,-,,,,
"Perovic, Val",,,,,,,,-,-,-,-,-,-,-,-,-,-,-,5,-,,,5.0
"Reynolds, Russell",,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,-,
"Sarau, Jeff",6,18,21,11,13,7,,15,19,17,12,15,16,12,13,11,18,14,15,10,12,9,284.0
"Shepherd, David",,,-,-,,,,,,,,,,,,,,,,,,,
"Stevens, Phil",-,,-,,,,,-,-,-,,,,,-,,,,,,,,
"Theodore, Stephen",-,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
"Young, George",,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,
Totals,22,26,21,20,30,30,24,20,28,31,28,25,26,25,34,16,34,32,31,36,26,28,593.0
Opponent,HW,FI,GE,NM,CW,FO,ES,CA,ME,SM,RI,HW,FI,NM,GE,CW,FO,ES,CA,ME,SM,RI,
