Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,PF,GF,Tot
"Armitage, David",,,,,,,,,,,,,,,,,,,2,3,1,,,,,6.0
"Baker, Steven",1,-,1,-,4,1,-,-,1,1,2,1,1,1,-,2,1,2,,1,-,1,2,1,2,26.0
"Ball, Luke",1,3,3,3,2,3,5,3,3,3,-,4,-,2,1,,,,2,-,,,3,3,4,48.0
"Begley, Colm",,,,,,,,,,,,,,,,,,,2,,,,,,,2.0
"Blake, Jason",2,3,4,1,4,1,1,-,3,2,2,2,1,2,4,-,3,2,2,-,-,-,1,2,1,43.0
"Clarke, Raphael",-,,,,,,,,2,1,6,,,2,1,-,-,2,1,-,1,1,-,2,3,22.0
"Dal Santo, Nick",2,1,2,3,3,2,1,4,3,2,3,2,2,2,1,1,6,5,,3,2,4,4,6,-,64.0
"Dawson, Zac",2,2,-,-,3,1,3,1,1,-,-,-,1,4,-,2,,,2,1,1,1,1,2,3,31.0
"Dempster, Sean",,,,,,,,,,,,,,,2,-,3,1,6,1,1,4,,,-,18.0
"Eddy, Robert",,,,,5,2,,,,,,,,,3,1,-,-,6,,,1,1,1,,20.0
"Fisher, Sam",1,4,1,2,1,1,1,2,1,1,3,3,2,3,1,3,4,1,,3,-,-,-,4,-,42.0
"Gardiner, Michael",2,-,-,2,1,4,2,2,1,1,,-,-,2,1,,,,3,1,2,,-,1,1,26.0
"Geary, Jarryn",3,3,3,1,1,2,5,2,4,2,-,2,4,-,,,,,2,,,,,,,34.0
"Gilbert, Sam",3,2,2,2,1,2,5,1,2,1,,2,-,2,4,4,3,,,5,2,5,5,2,3,58.0
"Goddard, Brendon",3,2,1,2,7,2,4,2,3,6,4,1,1,2,-,2,1,1,,-,2,5,1,3,-,55.0
"Gram, Jason",3,3,5,4,5,2,-,-,,1,2,1,6,2,3,3,2,2,3,2,6,3,1,6,2,67.0
"Gwilt, James",3,2,3,1,2,1,1,-,2,1,2,,,,,,2,1,1,,2,,,,,24.0
"Hayes, Lenny",,1,3,2,6,1,3,2,3,1,6,2,1,1,2,-,2,4,,1,,1,4,4,2,52.0
"Hudghton, Max",,,,,,,,,,,1,1,1,,,,-,5,1,4,,,,,,13.0
"Jones, Clinton",-,1,3,1,3,3,2,3,2,2,1,1,1,4,1,-,3,1,3,,1,1,3,2,2,44.0
"King, Steven",2,2,4,-,2,,,-,1,1,2,,,,,1,3,-,2,-,1,3,2,1,1,28.0
"Koschitzke, Justin",-,-,4,-,,2,2,1,1,1,1,2,2,3,2,2,,2,3,3,4,2,1,3,2,43.0
"McEvoy, Ben",,,,,,,-,,,,-,1,-,-,-,-,-,-,2,,,-,,,,3.0
"McQualter, Andrew",2,1,2,2,4,1,1,3,-,-,1,-,-,-,3,2,-,-,2,,1,-,-,1,-,26.0
"Milne, Stephen",2,6,3,2,2,3,-,3,4,,,2,1,3,5,1,1,2,3,5,1,3,5,4,5,66.0
"Montagna, Leigh",6,3,2,5,1,1,6,1,4,4,1,2,3,6,3,2,2,2,,3,3,1,6,3,6,76.0
"Ray, Farren",1,1,4,3,1,1,1,-,1,3,3,4,1,1,2,3,1,3,2,1,-,3,3,2,-,45.0
"Riewoldt, Nick",3,1,5,1,4,1,1,2,-,2,3,1,3,3,2,1,2,2,,2,1,2,2,3,1,48.0
"Schneider, Adam",2,1,1,2,-,-,4,1,1,-,-,4,3,3,,3,1,1,4,1,4,2,4,1,-,43.0
"Steven, Jack",,,,,,,,,,,,,,,,,,,2,,,,,,,2.0
Totals,44,42,56,39,62,37,48,33,43,36,43,38,34,48,41,33,40,39,56,40,36,43,49,57,38,1075.0
Opponent,SY,AD,WC,FR,PA,WB,CW,ES,BL,ME,NM,CA,RI,GE,WC,AD,WB,SY,HW,ES,NM,ME,CW,WB,GE,
