Player,R1,R2,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,Tot
"Archer, Daniel",,8,,,,,,,,,,,,,,,,,,,,,,8.0
"Armitage, David",11,25,21,18,26,22,13,17,17,11,16,18,9,9,3,20,12,18,4,18,21,,7,336.0
"Baker, Steven",8,7,,16,16,8,17,,,10,9,13,,,,,,,,4,,,,108.0
"Blake, Jason",8,9,,,7,14,,11,11,,,,,,,,,27,3,12,12,18,18,150.0
"Clarke, Raphael",13,6,12,,,1,,,,,15,4,4,16,20,20,19,17,17,14,11,21,12,222.0
"Cripps, Jamie",,,,,4,8,6,8,,,,,,,,,,,,,,,,26.0
"Dal Santo, Nick",30,22,29,17,29,24,19,20,30,32,14,32,31,36,26,31,39,25,28,23,25,20,33,615.0
"Dawson, Zac",11,9,17,17,10,,10,7,7,13,11,6,9,8,8,16,14,,12,,6,11,12,214.0
"Dempster, Sean",9,11,17,10,12,13,18,14,16,10,19,5,13,11,17,12,11,17,17,20,12,15,22,321.0
"Fisher, Sam",17,22,23,28,16,22,31,22,22,20,18,27,24,10,26,17,24,24,21,16,23,12,21,486.0
"Gamble, Ryan",9,12,3,,,,,,,,15,16,10,17,10,16,15,6,,,,,,129.0
"Gardiner, Michael",,,,,,,,,,,,,,,,,,,,,,10,,10.0
"Geary, Jarryn",,,,,,,,,,,,,,,,10,3,15,10,16,5,14,6,79.0
"Gilbert, Sam",15,15,17,15,12,16,15,25,21,17,9,23,23,16,20,14,16,15,20,12,20,22,15,393.0
"Goddard, Brendon",22,15,28,26,21,16,14,37,10,24,26,24,28,27,30,30,37,18,16,22,31,21,19,542.0
"Gram, Jason",23,23,33,23,15,16,13,,,,22,24,14,24,31,24,26,24,24,24,13,16,26,438.0
"Gwilt, James",15,14,15,17,18,17,20,23,20,25,21,17,27,21,13,,,,,,,,,283.0
"Hayes, Lenny",29,16,,,,,,,,,,,,,,,,,,,,,,45.0
"Johnson, Will",,,,,3,,,,,,,,,,,,,,,,,,,3.0
"Jones, Clinton",15,6,7,23,22,18,13,22,15,16,29,30,12,20,15,28,16,29,26,20,13,18,31,444.0
"Koschitzke, Justin",,,,5,,14,12,6,,,,9,,,13,12,15,17,8,,13,8,15,147.0
"Ledger, Tom",,,,,,,,,,10,6,,,,,,,,,,,,,16.0
"Lynch, Tom",,,,,,,,,11,,,,16,11,,,10,,,6,,,,54.0
"McEvoy, Ben",10,14,15,16,12,15,10,,14,22,17,15,23,11,13,20,16,11,16,7,16,13,14,320.0
"McQualter, Andrew",8,,,6,21,15,4,,,,,,,,,,,,,,,,,54.0
"Milne, Stephen",8,24,17,13,15,11,13,13,15,12,13,10,11,14,14,14,18,14,6,13,17,9,14,308.0
"Montagna, Leigh",28,22,26,33,17,25,,38,23,14,,9,24,19,34,28,27,23,24,17,27,26,22,506.0
"Peake, Brett",11,13,10,,,,,21,17,21,23,24,22,19,25,19,23,20,19,12,16,22,15,352.0
"Polo, Dean",,,,,,,13,23,13,13,,,13,14,22,23,20,19,13,18,19,17,20,260.0
"Ray, Farren",18,12,23,17,,,11,15,24,20,24,16,22,11,15,24,28,16,20,17,11,7,17,368.0
"Riewoldt, Nick",16,14,16,18,13,19,18,31,14,19,19,7,16,13,17,17,,17,10,15,20,9,16,354.0
"Schneider, Adam",,,12,25,14,24,16,10,16,11,17,13,16,20,20,18,18,21,20,15,16,21,14,357.0
"Simpkin, Tom",,,,,,,,,,9,7,,,,,,,,,,,,,16.0
"Siposs, Arryn",,,,,,4,11,6,6,6,,,,,,,,,,,,,,33.0
"Smith, Alistair",,,16,12,7,,,,,,,,,,,,,,,,,,,35.0
"Stanley, Rhys",,,12,2,,,,,,,,,,,,,,,,,,,,14.0
"Steven, Jack",,,12,13,17,8,11,27,27,23,20,23,27,26,13,24,29,19,22,11,19,22,18,411.0
"Winmar, Nick",,,,,,,,9,8,,,,,,,,,,,,,,,17.0
Totals,334,319,381,370,327,330,308,405,357,358,370,365,394,373,405,437,436,412,356,332,366,352,387,8474.0
Opponent,GE,RI,ES,BL,AD,CA,HW,ME,FR,CW,WB,GE,NM,PA,WC,AD,GC,FR,CW,SY,NM,CA,SY,
