Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Acres, Blake",,-,-,-,1,1,-,3,-,-,,2,-,1,-,-,2,1,,-,1,-,12.0
"Armitage, David",,,,,,,,,,,,-,-,,,,,,,,,,
"Battle, Josh",1,-,-,-,1,1,1,2,-,-,-,2,-,1,-,,,,-,-,-,-,9.0
"Billings, Jack",-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,4.0
"Brown, Nathan",,-,-,-,-,-,,-,-,-,-,-,,,,-,-,-,-,,-,-,
"Bruce, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Carlisle, Jake",,,,,,,,,,,,,-,-,-,-,-,3,-,-,-,-,3.0
"Clark, Hunter",,,-,-,,,-,,,,,-,-,-,-,-,-,-,-,1,-,-,1.0
"Coffield, Nick",,,,,,,,,,,-,,,-,-,-,-,-,-,-,,,
"Dunstan, Luke",-,-,-,,,,,-,2,-,-,1,-,-,-,-,1,-,-,-,-,1,5.0
"Geary, Jarryn",-,1,-,,-,,,,,,-,,,,,,,,,,,,1.0
"Gresham, Jade",1,2,1,3,1,1,1,-,1,3,-,1,2,1,-,-,-,-,1,,,,19.0
"Hannebery, Dan",,,,,,,,,,,,,-,-,,,,,,-,-,-,
"Hind, Nick",,,,,,,,,,,,3,2,-,1,-,-,1,3,-,5,-,15.0
"Joyce, Darragh",-,,,,,,-,,,,-,,,,,,,,,,,,
"Kent, Dean",-,-,-,-,-,-,-,1,-,2,-,-,-,,,,,,,,,,3.0
"Langlands, Doulton",,,,,,,,,,,,,,,,,-,-,-,,,,
"Long, Ben",-,,,1,-,-,1,-,,-,-,,,-,-,-,,-,-,-,1,-,3.0
"Longer, Billy",,,,,,-,,,,,,,,,,,,,,,,,
"Lonie, Jack",-,-,-,-,-,-,,,,,,,,,,-,-,-,-,-,-,-,
"Marsh, Jonathon",,,,,,,-,,-,-,,-,-,,,,,,,,,,
"Marshall, Rowan",,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McKenzie, Daniel",-,-,-,-,,-,-,-,-,-,,-,-,-,-,-,,,-,,,,
"Membrey, Tim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1.0
"Newnes, Jack",2,2,-,-,2,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,1,7.0
"Parker, Matthew",-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,,-,,-,,,,2.0
"Paton, Ben",,,,-,-,1,3,-,-,,,,,-,-,-,2,-,,-,-,,6.0
"Phillips, Ed",,,,,,,,-,-,-,1,,,,,,,,,,,,1.0
"Pierce, Lewis",-,,,,,,,,,,,,,,,,,,,,,,
"Ross, Sebastian",5,3,2,4,1,1,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0
"Rowe, Sam",,,,,,,,,,,,,,,,,,,,,,-,
"Savage, Shane",1,1,-,-,2,2,3,1,-,-,-,-,1,-,1,-,-,1,-,2,-,-,15.0
"Sinclair, Jack",-,3,3,-,-,-,1,-,1,-,-,2,4,-,-,-,-,1,-,-,1,-,16.0
"Steele, Jack",-,-,1,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,1.0
"Steven, Jack",1,-,,,-,2,,,,,,,,,,,,,,-,-,-,3.0
"Webster, Jimmy",-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
"White, Brandon",,,,,,,,,,,,-,,,,,,,,,,,
"Wilkie, Callum",-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Young, Robbie",,,,,,,,,-,-,1,,,,,,,,,,,,1.0
Totals,11,12,7,8,9,10,16,10,4,5,3,12,9,4,4,0,5,7,5,3,8,2,154.0
Opponent,GC,ES,FR,HW,ME,AD,GW,WC,CW,CA,PA,GC,BL,RI,NM,GE,WB,ME,AD,FR,CA,SY,
