Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Battle, Josh",5,13,4,7,7,10,1,9,8,6,5,8,9,8,2,11,14,4,4,4,,3,142.0
"Billings, Jack",,,,,,,,,8,2,,,5,6,10,7,8,-,,,,,46.0
"Butler, Dan",3,2,3,2,1,1,1,3,,,,-,2,1,1,1,4,3,3,4,-,-,35.0
"Byrnes, Ryan",2,-,,-,-,,,,,-,-,,6,3,,,7,7,-,,,,25.0
"Campbell, Tom",,,,,,,2,,,,,,,,,,,,,,,5,7.0
"Clark, Hunter",,,,,,,,,,,,,1,3,3,,,2,2,7,4,-,22.0
"Crouch, Brad",2,4,4,5,4,2,1,4,3,5,2,1,5,5,5,3,3,5,1,4,5,,73.0
"Gresham, Jade",6,3,2,3,1,3,4,2,2,1,3,3,6,3,1,1,5,1,,,,,50.0
"Hannebery, Dan",,,,,,,,,,,,,,,,,,,5,-,,2,7.0
"Hayes, Jack",10,3,3,,5,2,,,,,,,,,,,,,,,,,23.0
"Higgins, Jack",4,5,1,,7,9,5,1,-,,,3,2,,2,2,4,5,4,3,4,7,68.0
"Highmore, Tom",,,,,,,,,,,,,,,3,7,7,,,,,,17.0
"Hill, Bradley",5,6,1,9,3,2,4,2,6,10,9,4,10,,2,4,2,2,1,8,2,8,100.0
"Howard, Dougal",4,,5,4,3,5,3,10,3,7,6,2,4,7,3,,,,,4,4,9,83.0
"Jones, Zak",,,,,,,,2,3,2,2,2,3,1,3,4,5,,,1,6,4,38.0
"Joyce, Darragh",,4,,,,,,,,,,,,-,,-,,,,,,,4.0
"Kent, Dean",2,,,,,,,,,,,,,,,,,,,,,1,3.0
"King, Max",6,6,7,11,4,6,3,2,6,6,4,4,4,4,7,3,6,5,7,2,5,7,115.0
"Lienert, Jarrod",,5,7,8,6,1,-,,,,,3,,,,,,2,6,,5,9,52.0
"Long, Ben",,,1,3,3,6,4,3,3,1,3,4,2,4,,-,1,2,6,6,5,17,74.0
"Marshall, Rowan",4,3,3,2,8,3,,1,2,5,4,6,4,7,12,8,6,3,9,4,3,-,97.0
"McKenzie, Daniel",4,5,4,4,8,3,2,5,7,4,7,4,,,,,,,,,,,57.0
"Membrey, Tim",6,5,3,8,7,3,3,9,6,3,7,7,9,7,5,8,12,7,9,9,6,8,147.0
"Owens, Mitch",1,,,,,,,,,,3,1,,,,,,,4,2,5,1,17.0
"Paton, Ben",7,6,1,5,6,3,1,8,6,3,9,2,3,1,,,3,2,3,9,5,8,91.0
"Ross, Sebastian",3,4,2,6,5,4,4,5,4,4,5,4,5,9,6,2,,5,3,3,3,5,91.0
"Ryder, Paddy",,,1,3,,,4,2,5,3,2,3,4,,3,-,2,,,,,,32.0
"Sharman, Cooper",,-,,,,,,,4,4,2,,,2,,,10,4,1,5,-,,32.0
"Sinclair, Jack",5,2,5,6,5,6,1,9,9,5,10,4,7,4,11,7,11,5,3,4,6,2,127.0
"Steele, Jack",5,-,2,10,7,3,5,7,4,,,,,5,5,8,3,10,1,3,2,10,90.0
"Wanganeen-Milera, Nasiah",-,4,3,7,5,2,4,6,,5,9,,5,2,7,5,5,,,,7,6,82.0
"Webster, Jimmy",-,8,3,6,,3,4,4,5,4,5,3,4,9,7,6,11,4,3,7,1,,97.0
"Wilkie, Callum",6,8,6,3,7,6,2,12,7,7,12,8,5,6,7,7,16,8,5,7,11,7,163.0
"Windhager, Marcus",,,,2,2,4,-,-,2,3,5,5,-,6,4,1,,5,2,3,7,1,52.0
"Wood, Mason",8,4,2,3,4,3,4,9,7,3,8,4,,,4,7,13,5,6,10,2,,106.0
Totals,98,100,73,117,108,90,62,115,110,93,122,85,105,103,113,102,158,96,88,109,98,120,2265.0
Opponent,CW,FR,RI,HW,GC,GW,PA,ME,GE,AD,NM,BL,ES,SY,CA,FR,WB,WC,HW,GE,BL,SY,
