Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,Tot
"Adamson, Arthur",,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,
"Adamson, Dave",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2.0
"Alley, Ned",-,-,-,-,,,-,-,-,2,-,-,-,-,-,-,-,2.0
"Bower, Harold",-,-,-,-,-,-,,,-,,,,-,,,,,
"Burns, Allen",-,,,,,,,,,,,,-,,,,,
"Cormick, Johnny",,,,,,,,,,,,1,,,,,,1.0
"Dowsing, Alf",,,,,,-,2,,-,,,,,,,,,2.0
"Fahey, Bill",,,,,,,,,,1,,-,-,,,,,1.0
"Fogarty, John",,,,,,,,,,,,,,,,-,,
"Fogarty, Tom",,-,-,,-,-,-,-,,1,1,2,,-,-,1,2,7.0
"Fraser, Bill",-,,,,,,,-,-,-,1,1,-,-,-,,,2.0
"Garbutt, Joe",-,-,-,-,-,,,,-,,,,,,,,,
"Goding, Charlie",1,1,1,1,2,3,,1,1,-,1,1,,2,1,3,,19.0
"Haigbloom, Charlie",,,,,,,,,,,,,,,,,-,
"Hammond, Henry",-,-,,,,,,,,,,,,,,,,
"Hassett, Jack",-,,,,,,,,,,,,,,,,,
"Hickey, Bill",,,,,,,,,,,,,-,-,-,-,1,1.0
"Howson, Bert",,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
"Jackson, Johnny",,,-,-,,,,-,-,,,-,,,,,,
"James, Charlie",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,
"Jeanneret, Henri",,,,,,,,,,,,,-,1,,,,1.0
"Johnson, Bill",,,,,,,,,,,,,,,,3,1,4.0
"Kelly, Harvey",,-,1,1,-,-,-,-,-,,,,2,,,,,4.0
"Kelly, Otto",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,
"King, Jim",,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,
"Lampe, Harry",1,1,2,,-,,-,,,,,-,-,-,,,,4.0
"McDonough, Jack",,,,,,,,,,-,-,-,,-,-,-,-,
"McDougall, Ernie",,,,,,,,,,,,,,,2,1,-,3.0
"Pleass, Mick",,,,,1,-,-,-,-,1,-,2,2,-,-,1,2,9.0
"Powell, Dave",1,1,3,-,-,-,1,-,1,1,-,,-,,,,,8.0
"Rippon, Norm",-,-,-,-,,-,-,-,-,-,-,-,,-,-,-,-,
"Rose, Alby",,4,-,2,-,2,1,,,,,,,,,,,9.0
"Scott, Bill",,,,,,,,,,,-,-,,-,-,1,-,1.0
"Smith, Len",-,,,,,,,,,,,,,,,,,
"Stanworth, Jim",,,,,-,,,,,,,,,,,,,
"Wallace, Alec",,,,-,,-,,,,,,,,,,,,
"Williamson, Jim",-,,,,-,-,-,-,-,-,-,,,,,,,
"Windley, Bill",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,4.0
"Worroll, Frank",-,1,1,-,-,,2,-,-,-,1,,1,,-,-,-,6.0
Totals,3,8,8,4,3,5,6,1,2,6,5,7,5,3,5,12,7,90.0
Opponent,CW,CA,FI,ES,GE,SK,ME,CW,CA,FI,ES,GE,SK,ME,CW,GE,FI,
