Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Tot
"Anderson, Ray",,,,,,,,,,,,,-,2,5,5,,10,4,10,36.0
"Baskin, Keith",21,11,11,10,15,14,12,18,17,15,23,16,,20,13,8,13,10,10,10,267.0
"Bedford, Peter",,14,22,18,14,19,22,11,19,18,16,15,21,15,21,23,12,17,16,22,335.0
"Bennett, Stuart",,,-,14,8,5,,,,,-,2,,3,16,7,4,10,9,10,88.0
"Bethke, Des",,,,,2,1,,,,,,,,,,,,,,,3.0
"Brookes, Don",,,,,,,,,,,,,11,15,20,12,12,7,,,77.0
"Busse, Neil",15,12,13,9,13,7,12,6,2,-,,,17,20,12,14,,10,9,9,180.0
"Cook, Russell",,11,18,16,13,14,6,12,15,12,12,16,12,16,18,10,13,19,18,15,266.0
"Davison, Ian",16,11,20,18,17,19,6,18,11,16,11,15,15,18,14,,,,,,225.0
"Elwin, Ross",,,,,,,,12,25,11,11,9,12,11,,7,,,,,98.0
"Greenwood, Jack",,,,,,,,,,,,,,,,,-,13,3,8,24.0
"Haenen, Tony",13,10,9,11,15,13,14,17,14,15,10,11,11,9,13,8,10,23,9,5,240.0
"Harrison, Paul",8,6,10,12,13,8,9,6,14,16,13,11,14,13,6,,,,2,,161.0
"Heriot, John",,,,,,,12,8,12,11,11,12,11,10,5,7,9,6,12,11,137.0
"Jacobs, Graeme",13,11,12,8,9,15,10,12,14,7,13,15,11,6,11,7,11,17,11,14,227.0
"John, Graeme",15,14,3,,,,,12,11,13,9,13,5,,,,,,,,95.0
"Lambert, Greg",14,2,,,,,,,,19,30,12,17,16,7,22,21,17,11,7,195.0
"Leahy, Terry",16,11,10,,,,17,20,18,14,11,13,,,,11,16,1,,,158.0
"Luke, Richard",,,,12,10,6,9,13,10,5,-,11,10,,,10,10,10,10,11,137.0
"Luscombe, John",,,,,4,,,,,,,,,,,,,,,,4.0
"Magee, Stuart",17,19,18,-,,,,,,,,,,,,,,,,,54.0
"Mallett, Bob",,,,,,,,,,,,,,9,8,,,,,10,27.0
"Matthews, Herbie",,,9,,,20,10,15,18,14,6,17,,6,18,15,15,12,6,14,195.0
"McAuliffe, Haydn",5,,7,19,17,15,-,-,,,,11,,,,,20,20,18,19,151.0
"McCracken, Peter",,,,,,,,,,,,,,,,,,,-,,
"McGee, Jeff",-,-,,,,,,,,,,,,,,,,,,,
"Mohr, Rod",,,,,,,,,,,,,8,,,,,,,,8.0
"Mulligan, Mick",,,,,4,,,,,,,,,,,,,,,,4.0
"Pedrotti, Kevin",,,,,,13,14,,,,,,,,,,,,,,27.0
"Phillips, Ken",,,,14,9,14,16,,,,,11,,3,1,,,,,,68.0
"Priest, Doug",9,14,12,16,,25,15,14,13,4,,,,,,,,,,,122.0
"Rantall, John",13,10,15,16,18,20,7,,13,8,12,20,12,15,15,20,10,,17,8,249.0
"Reid, Bruce",7,,,,,,,,,,,,,,,,-,,,,7.0
"Sarich, Eric",16,15,15,9,18,13,12,18,11,13,13,,11,12,12,10,9,13,9,13,242.0
"Skilton, Bob",36,22,,23,20,,30,22,24,30,25,,30,19,30,14,27,28,25,20,425.0
"Sudholz, John",11,13,13,10,13,15,9,7,13,5,10,4,12,,8,9,5,4,7,12,180.0
"Viney, Ron",6,8,8,-,,3,,,,,,,,,,,,,,,25.0
"Wilcox, Dick",13,11,12,11,8,,,-,,,9,9,,,,4,8,-,,-,85.0
"Williams, Rod",,,,,,,,,1,,,,4,,,,,,,,5.0
Totals,264,225,237,246,240,259,242,241,275,246,245,243,244,238,253,223,225,247,206,228,4827.0
Opponent,SK,HW,ME,ES,RI,CA,NM,FO,CW,GE,FI,SK,HW,ME,ES,RI,CA,NM,FO,CW,
