Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,R19,R20,R21,R22,R23,R24,Tot
"Athorn, Mark",-,1,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,1.0
"Bayes, Mark",-,1,-,1,-,-,2,1,-,1,1,-,5,1,-,-,-,-,-,-,,7,20.0
"Bolton, David",-,,,,,,,,,,-,,,,,-,,-,-,-,-,-,
"Brunton, Neil",,,,,,,,,,,,,,,,,,,,-,-,-,
"Capper, Warwick",-,-,-,-,-,-,-,-,-,-,,,,,1,-,-,,,,,,1.0
"Carroll, Dennis",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0
"Clarkson, Justin",,,,,,,,,,,-,,,,,,,-,,,,-,
"Cordy, Neil",-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,3.0
"Doolan, Ben",,,,,,-,-,-,-,-,1,-,-,-,-,-,-,,-,,,,1.0
"Eustice, Mark",,-,-,-,-,,,,,,,,,,,,,,,,,,
"Hawke, Paul",-,,,,,,,,,,,,,,,,,,,,,,
"Henwood, Wayne",4,5,1,-,1,-,1,-,,,,,,,,,,,,,,,12.0
"Higgins, Leon",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Holmes, Darren",,,,,,,,,-,-,-,-,-,,-,-,,,,,,,
"John, Gareth",16,10,15,6,,,,,,,,,,,,,,,,,,,47.0
"Kelly, Paul",,,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Kerr, Robert",-,,,,,,,,,,,,,-,-,-,-,-,,,,,
"Lawson, Jamie",,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Lewis, Dale",-,1,1,-,-,-,-,-,-,1,-,-,-,2,-,1,-,1,-,-,-,-,7.0
"Lloyd, Matthew",,,,,-,,,,,,,,,,,,,,,,,,
"Love, Jason",,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1.0
"Luff, Troy",,,,,,,,,,,1,-,1,,,,,,,,1,-,3.0
"McAsey, Darren",,,,,,,,,,,,,,,,,,,2,-,-,,2.0
"McKenzie, Warren",3,3,2,7,2,2,14,3,7,4,3,,,,2,,1,,4,1,3,-,61.0
"Mitchell, Barry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Murphy, David",-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,
"Nettelbeck, Craig",1,-,-,-,,,-,,,-,-,1,-,-,,,,-,-,-,-,-,2.0
"ODwyer, Chris",,,,,,,,,,,,,-,-,,,,,,,,-,
"Page, Glenn",,,,,,,,,,,-,-,-,-,,,,,,-,-,-,
"Roberts, Ian",,,-,-,,-,-,-,-,1,,,,,,,,,,,,,1.0
"Stanislaus, Brian",,-,,,,,,,,,,,,,,,,,,,,,
"Thripp, Terry",,,,,,-,-,-,-,-,,-,1,-,,,,,,,,,1.0
"Toohey, Bernard",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
"Tunbridge, Brad",,,,,14,2,,6,14,16,7,8,8,7,2,31,17,13,12,15,22,10,204.0
"West, Jim",-,2,,,2,,,,,-,,,,-,,-,-,-,-,,,,4.0
"Wheeler, Sanford",,,,,-,,,,,,,,,,,,,,,,,,
"Williams, Greg",-,-,-,-,-,-,-,-,-,,,,,,-,,-,-,-,-,-,,
"Willis, David",,,,,,,,,,,,,,,4,,,,,,,,4.0
"Wright, Stephen",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,,,,
Totals,25,23,20,14,19,5,17,10,21,23,13,10,15,12,9,32,18,14,18,16,26,17,377.0
Opponent,HW,AD,RI,ES,NM,GE,FI,SK,WC,BB,FO,CA,CW,ME,HW,AD,RI,ES,NM,GE,FI,SK,
