Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"AhMat, Robert",6,14,13,7,10,9,8,,,,,,,,,,,,,,,,,67.0
"Ball, Jason",14,16,13,,11,13,9,25,19,,19,11,13,16,,25,12,18,25,23,17,10,14,323.0
"Barry, Leo",10,16,16,2,,6,15,9,16,21,16,11,16,12,18,13,,,,7,17,7,7,235.0
"Bennett, Gerrard",,,,,7,,,,,,,,7,7,7,5,,4,,,,13,,50.0
"Bolton, Jude",17,9,12,21,20,23,18,19,13,16,18,11,10,6,14,8,13,12,21,8,16,7,9,321.0
"Cresswell, Daryn",27,15,25,30,21,23,21,,21,2,,,,,12,24,20,21,21,20,14,17,18,352.0
"Crouch, Jared",15,10,19,20,25,15,12,15,15,19,19,17,4,15,15,10,13,13,11,10,16,14,8,330.0
"Doyle, Stephen",8,4,,5,,,5,2,,,,,,,,,,,,,,,,24.0
"Dunkley, Andrew",14,8,9,15,12,10,12,7,9,5,,4,5,18,7,5,8,11,13,7,11,4,11,205.0
"Feast, Simon",,,,,-,,,,,,,,,,8,,6,3,1,,,,,18.0
"Fixter, Ben",,,,,,,,,,,,,,,,,6,8,4,6,4,,,28.0
"Fosdike, Nic",11,18,4,11,7,9,5,15,20,12,3,9,11,11,14,,,,,,,7,7,174.0
"Goodes, Adam",13,17,16,16,16,13,15,15,18,12,12,11,9,21,25,13,7,21,12,7,14,10,16,329.0
"James, Heath",,,,,,,,,,1,,,,,,,,,,,,,,1.0
"Kelly, Paul",,,,,,,,,,,12,13,12,11,13,16,18,22,21,,,19,8,165.0
"Kennelly, Tadhg",,,,,,,,,,,,,,8,2,4,3,,,15,4,9,4,49.0
"Kirk, Brett",15,15,15,20,6,11,,12,6,6,4,13,,,,8,12,9,11,22,14,11,21,231.0
"Lewis, Dale",,,,,,,,,14,22,18,19,8,4,,,,,,,9,7,6,107.0
"Luff, Troy",11,10,3,16,,22,7,5,2,6,8,9,7,,,,,,,,8,,,114.0
"Mathews, Ben",13,18,20,19,20,22,20,18,14,10,17,20,9,18,18,19,23,30,11,15,18,14,24,410.0
"Maxfield, Stuart",20,18,20,12,20,19,22,14,13,14,19,18,16,27,21,23,26,7,15,20,17,21,18,420.0
"McPherson, Daniel",16,11,17,19,15,9,5,12,23,22,20,14,18,18,15,23,12,19,19,14,11,11,,343.0
"Nicks, Matthew",,,11,15,23,,8,,14,12,20,11,6,18,15,19,13,20,7,9,26,9,,256.0
"OKeefe, Ryan",,,,,8,12,,5,-,,,,,-,11,4,20,10,3,13,11,,1,98.0
"OLoughlin, Michael",18,11,14,22,17,22,17,15,13,21,6,8,17,12,22,12,19,24,15,23,24,18,20,390.0
"Piltz, Brent",,,,,,,,,,,,,,,,,,,1,,,,,1.0
"Saddington, Jason",9,13,18,12,13,13,16,17,9,10,9,14,10,16,9,12,9,14,14,14,9,15,12,287.0
"Schauble, Andrew",11,9,8,15,11,13,12,8,9,9,8,,,,,,,,,12,9,14,13,161.0
"Schwass, Wayne",30,22,13,16,24,26,15,23,21,27,27,20,21,32,16,11,17,17,23,7,,17,22,447.0
"Seymour, Brad",,,,,,,,,,,15,13,19,16,10,16,12,14,17,5,18,,5,160.0
"Stafford, Greg",19,9,18,5,,9,14,7,12,9,9,3,5,9,5,3,12,11,3,2,,,12,176.0
"Stevens, John",,,,,20,12,11,24,,7,11,10,7,,,,,,,,,,,102.0
"Warfe, Rowan",16,11,11,4,,,,11,,,,,,,,,,,,,,,,53.0
"Williams, Paul",15,18,16,15,16,19,18,21,8,25,21,27,11,22,12,22,29,19,22,16,19,16,18,425.0
Totals,328,292,311,317,322,330,285,299,289,288,311,286,241,317,289,295,310,327,290,275,306,270,274,6852.0
Opponent,AD,WC,KA,ES,ME,SK,BL,WB,FR,CW,PA,RI,GE,CA,HW,AD,WC,KA,ES,ME,SK,BL,HW,
