Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,QF,SF,PF,GF,Tot
"Ablett, Luke",,-,1,1,-,-,-,1,-,-,2,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-,9.0
"Ball, Jason",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,2.0
"Barry, Leo",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bevan, Paul",1,1,1,-,-,-,-,-,-,-,,-,-,,,,,,,,,,,-,-,-,3.0
"Bolton, Craig",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Bolton, Jude",1,-,1,-,-,-,-,-,-,-,-,,,-,-,-,1,-,-,-,-,-,-,-,-,-,3.0
"Buchanan, Amon",-,1,1,-,-,-,1,-,-,-,1,1,-,1,-,1,1,1,1,1,-,1,-,-,1,1,14.0
"Crouch, Jared",-,1,-,-,-,1,-,-,1,1,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,-,8.0
"Davis, Nick",4,1,-,-,1,2,-,,,,1,2,2,1,2,2,1,1,-,1,5,4,3,4,1,-,38.0
"Dempster, Sean",,,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Doyle, Stephen",1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"Fosdike, Nic",,,,,,,,,,,,,,3,-,-,,,1,-,1,1,-,-,-,-,6.0
"Goodes, Adam",-,-,2,2,-,1,1,2,1,-,1,1,2,1,1,1,-,1,2,-,1,2,-,-,-,1,23.0
"Hall, Barry",3,1,5,2,2,3,4,2,2,3,5,4,3,-,5,7,2,-,7,6,3,3,2,-,4,2,80.0
"Jolly, Darren",3,1,-,-,-,,,-,-,-,1,-,-,-,-,1,2,-,-,1,-,-,-,-,-,1,10.0
"Kennelly, Tadhg",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2.0
"Kirk, Brett",-,1,-,-,-,1,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,6.0
"Malceski, Nick",,,,,,,,,,,1,-,-,,,-,-,,,,,,,,,,1.0
"Mathews, Ben",-,-,-,1,-,,-,-,-,-,-,1,1,-,-,1,-,1,-,1,-,-,-,-,-,-,6.0
"Maxfield, Stuart",-,-,-,1,,-,,,,,,,,,,,,,,,,,,,,,1.0
"McVeigh, Jarrad",1,-,,,-,-,,-,-,-,-,2,-,1,-,,-,,,,,,,,,,4.0
"Moore, Jarred",,,,,,,1,-,-,,,,,,-,,,-,,,,,,,,,1.0
"Nicks, Matthew",-,-,-,-,-,-,,,-,1,-,,,,,,,,,,,,,,,,1.0
"OKeefe, Ryan",1,-,1,2,2,-,2,-,1,1,2,-,1,-,3,1,-,-,3,3,2,2,1,1,2,-,31.0
"OLoughlin, Michael",,,,2,1,-,3,3,5,2,4,4,2,3,1,1,3,2,1,4,2,1,3,2,2,1,52.0
"Roberts-Thomson, Lewis",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Saddington, Jason",,,,,,,-,-,-,-,,1,-,-,,,,,,,,,,,,,1.0
"Schauble, Andrew",,,,,,-,-,-,,,-,,,,,,,,,,,,,,,,
"Schneider, Adam",1,-,,,1,-,,,,-,,,,,,-,2,-,-,-,1,1,1,-,3,1,11.0
"Spriggs, David",,,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
"Vogels, Luke",,,,,,,1,1,3,-,-,,,,,,,-,1,-,-,1,-,,,,7.0
"Williams, Paul",1,-,1,-,,,,,,,,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,5.0
Totals,18,7,13,11,7,8,13,9,13,8,18,16,11,12,16,16,13,6,18,19,15,20,10,7,15,8,327.0
Opponent,HW,KA,BL,AD,ME,WC,ES,PA,WB,SK,CA,FR,CW,RI,GE,ME,WC,AD,ES,BL,KA,HW,WC,GE,SK,WC,
