Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Barlow, Ed",,,,,,,79,,,,,,,,,,,,,,,,,,79.0/99:00
"Bevan, Paul",,,,,,,,100,100,,75,89,90,,83,88,96,92,89,91,94,87,77,,89.3/1558:34
"Bird, Craig",,,,,,,,,,,70,83,82,71,,,,,,,,,,,76.5/372:11
"Bolton, Craig",84,86,74,88,45,,,,,,,,,,,,,,,,,,,,75.5/466:17
"Bolton, Jude",81,77,74,77,89,80,89,91,86,82,82,83,83,87,82,84,84,84,77,84,79,83,82,81,82.5/2453:54
"Bradshaw, Daniel",89,87,84,89,90,100,94,,58,,,,,,,,,,,,,,,87,86.5/960:55
"Dennis-Lane, Trent",,,,,,,,,,,,,,88,88,,,,66,76,94,87,84,79,82.7/829:36
"Goodes, Adam",100,91,94,88,97,100,92,100,98,98,97,100,99,100,94,96,97,98,95,95,94,96,95,98,96.3/2863:11
"Grundy, Heath",95,90,93,96,92,98,98,99,100,99,95,94,99,100,99,97,94,93,95,96,93,93,97,93,95.7/2846:06
"Hannebery, Dan",,77,75,77,70,67,,65,88,78,82,75,77,82,80,77,72,67,67,73,90,,70,67,75.0/1946:13
"Heath, Campbell",,,,,,,,,68,76,,,,,,,,,,,,,,,72.0/176:43
"Jack, Kieren",83,82,89,91,82,82,82,76,91,81,83,75,84,80,89,85,82,85,83,85,84,80,83,90,83.6/2486:47
"Jetta, Lewis",69,68,72,75,71,74,71,64,88,66,75,,70,,,,75,65,65,75,70,84,78,71,72.3/1800:09
"Kennedy, Josh",68,70,75,70,76,84,81,78,70,72,66,69,68,65,69,67,61,77,76,72,72,77,86,81,73.0/2169:45
"Kennelly, Tadhg",89,88,91,92,92,89,83,83,2,,,89,,77,95,88,87,90,89,90,82,,87,90,83.7/2075:03
"Kirk, Brett",78,80,80,74,88,83,75,78,85,90,76,83,70,81,80,89,79,89,84,79,79,83,82,73,80.8/2400:30
"Malceski, Nick",76,85,94,74,91,86,86,81,92,85,92,91,87,91,84,85,81,84,84,88,88,87,86,91,86.2/2562:52
"Mattner, Martin",87,91,89,87,89,84,82,86,89,92,92,90,88,87,,86,85,88,85,90,78,90,91,85,87.4/2492:23
"McGlynn, Ben",80,88,93,85,,,,,,,,75,91,88,92,87,88,87,90,57,,,,84,84.6/1459:49
"McVeigh, Jarrad",92,89,84,84,88,90,89,89,92,94,88,89,90,89,81,76,77,84,87,92,88,83,89,85,87.1/2588:54
"Meredith, Brett",,,,,,,,,,,,,,,60,67,69,73,,,78,59,,,67.7/505:02
"Moore, Jarred",91,88,69,73,91,82,64,,,,,,,83,90,89,89,86,82,66,,76,70,77,80.3/1697:06
"Mumford, Shane",56,48,56,63,65,82,64,,,70,66,66,72,75,69,72,62,61,70,81,51,,63,76,66.1/1722:35
"ODwyer, Matthew",,,,,,,,,,70,,,,,,,,,,,,,,,70.0/85:22
"OKeefe, Ryan",84,88,86,90,83,88,84,86,90,91,84,87,87,88,77,81,84,77,79,82,,83,80,83,84.4/2401:55
"Playfair, Henry",,,,,,,,89,77,96,83,,,39,,,,,,,,,,,77.0/467:31
"Pyke, Mike",,,,,,,58,55,76,38,45,42,46,58,46,70,56,51,65,60,76,75,43,54,56.4/1257:49
"Reid, Sam",,,,,,,,,,,,,,,,,,,,,,74,,,74.0/93:40
"Richards, Ted",75,,,,,83,99,74,,,,,,,78,97,96,95,100,94,90,88,97,88,89.7/1572:49
"Roberts-Thomson, Lewis",88,89,95,92,97,100,,90,88,92,90,92,98,100,100,,,,,,,,,,93.6/1606:48
"Rohan, Gary",,,,,,,75,89,86,67,84,76,71,,,,,,,,70,70,,,76.4/847:11
"Seaby, Mark",63,63,67,58,59,1,,,,,,,,,,,,,,,,,,,51.7/384:23
"Shaw, Rhyce",81,83,84,84,85,90,84,85,92,86,88,,88,84,78,94,92,86,78,81,85,90,80,87,85.4/2435:26
"Smith, Nick",,,,,74,86,89,86,85,82,92,95,73,86,86,29,,,,,81,84,89,81,81.2/1601:04
"Veszpremi, Patrick",,,,,,,,,,,,62,,,,,,,,,,,,,62.0/75:59
"White, Jesse",89,90,81,93,87,71,82,57,,94,96,93,88,,,95,92,89,95,94,84,70,94,,86.8/2162:03
Totals,,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,SK,AD,RI,NM,WC,BL,GE,WB,FR,HW,ES,PA,CW,RI,NM,CA,ME,GE,HW,FR,WB,BL,CA,WB,
