Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Aliir, Aliir",,,,67,,,,,,,,,81,88,93,91,96,87,94,94,92,82,90,88.0/1259:07
"Cameron, Darcy",,,,,,,,,,,,,,,,,47,,,,,,,47.0/56:37
"Cunningham, Harry",74,78,72,92,82,79,86,86,86,83,85,87,82,86,77,82,83,85,84,89,87,91,90,83.6/2330:30
"Dawson, Jordan",,,,,,,,,,,,,,,,,,69,70,81,,58,,69.4/338:48
"Florent, Oliver",67,82,70,79,74,75,72,82,85,83,83,85,82,81,92,78,77,85,81,92,79,77,75,79.7/2221:02
"Fox, Robbie",81,80,,,,69,69,,,,,,,,81,73,66,83,,,67,72,,74.2/913:41
"Franklin, Lance",89,96,97,95,98,,,,75,92,98,87,94,97,93,93,94,87,93,98,92,,87,92.5/2123:32
"Grundy, Heath",76,78,90,94,89,94,85,100,96,98,91,82,94,83,87,,,74,,,,82,79,87.2/1909:15
"Hannebery, Dan",,62,77,80,75,,,,68,62,71,76,87,74,72,,,,,83,72,49,73,71.9/1302:38
"Hayward, Will",75,77,72,73,80,75,87,77,82,78,85,88,64,80,80,85,82,77,79,83,74,82,72,78.6/2189:05
"Heeney, Isaac",85,81,83,79,89,89,89,90,87,87,87,85,85,44,,88,83,82,82,87,89,88,85,83.8/2234:29
"Hewett, George",75,80,93,82,75,75,80,80,89,88,79,80,80,82,85,89,79,76,90,92,77,87,86,82.5/2300:31
"Jack, Kieren",66,71,74,73,70,77,76,73,69,83,75,,73,72,10,,,,74,76,71,83,65,70.2/1617:20
"Johnson, Alex",,,,,,,,,,,,,,,,,,,76,20,,,,47.8/114:51
"Jones, Zak",87,,,74,72,76,88,78,65,87,81,79,83,81,86,84,83,86,,,87,88,86,81.7/1869:14
"Kennedy, Josh",83,86,84,82,80,84,81,83,87,84,81,85,76,89,88,22,84,76,82,84,79,80,79,79.9/2227:02
"Lloyd, Jake",94,89,90,85,87,85,92,90,90,79,79,88,89,88,93,94,85,89,86,95,88,91,88,88.4/2464:43
"Marsh, Harrison",,,,,80,81,63,,,80,77,84,74,,,84,74,,,,,,,77.5/845:26
"McCartin, Tom",,,,,,,,75,77,57,,78,77,84,86,86,81,80,78,80,88,85,73,79.0/1414:59
"McVeigh, Jarrad",80,81,77,86,87,85,83,80,78,85,84,80,,74,66,,,,85,89,80,88,87,81.8/1887:01
"Melican, Lewis",89,87,87,,,,,,,,,,,,,,,,,,,,,87.7/338:17
"Mills, Callum",94,87,91,87,85,91,81,80,82,,,,,,,,,,,,,,,86.6/959:46
"Newman, Nic",75,,,69,,,,,,,74,,,,,72,74,68,75,81,79,64,76,73.3/969:41
"ORiordan, Colin",,,,,,,,,,,,,,,,71,81,67,,,,,,72.9/266:07
"Papley, Tom",79,86,81,85,81,81,78,76,78,67,,71,71,,,82,83,88,85,87,78,89,87,80.7/1954:20
"Parker, Luke",85,87,80,87,90,91,89,92,86,83,89,86,93,90,87,89,89,86,89,88,91,,97,88.3/2349:23
"Rampe, Dane",87,85,95,92,97,95,97,94,92,93,94,96,90,100,97,100,94,98,100,100,95,100,94,95.0/2646:10
"Reid, Sam",,,83,,,,,,,,,,,,,,,,,,,,,83.0/108:56
"Robinson, Dan",,,,,,74,,69,,,,70,,,82,75,,,64,,78,87,70,74.4/798:21
"Rohan, Gary",,74,69,,61,83,88,73,74,,66,76,80,70,,,,,,,,,,73.9/992:05
"Ronke, Ben",,,,,,69,67,73,74,81,80,71,64,76,83,74,82,84,56,84,65,88,69,74.5/1610:34
"Rose, James",,,,,,,,,,,,,,73,,,,,,,,,,73.0/91:06
"Sinclair, Callum",82,80,82,83,88,89,89,90,86,88,88,76,88,91,85,95,92,88,93,89,93,90,92,87.7/2442:55
"Smith, Nick",99,97,91,86,86,84,93,88,95,90,95,92,94,96,91,92,92,88,85,25,,,,88.0/2139:09
"Stoddart, Ryley",,,,,,,,,,72,58,,,,,,,,,,,,,65.1/160:58
"Towers, Dean",78,74,61,71,72,,69,69,,,,,,,85,,,,,,,,,72.3/712:47
Totals,,,,,,,,,,,,,,,,,,,,,,,,
Opponent,WC,PA,GW,WB,AD,GE,NM,HW,FR,BL,CA,SK,WC,RI,GE,NM,GC,ES,CW,ME,GW,HW,GW,
