Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Amartey, Joel",,,,,,,,,,,,1,3,-,1,-,-,,,,,,,5.0
"Bell, James",,,-,-,,,,,-,,,-,-,-,1,-,1,-,-,,,,3,5.0
"Blakey, Nick",1,-,-,1,-,1,,-,-,-,,,,-,-,-,-,-,1,-,-,,,4.0
"Brand, Kaiden",,,,,,-,,,,,-,,,-,,,,,,,,,,
"Campbell, Braeden",-,-,-,-,-,-,,,,,,,,,,,,,,,1,1,,2.0
"Clarke, Ryan",,,,,,,-,,,-,,,,,,,,,,-,,,,
"Cunningham, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,1.0
"Dawson, Jordan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,2,1,2,1,9.0
"Florent, Oliver",-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,2,-,-,-,1,-,-,-,6.0
"Fox, Robbie",,,,,,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,1,-,1.0
"Franklin, Lance",,2,,4,3,,,1,2,4,3,1,1,1,2,3,5,2,2,-,,5,2,43.0
"Gulden, Errol",2,1,1,3,-,1,2,-,,,,,,1,-,-,-,-,-,2,-,-,-,13.0
"Hayward, Will",-,,,,2,1,-,1,1,-,2,2,1,-,1,1,2,1,-,-,5,2,1,23.0
"Heeney, Isaac",4,3,1,3,,1,1,,3,-,4,3,-,2,1,-,-,3,-,-,2,2,3,36.0
"Hewett, George",1,-,-,-,-,-,,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2.0
"Hickey, Tom",-,1,2,-,-,,-,-,-,-,,-,-,1,-,-,-,1,1,-,-,-,1,7.0
"Kennedy, Josh",2,-,-,1,-,-,-,2,-,-,2,-,-,-,-,1,-,-,-,-,-,,,8.0
"Ling, Matt",,-,,,,,,,,,,,,,,,,,,,,,,
"Lloyd, Jake",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,1.0
"McCartin, Tom",-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McDonald, Logan",2,3,2,-,-,,,,,,,2,-,,,,,,,,,,,9.0
"McInerney, Justin",,1,-,-,-,-,1,-,-,,-,-,-,-,-,-,1,-,-,-,-,-,-,3.0
"McLean, Hayden",2,,1,,,2,3,-,2,-,2,,,,,,,-,,,3,4,1,20.0
"Melican, Lewis",,,,,-,-,-,,,,,,,,,,,,,,-,-,-,
"Mills, Callum",2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,-,,,-,,3.0
"ORiordan, Colin",,,,,,,-,-,,,,,,,,-,,,,,-,-,-,
"Papley, Tom",2,2,-,-,3,-,-,1,1,1,1,2,1,2,1,2,-,4,2,-,-,5,2,32.0
"Parker, Luke",2,-,1,1,1,-,-,-,-,-,-,1,1,1,-,-,1,1,2,-,1,-,-,13.0
"Rampe, Dane",-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Reid, Sam",3,1,1,3,-,-,,,,,,,,,,,,-,2,1,2,,,13.0
"Ronke, Ben",,,,,,,,,,,,,,,,,-,-,,,,,,
"Rowbottom, James",-,,,,,-,1,-,-,-,-,-,1,-,-,,-,-,,-,-,1,-,3.0
"Sinclair, Callum",,,,,,1,-,-,,,-,,,,,,,,,,,,,1.0
"Stephens, Dylan",,,,,-,,1,,,-,-,,,,,,-,,-,-,,,,1.0
"Taylor, Lewis",,,,,,,,,,,-,,1,,,,,,,,,,,1.0
"Warner, Chad",-,-,1,1,-,-,-,-,-,-,-,-,,,,,,,,,,,-,2.0
"Wicks, Sam",-,1,5,-,-,1,-,-,1,1,-,-,2,,-,1,-,1,1,-,-,1,1,16.0
Totals,23,15,15,18,9,8,10,6,12,6,14,12,11,8,10,12,10,13,11,6,15,24,15,283.0
Opponent,BL,AD,RI,ES,GW,GC,GE,ME,CW,FR,CA,SK,HW,PA,WC,WB,GW,FR,ES,SK,NM,GC,GW,
