Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Tot
"Allen, Oscar",89,85,92,86,83,90,85,81,88,90,89,97,89,88.0/1465:27
"Barrass, Tom",100,95,96,100,100,100,94,95,99,,100,,,97.9/1249:10
"Bazzo, Rhett",,,,,,41,16,,,82,86,84,81,64.6/492:14
"Chesser, Campbell",69,55,88,,,,,,,78,,,73,72.7/471:48
"Clark, Greg",,,,89,86,83,85,88,93,54,49,84,88,80.3/1027:23
"Cole, Tom",77,90,92,76,,,,,,,,,,83.8/433:37
"Cripps, Jamie",88,81,56,,,,,,,,,,,74.8/289:01
"Culley, Jai",,,,70,82,81,82,7,,,,,,64.6/421:52
"Darling, Jack",85,92,93,85,86,91,89,97,71,,,,94,88.4/1146:33
"Duggan, Liam",84,83,88,87,88,76,84,86,79,72,84,89,,83.4/1277:11
"Edwards, Harry",,,,,,,,,87,94,,,,90.5/229:56
"Edwards, Luke",,,,78,76,73,70,78,42,,33,,75,66.3/679:36
"Foley, Luke",,,,,,82,90,81,85,83,86,95,54,81.8/831:10
"Gaff, Andrew",88,83,85,81,81,83,82,81,85,82,92,94,88,84.9/1414:29
"Ginbey, Reuben",72,77,87,73,53,64,72,64,73,73,76,81,80,72.6/1210:49
"Hewett, Elijah",,23,58,79,,,,,,,,14,,43.8/226:13
"Hough, Brady",,,,85,91,,,,82,77,78,83,81,82.5/735:13
"Hunt, Jayden",89,87,91,85,81,87,91,89,79,89,89,95,87,87.6/1459:05
"Hurn, Shannon",81,83,86,65,,,71,79,,,78,16,,69.8/709:41
"Jamieson, Callum",50,,,,,,,,70,85,,86,,72.8/370:07
"Jones, Jamaine",87,80,96,81,81,82,82,80,43,31,,,,74.5/962:32
"Kelly, Tim",78,78,88,80,88,83,79,82,80,85,85,85,85,82.8/1379:51
"Long, Noah",67,75,85,80,79,,,,,73,76,84,81,77.9/897:54
"Maric, Ryan",,,,,,,,,,,,,83,83.0/111:40
"McGovern, Jeremy",87,79,37,,,,,,,,,,,67.4/260:14
"ONeill, Xavier",81,,,,71,,75,70,79,82,76,97,84,79.5/910:26
"Petrevski-Seton, Sam",,78,84,81,80,77,49,,,,,,81,75.8/694:32
"Petruccelle, Jack",32,,,,68,71,70,78,72,69,71,83,74,68.8/878:29
"Rotham, Josh",,,,24,84,87,89,83,85,85,87,95,,79.7/914:36
"Ryan, Liam",83,84,76,,,,,,,,,,,80.9/313:46
"Sheed, Dom",77,77,87,,,,,76,78,81,75,86,84,80.2/917:41
"Shuey, Luke",74,71,21,,,39,,,,,,,65,53.8/350:10
"Trew, Zane",,,,,,70,,62,,,,,32,54.5/214:08
"Waterman, Jake",,84,90,86,89,91,83,92,90,85,74,96,,87.4/1228:08
"West, Connor",,,,93,28,83,88,84,80,83,81,7,,69.4/795:16
"Williams, Bailey",80,78,83,83,80,83,87,84,81,83,81,89,84,82.8/1379:56
"Witherden, Alex",81,81,44,,91,82,87,83,79,85,80,86,87,80.5/1236:57
"Yeo, Elliot",,,,53,54,,,,,,74,71,68,63.7/406:13
Totals,,,,,,,,,,,,,,
Opponent,NM,GW,FR,ME,GE,PA,CA,RI,GC,HW,ES,CW,AD,
