Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Adkins, Damien",-,-,-,-,1,-,1,,,,,,,-,-,1,1,2,-,1,-,-,1,8.0
"Banfield, Drew",-,,,,,,,,,,,,,-,-,-,1,-,1,-,1,2,-,5.0
"Beeck, Zach",,,,,,,,,,,,,,,,,1,,,,,,,1.0
"Braun, Michael",1,-,1,-,1,2,-,1,-,-,2,2,2,3,1,1,1,2,1,-,-,1,1,23.0
"Butler, Sam",,,,,,,,,,-,-,-,-,-,-,-,1,1,,,1,1,-,4.0
"Carroll, Trent",-,1,3,1,-,,,,,,1,1,-,,,,,,,,,,,7.0
"Chambers, Callum",,,,-,,-,-,-,1,-,-,3,-,,,,,,,,,,,4.0
"Chick, Daniel",-,1,2,-,,,,,1,-,2,-,1,2,,1,-,2,1,1,1,-,1,16.0
"Cousins, Ben",1,2,2,2,1,-,3,-,-,-,-,1,1,-,2,,,,,,,1,-,16.0
"Cox, Dean",1,2,-,1,1,-,-,1,-,1,1,2,2,2,2,-,2,1,2,2,3,1,4,31.0
"Embley, Andrew",1,-,2,-,1,1,-,-,2,-,-,-,,,,,,,-,-,1,-,2,10.0
"Fletcher, Chad",-,2,1,-,-,1,,-,1,-,1,-,-,1,-,-,1,-,-,-,-,1,1,10.0
"Gardiner, Michael",-,-,-,,,,,,,,,,,,,,,,,,,,,
"Gaspar, Travis",,,,,,1,1,1,4,-,,,,,,,,,,,,,,7.0
"Glass, Darren",,,,,,-,1,1,1,1,1,2,-,-,1,-,1,1,-,1,-,-,1,12.0
"Green, Kasey",-,1,1,,-,1,-,,,,,,,,,,,,,,,,,3.0
"Hansen, Ashley",,,,,,,,,,,-,-,1,2,1,-,,,,,,,,4.0
"Humm, Jeremy",1,-,,,,,-,-,-,,,,,,,,,,,,,,,1.0
"Hunter, Adam",,,2,-,-,-,-,1,,,,,,1,1,1,-,-,1,-,1,-,-,8.0
"Jakovich, Glen",-,1,-,,,-,2,1,,,,,,,,,,,,,,,,4.0
"Jones, Brett",,,,,,,-,1,2,-,1,2,1,-,,,,,,,,,,7.0
"Jones, Rowan",1,1,-,-,1,1,,,,,,-,-,1,-,1,1,2,-,-,,1,,10.0
"Judd, Chris",1,1,2,1,-,-,-,1,-,-,1,1,3,-,1,1,1,1,1,2,-,1,2,21.0
"Kerr, Daniel",,-,-,3,-,5,2,2,1,-,1,2,-,1,1,1,2,2,1,-,1,,1,26.0
"Lynch, Quinten",-,-,1,2,-,-,,1,1,-,1,-,-,-,1,-,-,1,1,-,1,-,2,12.0
"Matera, Phillip",-,-,1,1,-,-,3,1,1,1,-,1,-,-,-,-,-,1,-,-,1,-,-,11.0
"McDougall, Andrew",1,-,2,-,1,,-,-,-,-,-,1,2,-,1,-,,1,1,-,-,1,-,11.0
"Morrison, Chad",1,-,1,2,2,1,,,-,,,,2,-,1,-,1,-,-,1,-,1,-,13.0
"Nicoski, Mark",,,,,1,-,-,-,1,1,1,1,-,1,-,,,,,,,,,6.0
"Sampi, Ashley",-,1,-,1,1,-,-,-,-,-,1,,-,-,-,1,-,2,1,1,-,1,-,10.0
"Seaby, Mark",,,,1,1,-,,,,-,-,1,-,-,1,1,-,1,1,-,-,-,1,8.0
"Selwood, Adam",,,,,,,1,-,1,,,,,,,,,,,,,,,2.0
"Staker, Brent",1,2,,-,-,,-,-,-,1,-,-,,,,,-,-,-,-,-,-,-,4.0
"Waters, Beau",,,-,2,-,,,,,-,,,,,,-,-,-,-,-,1,,,3.0
"Wirrpanda, David",-,-,-,1,-,-,-,-,-,-,-,-,1,,-,-,1,1,-,-,2,-,1,7.0
"Wooden, Josh",,,,,,,,,,,,,,,1,1,-,-,-,-,1,-,-,3.0
Totals,10,15,21,18,12,13,14,12,17,5,14,20,16,14,15,10,15,21,12,9,15,12,18,328.0
Opponent,WB,PA,ES,BL,CA,FR,ME,SY,SK,RI,CW,AD,KA,GE,HW,ES,PA,WB,BL,CA,FR,ME,SY,
