Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Ah Chee, Brendon",,-,,,,,,1,-,-,-,,,,,-,,,,,,,1.0
"Ainsworth, Brayden",,,,,,-,-,,,,,,,,,,,,,,,,
"Allen, Oscar",3,-,-,-,3,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,6.0
"Barrass, Tom",1,-,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,-,-,1.0
"Brander, Jarrod",,,-,-,-,-,-,-,-,-,-,,,,,,,-,,,,-,
"Cole, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Cripps, Jamie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3.0
"Darling, Jack",-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Duggan, Liam",-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,,,,
"Edwards, Harry",,,,,,,-,-,,-,,-,-,,,,-,-,-,-,,-,
"Edwards, Luke",,,,,,,,,,,,-,-,-,-,-,-,,,-,-,,
"Foley, Luke",,,,,,,,-,,,,-,-,,-,,,,,,-,-,
"Gaff, Andrew",-,-,2,-,-,-,2,3,-,-,-,-,-,-,,-,2,-,-,-,-,-,9.0
"Hurn, Shannon",-,-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,
"Hutchings, Mark",,,,,,,,,,,,,,,,,,-,-,-,,-,
"Jones, Jamaine",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,,,,,,-,
"Kelly, Tim",-,-,1,-,-,-,3,-,3,-,-,,,-,-,-,-,3,-,-,-,,10.0
"Kennedy, Josh",-,-,-,-,-,,-,-,-,-,-,,2,-,-,-,,-,-,-,-,,2.0
"Langdon, Zac",-,-,-,,-,-,-,-,-,,,-,-,,-,-,-,-,-,-,-,,
"McGovern, Jeremy",-,-,-,-,-,-,,,-,,,,,-,-,-,-,-,-,-,-,,
"Naitanui, Nic",-,1,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,5.0
"Nelson, Jackson",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,-,-,
"ONeill, Xavier",-,-,,,-,-,,,,,,-,-,,,,,-,-,,,,
"Petruccelle, Jack",-,,-,-,,,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,
"Redden, Jack",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,1.0
"Rotham, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,,-,
"Ryan, Liam",-,-,-,-,,,,,,-,-,2,-,-,,-,-,-,,,-,-,2.0
"Sheed, Dom",2,-,-,-,-,-,1,2,-,-,2,3,-,-,1,-,-,2,-,-,-,-,13.0
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,
"Shuey, Luke",,,-,,,,,,,,,,,-,-,-,-,,,,-,-,
"Vardy, Nathan",-,-,,,-,-,-,,,,,,,,-,,,,,-,-,-,
"Waterman, Jake",,,,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,,,-,
"West, Connor",,,,,,,,,,,,,,,,,-,-,-,-,,-,
"Williams, Bailey",,,,,,,,-,-,-,-,-,,,,,-,,,,,,
"Winder, Isiah",,,,-,,,,,,,,,,,,,,,,,,,
"Witherden, Alex",,,,,-,-,-,-,-,,,,,,-,,,,,-,-,-,
"Yeo, Elliot",,,,,,,,,,,-,-,-,-,-,-,1,-,-,2,-,1,4.0
Totals,6,1,6,0,6,0,6,6,5,0,2,5,3,0,1,0,6,5,0,2,0,1,61.0
Opponent,GC,WB,PA,SK,CW,GE,FR,HW,AD,GW,ES,CA,RI,WB,SY,NM,AD,SK,CW,ME,FR,BL,
