Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,Tot
"Battle, Josh",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Butler, Dan",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Byrnes, Ryan",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bytel, Jack",-,,,-,-,,,-,-,,,,,
"Caminiti, Anthony",1,-,-,-,-,,,,-,5,1,6,-,13.0
"Clark, Hunter",-,-,-,-,-,-,-,-,-,-,-,,,
"Cordy, Zaine",1,7,4,8,2,3,3,,,,,,,28.0
"Crouch, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gresham, Jade",-,-,-,-,-,-,-,-,,-,-,-,-,
"Higgins, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hill, Bradley",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Howard, Dougal",-,-,-,-,-,-,-,-,-,-,-,-,-,
"King, Max",,,,,,,,,,1,-,-,-,1.0
"Marshall, Rowan",17,29,25,24,32,21,28,14,49,30,17,50,29,365.0
"Membrey, Tim",,,,,,2,-,-,-,,,,,2.0
"Owens, Mitch",-,-,3,5,3,4,7,4,1,4,,1,6,38.0
"Paton, Ben",-,-,-,-,-,-,-,-,-,-,-,,,
"Phillipou, Mattaes",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ross, Sebastian",,-,-,-,-,-,-,-,-,-,-,-,-,
"Sharman, Cooper",,,,,,,,-,-,,-,1,-,1.0
"Sinclair, Jack",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Steele, Jack",-,-,,,,-,-,-,-,-,-,-,-,
"Stocker, Liam",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wanganeen-Milera, Nasiah",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Webster, Jimmy",-,,-,,,,,,,-,-,-,-,
"Wilkie, Callum",-,-,-,-,-,-,-,-,-,-,-,-,-,
"Windhager, Marcus",,-,-,-,-,-,-,,,,,-,-,
"Wood, Mason",-,-,-,-,-,-,-,-,-,-,-,-,-,
Totals,19,36,32,37,37,30,38,18,50,40,18,58,35,448.0
Opponent,FR,WB,ES,GC,CW,CA,PA,NM,AD,GW,HW,SY,RI,
