Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Allan, Peter",,,,,-,-,-,,,,,,,,,,,,
"Bland, Dave",-,2,,,-,2,,1,3,-,,,,,,,,,8.0
"Burton, Gerry",-,-,-,-,,,,,,-,-,-,-,-,-,,,,
"Byron, Ron",-,,-,,,,,,,,,,,,,,,,
"Callow, Allan",-,-,2,-,1,-,-,2,,,-,-,,1,1,-,-,3,10.0
"Camm, Jim",,,,,,,,,-,,,,,,,-,-,-,
"Cole, Des",-,,,,,,,,,,,,,,,,,,
"Cooper, Peter",,,,,,,,,,,,-,,,,,,,
"Cuffe, Jack",,,,,,,,,,,,,-,,,,,,
"Davies, Harold",-,,-,-,-,,,-,,,,-,-,1,-,,-,-,1.0
"Derrick, Ron",,,,,,,,,,,,,,,,,-,-,
"Dihm, Merv",,,,,,,,,-,-,-,-,-,-,-,-,,,
"Drohan, Ian",,,,,,,,,-,-,-,,,,,,,,
"Foote, Les",-,-,,-,,-,-,-,,1,-,1,-,-,-,-,-,-,2.0
"Giblett, Michael",-,,,,,,-,-,-,,,,,,,-,-,-,
"Gilmore, Brian",,,,,,-,1,-,-,-,-,-,1,-,-,,,,2.0
"Gleeson, Bill",,2,-,1,1,,,-,-,,-,,,-,-,2,1,-,7.0
"Gleeson, Brian",-,-,,-,,-,1,-,-,-,,1,-,3,-,-,1,,6.0
"Houston, Ray",-,-,-,-,-,-,-,-,2,-,,,-,,-,-,,-,2.0
"Howell, Don",2,-,-,,,-,1,-,1,1,-,-,1,-,-,-,-,-,6.0
"Hurst, Arthur",,-,-,-,,,,-,-,-,1,,2,1,-,,,,4.0
"Jeans, Allan",,-,-,,-,-,-,-,,-,-,-,-,-,-,-,,-,
"Jewitt, Jim",,,1,-,,,,,,,,,,,,,,,1.0
"Jones, Geoff",1,-,1,,,,,,,,,,,,,,,,2.0
"Lennie, Stuart",3,2,1,2,2,-,-,1,1,,,,,,,-,,,12.0
"Linney, Neville",,,,,-,,,,,,,,,,,,,,
"McCooke, Milne",,,,,,,,,,2,3,-,-,2,,,-,-,7.0
"McDonald, Jack",2,2,3,3,-,2,3,,,,,,,,,3,4,2,24.0
"McLaren, Mick",-,-,,,,,,,,,,,,,,,-,-,
"McLennan, Bruce",,-,,-,,-,-,,,,5,-,-,-,-,,-,,5.0
"Mennie, Allan",,,,,-,-,-,,-,-,,-,,,,-,,,
"Milnes, Brian",,,-,-,-,-,-,,-,,,,,,,,,,
"Minihan, Graham",-,-,,-,-,-,1,-,-,-,-,-,1,-,-,2,-,-,4.0
"Mollar, Max",-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Mulhall, Ken",-,-,-,,,,,-,-,2,1,-,-,,,,1,1,5.0
"Nelson, John",,,,,,-,-,-,-,-,-,,-,-,-,-,-,,
"Osborne, Alan",,,,,-,,,,,,,,,,,,,,
"Phillips, Bruce",-,-,-,-,-,-,-,-,,-,-,-,-,2,1,1,,-,4.0
"Reeves, John",,,,1,-,-,,,,-,-,-,-,-,,,,,1.0
"Roberts, Neil",-,-,-,-,-,-,-,-,-,-,-,-,,-,1,-,-,-,1.0
"Sabbatucci, Vin",,,,,-,,,,,,,,,,,,,,
"Shields, Ron",,,-,-,-,-,-,,,,-,,,,-,,,,
"Stephenson, Max",,,,,,,,,,,,,,,,-,-,-,
"Suttie, Jack",,,,,,,,,,,,1,,,,,,,1.0
"Watt, Bob",,,-,-,-,,,-,-,,,,-,-,-,-,-,-,
Totals,8,8,8,7,4,4,7,4,7,6,10,3,5,10,3,8,7,6,115.0
Opponent,ME,ES,CW,CA,SM,GE,RI,FO,FI,HW,NM,ME,ES,CW,CA,SM,GE,RI,
