Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,PF,Tot
"Anthony, John",-,,,,,,,,,,,,,,,-,-,,,,,,,,,
"Besanko, Neil",,12,11,15,8,7,10,12,11,5,11,19,7,15,9,13,,9,20,10,12,13,14,15,14,272.0
"Breen, Barry",15,13,17,16,16,21,12,9,16,23,12,16,19,10,,,,12,9,12,12,17,13,10,8,308.0
"Colling, Gary",6,4,,13,13,12,11,7,16,13,11,14,15,9,9,15,10,10,4,11,11,12,7,13,8,254.0
"Corner, Ian",,,,,,,,,,,,,,,,4,-,,-,1,,,,,11,16.0
"Davis, Allan",17,17,14,12,9,12,16,16,20,10,11,14,13,8,13,28,23,15,21,19,19,20,17,16,20,400.0
"Ditterich, Carl",13,,,,11,13,17,9,13,13,11,23,25,18,16,19,13,12,12,16,13,12,10,15,13,317.0
"Elliott, Glenn",5,15,16,15,21,30,11,,27,29,21,20,16,8,,,,,,,,,8,7,18,267.0
"Ellis, David",,3,7,10,10,5,11,5,,,,,,,-,,6,,1,,,,,,,58.0
"Feldmann, Derek",,,,,,,,,,,,,,,10,13,3,,,,,,,,,26.0
"Galt, Rod",7,10,8,10,13,7,9,11,9,10,7,12,,,14,8,9,5,5,9,2,9,5,6,11,196.0
"Grambeau, Shane",,,-,,,,2,,10,,9,9,10,,8,9,7,4,,8,13,-,-,-,2,91.0
"Judson, Wayne",9,10,10,7,9,12,8,19,10,24,,,,,9,14,15,14,6,11,9,13,17,13,9,248.0
"Lanyon, Mike",,,1,,,,,-,-,,,13,2,3,,,,,,,,,,,,19.0
"Lawrence, Barry",10,8,,9,15,24,12,19,17,11,19,,19,13,,,,,,,,14,9,,7,206.0
"Malthouse, Mick",,,,,,,,,,,,,,,11,,12,-,,-,13,-,3,-,3,42.0
"Manzie, John",16,5,16,14,2,3,5,15,10,2,9,18,12,11,17,19,16,12,17,17,14,19,16,16,18,319.0
"McIntosh, John",22,14,16,2,,,,,,,,,,,,,,,,,,,,,,54.0
"Moran, Jeff",7,11,12,9,11,14,12,11,13,13,9,20,6,12,16,7,,16,9,8,10,9,,10,17,262.0
"Murray, Bob",,,,,,,,,,,,13,10,14,7,15,10,14,8,12,8,13,10,5,,139.0
"Mynott, Brian",14,5,7,7,8,5,9,7,,9,-,-,-,7,,,,7,5,7,12,9,7,4,9,138.0
"Neale, Kevin",,11,,,,1,,9,11,8,14,7,9,12,12,16,11,,,,,12,18,19,8,178.0
"ODea, Jim",19,9,10,11,15,7,10,,-,14,14,16,15,14,12,,,,,,,,,,,166.0
"Payze, Travis",18,12,25,23,20,22,21,22,24,18,18,,19,22,,17,18,15,16,12,23,20,8,17,13,423.0
"Rae, Stephen",2,,11,1,-,,,3,16,7,,4,,7,9,16,13,8,15,11,1,,,,,124.0
"Scott, Graham",,,7,,,,,,,3,14,13,12,9,,10,11,4,1,7,-,,,,,91.0
"Smith, Ross",22,18,28,19,19,22,20,20,19,23,18,,17,22,26,26,20,22,15,15,24,8,14,22,,459.0
"Stephens, John",14,15,10,11,10,13,17,9,12,9,11,10,19,9,7,,,13,9,,7,13,20,12,9,259.0
"Theodore, Stephen",12,5,,10,11,12,2,8,,,2,8,,,21,13,11,9,13,11,12,16,9,13,15,213.0
"Trott, Stuart",14,15,16,17,29,13,17,20,29,23,20,16,13,12,23,15,24,9,20,23,18,18,20,19,19,462.0
Totals,242,212,242,231,250,255,232,231,283,267,241,265,258,235,249,277,232,210,206,220,233,247,225,232,232,6007.0
Opponent,NM,FI,FO,CW,SM,RI,ES,CA,ME,GE,HW,NM,FI,CW,FO,SM,RI,ES,CA,ME,GE,HW,ES,CW,CA,
