Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Acres, Blake",85,89,88,86,89,71,,85,,,,,,,,,,64,79,72,70,66,78.8/1123:13
"Armitage, David",75,71,68,,,,86,80,67,,,,83,75,74,83,65,,90,84,78,76,77.0/1379:42
"Austin, Logan",,,,,,,,,,92,95,94,90,,94,,,,,,95,89,92.7/766:07
"Battle, Josh",,,,,,,,,,,,83,86,73,,,76,69,6,,,,65.8/466:37
"Billings, Jack",89,84,81,94,94,81,82,93,73,83,82,,95,85,90,89,81,89,92,89,81,86,86.3/2157:08
"Brown, Nathan",91,86,94,92,87,97,85,98,73,,,50,94,53,,,,88,98,93,,,85.2/1522:08
"Bruce, Josh",90,88,87,,,,,,,,,,,,,,,,,,,,88.3/317:24
"Carlisle, Jake",95,93,91,95,93,92,92,33,,92,,,96,95,,87,97,98,94,90,,100,90.1/1826:20
"Clark, Hunter",62,66,,,69,,73,73,90,75,62,69,78,67,68,66,79,,69,,,,71.1/1268:49
"Coffield, Nick",,,69,90,82,66,83,83,81,,,84,,,,,,66,74,,,,78.0/920:56
"Dunstan, Luke",,,78,81,75,78,76,78,72,58,,77,78,69,74,53,77,65,66,,,,72.2/1367:19
"Freeman, Nathan",,,,,,,,,,,,,,,,,,,80,55,,,67.1/160:55
"Geary, Jarryn",87,89,82,85,87,83,87,84,81,86,51,,,91,84,87,85,89,88,85,76,88,83.7/1992:48
"Gilbert, Sam",,,,94,88,84,73,79,,,,,,,85,91,90,85,,,91,91,86.5/1121:59
"Goddard, Hugh",,,,,,,,,,,,,,,,,,,,,87,,87.0/105:54
"Gresham, Jade",85,89,86,82,90,91,80,85,78,90,85,87,87,88,89,80,85,77,87,79,83,85,84.9/2219:22
"Hickey, Tom",,,,83,86,86,83,84,88,88,86,85,,,,89,77,89,68,,,,84.0/1292:33
"Joyce, Darragh",,,,,,,,,,,,,,78,72,,,,,,,,75.2/178:55
"Long, Ben",83,89,76,85,92,84,91,,,,,,,,,,,,,72,71,78,82.0/980:46
"Longer, Billy",80,51,,,,,,,,,,,92,92,82,,,,,,,,79.6/474:19
"Lonie, Jack",,,,94,,,,,85,88,64,81,,,,78,,78,92,81,84,74,81.8/1071:13
"Marshall, Rowan",,,92,45,,,83,79,79,,85,,,,,91,90,89,,87,83,80,81.8/1174:17
"McCartin, Paddy",69,75,74,79,86,84,46,,,90,85,72,84,68,77,,,,,,,,76.0/1175:51
"McKenzie, Daniel",,,,,,,,,,78,82,80,80,88,86,86,88,89,87,89,90,88,85.5/1317:59
"Membrey, Tim",89,92,,,90,88,94,92,86,85,90,88,93,92,83,89,86,85,92,92,91,85,89.1/2114:41
"Newnes, Jack",89,88,83,86,19,81,90,90,90,73,91,84,94,89,79,73,84,86,95,82,85,87,82.6/2161:52
"Paton, Ben",,,,,,,,,,,,,,,,,,,,69,57,69,65.0/235:10
"Phillips, Ed",,,,,,,,83,89,87,83,89,,,,90,67,,,,,,84.0/702:39
"Pierce, Lewis",,,,,,,,,,,,,,,,,,,,79,78,71,76.0/275:09
"Rice, Bailey",,,,,,,,,82,88,79,83,53,73,,75,77,,,76,77,75,76.2/1006:45
"Roberton, Dylan",81,84,86,28,,,,,,,,,,,,,,,,,,,69.4/335:01
"Ross, Sebastian",77,85,81,90,84,86,90,80,88,82,90,86,85,95,87,,85,79,95,93,85,88,86.3/2152:45
"Savage, Shane",88,86,86,87,87,85,84,91,91,79,93,91,90,88,93,87,84,84,,,,,87.4/1869:03
"Sinclair, Jack",78,82,85,81,86,69,,,92,91,84,87,78,91,86,91,91,84,91,84,76,78,84.3/2001:29
"Steele, Jack",71,68,,83,73,77,70,83,67,81,69,79,83,80,79,88,83,83,84,91,94,80,79.4/1980:39
"Steven, Jack",76,79,78,82,79,84,82,78,82,80,83,83,82,83,84,84,71,83,89,79,81,81,81.0/2118:12
"Stevens, Koby",77,79,,,,,,,,,,,,,,,,,,,,,78.0/186:24
"Webster, Jimmy",84,87,86,,,79,89,80,79,92,89,83,5,,79,65,,,87,80,87,83,78.4/1581:58
"Weller, Maverick",,,,,80,79,82,88,86,,85,83,96,88,82,81,83,80,,,,,84.2/1291:19
"White, Brandon",,,79,80,85,75,,,,42,89,,,,,,,,,,,,75.0/536:57
"Wright, Nathan",,,69,,,,,,,,,,,,72,,,,,,,,70.4/163:07
Totals,,,,,,,,,,,,,,,,,,,,,,,
Opponent,BL,NM,AD,GE,GW,HW,ME,FR,CW,RI,WC,SY,GC,ME,PA,CA,RI,GW,WB,ES,HW,NM,
