Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,Tot
"Acres, Blake",1,6,3,3,3,1,,3,,,,,,,,,,4,3,3,2,3,35.0
"Armitage, David",2,2,4,,,,4,2,5,,,,5,5,5,3,2,,1,2,-,2,44.0
"Austin, Logan",,,,,,,,,,1,4,1,3,,2,,,,,,1,-,12.0
"Battle, Josh",,,,,,,,,,,,2,3,4,,,1,4,-,,,,14.0
"Billings, Jack",3,4,2,4,1,4,4,1,3,3,-,,2,3,2,1,3,1,1,3,1,2,48.0
"Brown, Nathan",1,3,1,-,1,3,2,-,1,,,-,4,-,,,,1,-,1,,,18.0
"Bruce, Josh",2,1,1,,,,,,,,,,,,,,,,,,,,4.0
"Carlisle, Jake",-,3,2,3,3,3,1,2,,4,,,1,3,,3,2,2,3,-,,2,37.0
"Clark, Hunter",1,3,,,3,,1,3,3,3,5,-,2,2,4,-,1,,2,,,,33.0
"Coffield, Nick",,,1,2,4,3,2,1,-,,,1,,,,,,-,3,,,,17.0
"Dunstan, Luke",,,3,3,4,8,1,4,6,4,,4,3,4,7,3,-,-,2,,,,56.0
"Freeman, Nathan",,,,,,,,,,,,,,,,,,,2,-,,,2.0
"Geary, Jarryn",3,1,1,3,2,1,2,1,5,3,-,,,1,-,5,3,2,1,3,1,-,38.0
"Gilbert, Sam",,,,4,1,2,4,2,,,,,,,7,4,3,3,,,6,3,39.0
"Goddard, Hugh",,,,,,,,,,,,,,,,,,,,,1,,1.0
"Gresham, Jade",3,2,3,4,3,5,2,3,3,2,1,1,3,1,3,1,4,1,3,2,6,2,58.0
"Hickey, Tom",,,,6,2,3,2,3,3,4,7,2,,,,3,3,2,4,,,,44.0
"Joyce, Darragh",,,,,,,,,,,,,,5,4,,,,,,,,9.0
"Long, Ben",3,2,5,3,3,3,3,,,,,,,,,,,,,2,3,2,29.0
"Longer, Billy",3,1,,,,,,,,,,,3,2,2,,,,,,,,11.0
"Lonie, Jack",,,,1,,,,,3,2,3,-,,,,2,,3,6,3,1,1,25.0
"Marshall, Rowan",,,3,3,,,2,2,5,,1,,,,,4,5,2,,3,1,1,32.0
"McCartin, Paddy",3,1,-,2,2,1,3,,,3,2,1,3,2,1,,,,,,,,24.0
"McKenzie, Daniel",,,,,,,,,,1,1,2,-,4,2,1,1,2,1,4,-,1,20.0
"Membrey, Tim",1,1,,,-,-,-,3,1,1,1,1,-,2,2,1,1,1,2,2,1,2,23.0
"Newnes, Jack",4,4,2,3,-,3,3,1,5,1,3,4,2,3,3,2,1,2,6,-,2,2,56.0
"Paton, Ben",,,,,,,,,,,,,,,,,,,,-,-,1,1.0
"Phillips, Ed",,,,,,,,-,2,3,4,2,,,,3,1,,,,,,15.0
"Pierce, Lewis",,,,,,,,,,,,,,,,,,,,2,1,5,8.0
"Rice, Bailey",,,,,,,,,3,5,1,2,-,2,,1,3,,,3,1,6,27.0
"Roberton, Dylan",4,4,2,-,,,,,,,,,,,,,,,,,,,10.0
"Ross, Sebastian",5,4,6,4,1,1,3,5,4,5,9,7,3,8,3,,2,2,1,5,2,3,83.0
"Savage, Shane",1,5,1,4,1,1,2,1,5,-,1,2,-,3,2,2,2,-,,,,,33.0
"Sinclair, Jack",2,2,4,4,2,3,,,3,4,3,2,1,7,3,1,1,1,2,4,3,2,54.0
"Steele, Jack",3,2,,3,1,1,6,4,1,3,3,3,-,2,8,4,2,4,1,4,1,3,59.0
"Steven, Jack",6,3,3,5,2,3,3,4,1,8,6,2,3,3,2,4,8,3,6,4,4,3,86.0
"Stevens, Koby",3,5,,,,,,,,,,,,,,,,,,,,,8.0
"Webster, Jimmy",3,7,3,,,-,2,2,2,3,4,-,-,,3,3,,,5,3,4,2,46.0
"Weller, Maverick",,,,,2,1,2,3,3,,-,5,3,1,2,1,-,1,,,,,24.0
"White, Brandon",,,3,7,1,2,,,,1,2,,,,,,,,,,,,16.0
"Wright, Nathan",,,-,,,,,,,,,,,,3,,,,,,,,3.0
Totals,57,66,53,71,42,52,54,50,67,64,61,44,44,67,70,52,49,41,55,53,42,48,1202.0
Opponent,BL,NM,AD,GE,GW,HW,ME,FR,CW,RI,WC,SY,GC,ME,PA,CA,RI,GW,WB,ES,HW,NM,
