Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,SF,Tot
"Barber, Ernie",2,,,,,,,,,-,3,-,1,2,-,,-,8.0
"Belcher, Vic",-,-,-,-,1,1,-,,-,-,-,-,,,,-,,2.0
"Brereton, Harry",,,,,,,,,,6,6,3,5,-,2,2,3,27.0
"Bulpit, Harry",,-,,,,,,,,,,,,,,,-,
"Caldwell, Jim",-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4.0
"Carpenter, Fred",,,,,3,4,1,1,-,,,,,,,,,9.0
"Daly, Bill",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"Doherty, Jock",1,-,2,-,1,-,1,-,1,-,-,2,,-,2,-,2,12.0
"Fleiter, Fred",,,,,,,,,,,,,,-,,-,-,
"Froud, Harry",-,-,1,-,-,1,,,-,2,,,-,-,,,,4.0
"Hiskins, Arthur",,,,,,,,,,,,,,,-,-,-,
"Hiskins, Stan",1,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0
"Hynes, Tammy",-,-,-,-,-,-,-,-,-,-,1,,-,-,-,-,-,1.0
"Kenny, Bill",,,,,,,-,-,,,,,,,,,,
"Laidlaw, Wally",,,,,,,,-,,,,,,,,,,
"Laird, Chris",-,7,3,2,-,2,2,2,1,2,3,1,-,1,1,-,1,28.0
"Lugg, Norm",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,4.0
"Makin, Jim",-,-,-,-,-,-,-,,,,,,,,,,,
"OHalloran, Tom",-,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,1.0
"Pearson, Bill",1,2,-,-,3,,,,,,,,,,,,,6.0
"Power, Gladstone",,,,,,,,,,3,2,-,-,,-,-,-,5.0
"Purdy, Harry",,,,-,1,,,,,,,,,,,,,1.0
"Rademacher, Arthur",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,
"Robertson, Harold",1,-,1,1,-,2,1,2,1,-,14,7,5,2,1,-,,38.0
"Sampson, Reg",,-,-,-,,-,-,-,-,-,-,-,1,-,-,-,-,1.0
"Skehan, Phil",-,,1,-,-,-,1,-,,,-,-,-,-,-,,-,2.0
"Stewart, Jim",,,,,,,,-,-,-,,,,,,,,
"Tandy, Mark",-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,3.0
"Turner, Chip",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Wood, Artie",-,-,-,,,,,,-,,,-,-,-,-,-,,
Totals,6,10,9,4,9,11,6,5,3,13,29,14,12,6,8,3,9,157.0
Opponent,CW,ME,SK,FI,ES,RI,CA,GE,CW,ME,SK,FI,ES,RI,CA,GE,RI,
