Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Boyd, Ken",,-,-,-,,,,-,,,,-,1,1,-,3,-,,5.0
"Brain, Terry",,,,,,,,,,,,,,,,,,-,
"Brennan, Gerald",,,-,1,1,-,,,,,,,,,,,,,2.0
"Campbell, Neville",-,,,,-,,,,,,,1,,,,,,,1.0
"Clegg, Ron",1,1,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,5.0
"Crough, Gerald",,,,,,,-,-,,,,,,-,-,1,-,,1.0
"Dawson, Alan",,-,-,,,,,,,,,,,,,,,,
"Dorgan, Jim",-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,-,
"Gillett, Ian",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Goldsmith, Fred",2,1,3,-,1,-,-,-,2,5,3,1,5,3,3,3,1,-,33.0
"Gunn, Bill",1,-,,,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2.0
"Hamilton, Jack",-,-,,-,-,-,-,-,,,,,,,,,,,
"Harris, Fred",,-,-,-,,-,-,,,,-,-,,,,,,,
"Heriot, John",,,,,,,,,-,1,-,-,,,,-,-,-,1.0
"Hogan, Frank",,,2,1,1,,,,,,,,,,,,,,4.0
"Hogan, Kevin",2,1,-,-,1,,-,-,,,1,1,1,,,,,,7.0
"Hudson, Jack",-,,-,-,-,-,-,-,-,-,-,,,,,,,,
"Kelton, John",,,,-,,,,,,,-,1,-,,,,,-,1.0
"Keyter, Don",1,2,2,-,,,1,-,2,-,,,,,,2,-,1,11.0
"Kiteley, Jeff",,,,,,,,,-,-,-,1,,,,,,,1.0
"Ledwidge, John",-,,,,3,-,-,-,-,-,,,,,,,,,3.0
"Lewis, Terry",,,,-,-,-,,,,,,,,,,,,,
"Matthews, Don",,,-,,,,,,,,,-,4,1,1,-,,,6.0
"McCormack, Ken",-,1,,,,-,-,1,-,-,-,-,-,-,-,-,-,,2.0
"McGowan, Brian",-,-,,,,-,1,2,1,-,2,-,4,1,4,3,-,4,22.0
"McLaughlin, Hugh",-,-,-,,,,,,-,-,-,-,-,-,-,-,-,-,
"Oaten, Max",,,-,1,,5,4,4,5,-,2,6,1,1,2,1,-,2,34.0
"Power, Bill",1,-,,,,,,,,,,,,,,,,1,2.0
"Pratt, Bob",1,2,,-,,1,-,1,-,,,,,,,,,,5.0
"Rayson, Noel",,,,,,,,,,,,,2,1,3,1,3,1,11.0
"Skilton, Bob",3,1,3,4,4,1,2,-,1,1,-,-,,4,2,,2,1,29.0
"Smith, Mal",,-,3,,2,,1,-,,,,,,,,,,,6.0
"Stockman, Ron",,,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Svenson, John",-,-,-,1,1,,,,,,,,-,-,-,,,,2.0
"Tagliabue, Gerald",-,1,-,-,,1,,,,-,-,-,1,1,-,-,,,4.0
"Tampion, Ian",,,,,,,,,,-,-,-,-,-,-,1,-,-,1.0
"Taylor, Jim",,,,-,-,-,-,,-,-,-,,,,,,-,-,
"Thompson, Don",,,,,-,,,,,,,,,,,,,,
"Trethowan, John",-,,-,,-,-,-,-,-,,,,-,-,-,-,-,-,
"Younger, Marshall",-,-,,,-,-,-,-,-,1,,,-,-,-,-,-,-,1.0
Totals,12,10,13,8,14,8,10,9,11,8,8,11,19,14,16,15,6,10,202.0
Opponent,RI,FI,FO,GE,SK,HW,CA,CW,ME,NM,ES,RI,FI,FO,GE,SK,HW,CA,
