Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,Tot
"Baskin, Keith",,,3,3,2,2,3,1,3,,,,2,1,3,1,-,,6,2,,,1,33.0
"Bedford, Peter",6,6,5,3,2,7,8,3,4,7,5,4,5,3,6,4,2,5,3,6,3,4,3,104.0
"Bennett, Stuart",2,-,-,,,,,,-,,5,4,-,,-,-,6,3,3,2,2,2,-,29.0
"Brice, Gary",4,1,1,5,2,6,5,1,3,3,1,8,4,3,6,2,7,2,4,4,6,-,2,80.0
"Catlin, Sid",,,,,,,,,,,,,-,-,1,,-,1,,-,-,-,,2.0
"Cook, Russell",3,7,5,3,3,7,6,2,8,6,3,2,6,5,7,7,9,5,6,3,7,5,4,119.0
"Davis, Bruce",,,,,,,,,,,,,,,,,,,,,,5,,5.0
"Doyle, Robert",,,,,,,,,,,,,,-,,,,,-,,,,,
"Elwin, Ross",,2,-,,,,,,,,,,,,,,,,,,,,,2.0
"Gleeson, Reg",,-,1,,,,,4,1,-,1,1,2,2,1,3,2,1,2,2,2,1,4,30.0
"Haenen, Tony",7,6,3,3,4,4,1,4,2,3,1,4,5,1,2,9,5,2,4,6,6,2,5,89.0
"Harrison, Paul",,,,,,,,,2,,,,,,,-,1,-,3,-,,,,6.0
"Hoffman, Steve",-,,,,1,-,-,,,,1,-,,,,,,,,,,,2,4.0
"Jacobs, Graeme",5,2,6,4,5,2,2,3,2,6,2,4,,1,4,3,-,,,,2,3,2,58.0
"Lambert, Greg",5,2,,7,2,1,3,4,2,4,1,,,,,,,2,6,3,5,5,4,56.0
"Leahy, Terry",1,,,,,,-,-,2,4,1,-,1,,,,,,,,,,,9.0
"Luke, Richard",,,,4,1,-,-,2,1,-,6,2,5,1,5,4,2,1,2,2,3,2,-,43.0
"McAuliffe, Haydn",4,3,2,2,3,6,5,3,3,3,,6,3,5,-,3,7,1,-,6,2,2,-,69.0
"McCracken, Peter",,,,-,,,,,,,,,,,,,,,,,,,,
"McKew, Shane",-,3,6,3,4,-,4,,,4,1,-,-,1,4,3,4,2,3,-,,,,42.0
"McLeish, David",,6,3,3,2,1,1,3,2,-,-,-,3,1,1,3,-,1,1,2,3,4,2,42.0
"Miller, Neville",,,,,,,,,,,-,,,,2,,,,6,4,1,-,,13.0
"Murphy, John",7,3,1,4,2,1,2,2,,2,5,-,4,1,3,-,,-,-,3,2,,5,47.0
"Pavone, Mick",,2,5,5,1,2,-,,,,,,,,,,,,,,,,,15.0
"Pitura, John",2,3,3,6,4,2,3,2,3,2,5,4,2,2,1,1,1,4,3,3,1,6,4,67.0
"Quade, Ricky",2,,,,,,,,,,,,,,,,,,,,,,,2.0
"Rantall, John",3,3,1,2,1,1,5,1,,4,-,4,1,2,3,2,5,3,3,-,2,5,1,52.0
"Richardson, Alan",-,,,,,,,,,,,,,,,,,,,,,,,
"Skilton, Bob",,6,6,-,4,5,1,7,3,5,4,8,3,4,,6,5,4,5,,5,4,1,86.0
"Sudholz, John",,,,8,6,7,5,2,6,3,1,7,6,2,5,1,3,6,3,7,5,9,6,98.0
"Walsh, Wayne",4,3,5,1,3,1,,4,2,4,,4,3,2,6,2,2,-,,,8,4,3,61.0
"Way, Fred",7,4,3,4,1,5,2,2,5,3,,1,4,2,7,2,1,2,,,,,5,60.0
"Wetzel, Ron",-,8,2,,,,,,,,,,,,,,,,,-,-,4,,14.0
"Wilkinson, Jim",1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Williams, Gary",,,,,,,,-,5,2,-,,,,,,,,,,,,,7.0
Totals,63,70,61,70,53,60,56,50,59,65,43,63,59,39,67,56,62,45,63,55,65,67,54,1345.0
Opponent,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,ME,NM,ES,FO,RI,SK,CA,HW,GE,FI,CW,SK,
