Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ackerly, David",1,-,,-,2,3,,,1,6,1,2,1,1,1,3,3,2,-,10,-,2,39.0
"Allender, Stephen",,,,,,5,3,2,-,,,,7,5,1,,4,,,2,-,,29.0
"Boyse, Maurice",,,,,,,4,3,2,1,-,,,,,,,,,,,,10.0
"Browning, Mark",3,2,2,,,,,,,,,,,3,7,7,1,3,5,7,2,9,51.0
"Carroll, Dennis",,,,,,,,4,-,4,2,3,1,,2,3,5,5,5,7,3,6,50.0
"Carroll, Wayne",,2,,1,,,,,,4,,,,,2,2,,1,1,1,,,14.0
"Carter, Rod",-,,4,3,6,-,1,2,3,4,3,3,4,-,2,3,6,4,1,1,1,1,52.0
"Conlen, Bernie",,,,,,,,,,,,,,,,,,,,,1,1,2.0
"Cowton, Gary",,,,3,3,4,2,2,1,8,-,,,,,,,,,,,,23.0
"Daniher, Anthony",,,,,1,-,,,,,4,3,2,,,,,1,-,2,1,,14.0
"Eather, Stephen",,-,,,,,,,,,,,,,,,,,1,-,,,1.0
"Evans, Bernie",-,3,1,2,3,6,3,1,-,-,11,7,2,3,4,-,6,4,6,2,,,64.0
"Fields, Neville",1,-,-,,,,2,4,4,,,,,,,,,,,,,,11.0
"Foschini, Silvio",,,3,3,-,,1,,,2,2,2,6,-,2,2,3,1,-,1,2,7,37.0
"Fraser, Mark",1,2,,-,,,,1,,3,4,4,-,,,-,,,,,,2,17.0
"Goss, Kevin",,1,-,2,1,1,1,,,,1,,,2,,,,,,,,1,10.0
"Hounsell, Colin",,,-,3,5,1,1,3,1,,,2,,,1,2,2,2,3,3,2,6,37.0
"Jackson, Francis",1,2,4,1,3,2,2,,1,3,-,4,4,-,6,,1,2,,,1,,37.0
"James, Max",2,-,3,5,4,6,-,,,,,,,2,5,2,,,,4,7,,40.0
"Jenkinson, Noel",,,,,,,,,,,,,1,,,,,,,,,,1.0
"Koop, Doug",,-,,,,,,-,-,,,,,,,,,,-,,,,
"Kruse, Max",1,2,-,,4,1,,2,,3,5,2,,,,,,,3,-,,2,25.0
"McGhie, Robert",-,,,,,,,,,,,,,,,,,,,,,,
"Melesso, Peter",,,,,,,,,,,,,,,,,,,,,,1,1.0
"Moir, Phillip",,,,,,,,,,,1,,1,,,,,,,,3,,5.0
"Morrison, Peter",,,,,,,,,,,,,,,,,,,,,,5,5.0
"Morwood, Paul",2,,,,,5,1,5,1,5,6,6,1,4,5,9,6,5,2,,,5,68.0
"Morwood, Shane",,,,,,,,,,,,,,1,,3,7,1,,,,,12.0
"Morwood, Tony",2,3,10,5,4,6,2,2,2,3,,11,6,3,3,3,2,1,3,3,-,,74.0
"Oaten, Michael",,,,,,,,,,,,1,,,,,,,,,,,1.0
"Plumb, Phillip",1,1,,,1,,,-,,,,,,,,,,,,,-,,3.0
"Rhys-Jones, David",-,2,4,1,3,1,5,4,2,9,5,4,-,3,7,2,1,3,,,,,56.0
"Roberts, Ian",,,,,,,2,,,,,2,2,-,,,,,,,1,2,9.0
"Roberts, John",5,4,6,6,3,8,5,5,2,3,4,5,5,2,7,5,3,4,4,1,,3,90.0
"Round, Barry",5,7,7,2,11,4,7,7,5,9,8,5,12,12,6,13,6,12,8,8,6,19,179.0
"Scott, Brett",,1,2,1,-,2,,,,,,,,,,,,,,,1,3,10.0
"Smith, Greg",4,,3,1,3,4,1,2,4,6,,,1,7,5,5,2,1,3,4,3,6,65.0
"Smith, Michael",,3,3,,,,,,,,,,,,,,,,,,,,6.0
"Taylor, Kevin",2,,5,6,1,4,3,4,1,3,4,4,,,,,1,,1,1,,,40.0
"Teasdale, Graham",5,,5,6,,,,,2,4,10,4,6,2,3,8,5,7,3,6,2,9,87.0
"Whitzell, Mark",,,,,,,,,,,,,,2,,,,,,,,,2.0
"Winbanks, David",,,,,,,,,,,,,,,4,-,4,1,,,,,9.0
"Wright, Stephen",4,3,3,3,4,1,1,2,-,3,3,3,2,1,-,1,4,4,1,4,3,2,52.0
Totals,40,38,65,54,62,64,47,55,32,83,74,77,64,53,73,73,72,64,50,67,39,92,1338.0
Opponent,NM,RI,HW,FI,FO,SK,CW,ME,CA,GE,ES,RI,HW,FI,FO,SK,CW,ME,CA,GE,ES,NM,
