Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,R19,R20,R21,R22,R23,R24,Tot
"Athorn, Mark",3,-,3,2,,,,,,,,1,-,1,-,-,-,-,-,-,-,1,11.0
"Bayes, Mark",1,1,-,2,-,1,2,2,3,3,3,-,-,-,-,1,1,1,1,1,,1,24.0
"Bolton, David",1,,,,,,,,,,-,,,,,1,,-,1,2,1,1,7.0
"Brunton, Neil",,,,,,,,,,,,,,,,,,,,1,2,-,3.0
"Capper, Warwick",2,2,3,1,3,2,2,-,2,2,,,,,1,4,2,,,,,,26.0
"Carroll, Dennis",-,1,-,-,1,1,2,1,-,2,5,1,2,1,1,-,3,2,-,-,-,,23.0
"Clarkson, Justin",,,,,,,,,,,-,,,,,,,1,,,,-,1.0
"Cordy, Neil",-,-,1,-,1,2,1,1,1,-,1,1,1,-,1,4,-,2,2,-,-,-,19.0
"Doolan, Ben",,,,,,-,-,1,2,-,3,2,1,-,-,1,2,,-,,,,12.0
"Eustice, Mark",,-,-,-,1,,,,,,,,,,,,,,,,,,1.0
"Hawke, Paul",2,,,,,,,,,,,,,,,,,,,,,,2.0
"Henwood, Wayne",1,3,-,-,1,2,-,2,,,,,,,,,,,,,,,9.0
"Higgins, Leon",-,3,-,-,3,3,1,2,-,1,4,2,1,1,3,1,-,-,-,1,1,-,27.0
"Holmes, Darren",,,,,,,,,-,-,1,-,-,,3,-,,,,,,,4.0
"John, Gareth",2,5,2,1,,,,,,,,,,,,,,,,,,,10.0
"Kelly, Paul",,,2,-,3,-,2,-,-,3,4,2,1,1,1,2,1,4,1,5,1,3,36.0
"Kerr, Robert",1,,,,,,,,,,,,,1,1,-,-,1,,,,,4.0
"Lawson, Jamie",,,,,,-,-,1,1,-,1,1,-,1,,-,-,2,-,1,1,2,11.0
"Lewis, Dale",2,-,1,1,3,1,1,-,-,-,5,1,1,1,2,-,1,3,1,-,1,2,27.0
"Lloyd, Matthew",,,,,2,,,,,,,,,,,,,,,,,,2.0
"Love, Jason",,1,1,1,-,1,3,1,2,1,1,-,-,1,1,-,1,1,2,-,1,-,19.0
"Luff, Troy",,,,,,,,,,,5,-,2,,,,,,,,2,1,10.0
"McAsey, Darren",,,,,,,,,,,,,,,,,,,2,-,-,,2.0
"McKenzie, Warren",3,1,-,-,-,2,3,1,-,-,3,,,,4,,-,,1,1,-,-,19.0
"Mitchell, Barry",2,2,1,1,2,1,4,2,2,1,4,1,-,1,1,1,-,3,-,1,1,1,32.0
"Murphy, David",-,1,2,-,1,4,1,1,2,,,1,-,-,2,1,-,2,1,-,-,-,19.0
"Nettelbeck, Craig",1,-,-,-,,,1,,,-,1,2,-,-,,,,3,2,1,2,2,15.0
"ODwyer, Chris",,,,,,,,,,,,,2,1,,,,,,,,-,3.0
"Page, Glenn",,,,,,,,,,,1,2,-,1,,,,,,1,1,-,6.0
"Roberts, Ian",,,-,3,,-,1,3,1,1,,,,,,,,,,,,,9.0
"Stanislaus, Brian",,-,,,,,,,,,,,,,,,,,,,,,
"Thripp, Terry",,,,,,1,1,-,1,1,,2,1,1,,,,,,,,,8.0
"Toohey, Bernard",1,1,4,2,1,3,1,-,-,1,1,-,3,-,1,2,-,3,,-,1,1,26.0
"Tunbridge, Brad",,,,,3,-,,-,1,1,4,-,3,2,-,-,3,5,5,-,1,-,28.0
"West, Jim",-,-,,,-,,,,,-,,,,-,,-,3,1,-,,,,4.0
"Wheeler, Sanford",,,,,-,,,,,,,,,,,,,,,,,,
"Williams, Greg",-,-,-,-,-,3,1,1,3,,,,,,2,,2,1,1,1,2,,17.0
"Willis, David",,,,,,,,,,,,,,,2,,,,,,,,2.0
"Wright, Stephen",2,1,2,1,-,-,2,-,1,-,2,-,,,-,3,-,1,-,,,,15.0
Totals,24,22,22,15,25,27,29,19,22,17,49,19,18,14,26,21,19,36,20,16,18,15,493.0
Opponent,HW,AD,RI,ES,NM,GE,FI,SK,WC,BB,FO,CA,CW,ME,HW,AD,RI,ES,NM,GE,FI,SK,
