Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Ablett, Luke",,-,,2,-,,,1,1,1,,,,,-,-,-,3,1,1,,-,10.0
"Barlow, Ed",-,,2,2,-,,,,,,,2,2,1,1,-,-,-,1,-,1,,12.0
"Barry, Leo",,,,,,,,,,,,,,,,,,,,-,-,-,
"Bevan, Paul",-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,-,-,-,3.0
"Bird, Craig",-,1,-,-,1,,,-,-,,-,1,-,-,-,-,-,-,,,,,3.0
"Bolton, Craig",-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,
"Bolton, Jude",-,-,1,1,-,-,1,-,-,-,-,1,-,-,-,-,1,1,1,-,1,-,8.0
"Brabazon, Ryan",,,,,,,,,,,,,-,-,,,,,,,,,
"Buchanan, Amon",2,,,,1,-,-,-,-,-,-,,,,,,,,,,,,3.0
"Crouch, Jared",-,-,-,,,,,,-,-,-,-,-,-,1,,,-,-,,-,1,2.0
"Goodes, Adam",1,-,-,1,-,1,1,-,1,-,3,-,-,-,1,2,-,1,3,-,1,1,17.0
"Grundy, Heath",-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Hall, Barry",1,2,-,,,2,1,-,2,1,-,2,2,,,,,,,,,,13.0
"Hannebery, Dan",,,,,,,,,,,,,,,,-,-,1,-,-,-,-,1.0
"Jack, Kieren",-,-,1,-,-,1,1,-,-,-,-,-,-,-,3,1,-,1,1,-,1,-,10.0
"Jolly, Darren",-,1,2,-,-,-,-,1,1,-,2,-,-,2,-,-,-,-,1,2,-,-,12.0
"Kirk, Brett",-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,4.0
"Malceski, Nick",-,-,1,3,-,-,-,,1,-,-,,,-,-,,,,,,,,5.0
"Mattner, Martin",-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3.0
"McVeigh, Jarrad",1,2,1,-,-,-,-,-,2,-,1,-,,-,,-,1,2,-,,,-,10.0
"Meredith, Brett",,1,1,1,-,-,-,-,,,,,,,,,,,,,,,3.0
"Moore, Jarred",1,-,2,-,,1,-,2,2,1,-,-,,,,,1,1,1,-,-,,12.0
"ODwyer, Matthew",,,,,,,,,,,,,,,,,,,-,-,-,1,1.0
"OKeefe, Ryan",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,1,7.0
"OLoughlin, Michael",,,,,,1,-,2,2,2,-,-,2,1,2,-,1,1,-,1,-,1,16.0
"Pyke, Mike",,,,,,-,-,,,,,,,,-,,-,-,1,-,-,,1.0
"Richards, Ted",-,-,-,1,-,1,-,-,-,-,-,1,-,-,1,-,,,,,,,4.0
"Roberts-Thomson, Lewis",-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shaw, Rhyce",-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,1,-,4.0
"Smith, Nick",,,,,,,,,,,,-,-,-,-,-,-,1,-,-,-,-,1.0
"Thornton, Kristin",,,,-,-,-,-,,,,,2,-,,,,-,,,,,-,2.0
"Veszpremi, Patrick",,,,,,,,,,,,,1,-,1,1,,,,,,,3.0
"White, Jesse",-,-,-,-,-,,,-,-,-,-,1,1,,,1,1,1,3,2,1,2,13.0
Totals,7,9,12,12,4,9,5,8,12,5,7,10,8,8,11,7,5,13,13,8,7,7,187.0
Opponent,SK,HW,BL,CA,FR,RI,GE,WC,PA,WB,HW,CW,AD,NM,ES,CA,ME,SK,RI,GE,CW,BL,
