Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,PF,Tot
"Armstrong, Tony",-,,-,-,-,-,-,,,,,-,,,,,,,,,,,,,,
"Biggs, Shane",,,,,,,,,,,,,,,,,,,,,,-,,-,-,
"Bird, Craig",,-,-,,-,-,-,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,5.0
"Bolton, Jude",1,1,-,-,2,2,2,1,1,-,1,-,1,-,-,-,2,2,1,2,,1,-,1,1,22.0
"Cunningham, Harry",,,,,,,,,,,,,,,,-,-,,,,,-,,1,-,1.0
"Everitt, Andrejs",,1,-,,-,,,1,-,-,1,,1,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Goodes, Adam",-,-,2,3,1,2,1,-,3,2,1,-,,,,,,,,,,,,,,15.0
"Grundy, Heath",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2.0
"Hannebery, Dan",-,-,1,1,1,1,-,2,2,-,1,-,-,-,-,1,-,-,1,-,1,,1,-,1,14.0
"Jack, Brandon",,,,,,,,,,,-,,-,-,2,-,1,-,-,,,-,,,,3.0
"Jack, Kieren",2,-,-,-,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,6.0
"Jetta, Lewis",-,-,-,1,-,-,-,1,-,-,,,,,,,,,,,,,-,1,-,3.0
"Kennedy, Josh",-,1,-,-,-,-,1,-,-,1,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,8.0
"Lamb, Jed",,,,,,1,1,,-,,,-,-,-,-,1,1,1,,4,1,,,,,10.0
"Malceski, Nick",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Mattner, Martin",-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
"McGlynn, Ben",-,1,-,1,2,2,4,1,3,-,3,-,-,-,3,,,,-,4,-,-,-,,1,25.0
"McVeigh, Jarrad",1,1,2,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,8.0
"Mitchell, Tom",,,,,,,,,,-,-,-,-,1,2,-,3,-,-,,1,-,-,-,,7.0
"Morton, Mitch",,,,-,,,,-,3,-,4,-,,,,,,,,,,-,,,,7.0
"Mumford, Shane",2,-,-,-,-,1,,1,-,-,1,,,-,2,1,-,-,-,-,-,3,-,-,-,11.0
"OKeefe, Ryan",-,1,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,1,-,1,-,1,2,-,11.0
"Parker, Luke",-,2,2,-,-,1,1,2,-,-,1,-,1,2,1,-,-,-,1,-,-,-,-,4,2,20.0
"Pyke, Mike",1,2,-,1,-,2,2,1,2,2,-,-,1,1,4,2,1,-,-,1,2,1,3,-,1,30.0
"Rampe, Dane",-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.0
"Reid, Sam",1,1,-,1,-,4,1,1,1,,,,,-,,,,,,,,,,,,10.0
"Richards, Ted",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Richards, Xavier",,,,,,,,,,,,,-,,,,,,,,,,,,,
"Roberts-Thomson, Lewis",-,-,-,2,,,,,,,,,,,,,,,,,,,,,,2.0
"Rohan, Gary",,,,,,,,,,,,,,,,,,,,-,-,1,1,,3,5.0
"Shaw, Rhyce",-,-,,,,,,,,,,,,,,,,-,1,-,-,,,,,1.0
"Smith, Nick",-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,2.0
"Tippett, Kurt",,,,,,,,,,,,3,1,5,6,2,3,4,4,4,2,,1,1,,36.0
"Walsh, Tommy",,,,,,,,1,,-,,,,,,,,,,,,,,,,1.0
"White, Jesse",,,,,,,2,,,,3,-,1,,3,-,5,1,1,4,-,2,1,-,3,26.0
Totals,8,12,8,11,8,19,17,12,16,6,17,3,7,11,31,9,17,9,10,19,8,8,8,11,12,297.0
Opponent,GW,GC,NM,GE,SK,BL,HW,FR,CW,ES,AD,PA,CA,ME,GW,WC,RI,WB,CW,SK,GE,HW,HW,CA,FR,
