Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Aliir, Aliir",,,,2,,,,,,,,,5,4,12,6,14,6,5,4,4,7,5,74.0
"Cameron, Darcy",,,,,,,,,,,,,,,,,1,,,,,,,1.0
"Cunningham, Harry",7,7,3,6,7,3,3,9,3,5,3,3,5,5,2,2,7,7,2,7,3,7,5,111.0
"Dawson, Jordan",,,,,,,,,,,,,,,,,,4,6,7,,4,,21.0
"Florent, Oliver",2,10,2,7,6,5,2,9,7,7,8,11,6,8,7,9,9,11,8,8,7,5,4,158.0
"Fox, Robbie",6,7,,,,4,3,,,,,,,,8,3,3,3,,,3,3,,43.0
"Franklin, Lance",9,5,9,8,2,,,,12,5,3,4,12,4,6,7,7,4,9,7,14,,2,129.0
"Grundy, Heath",2,5,7,3,4,6,2,5,4,8,5,4,8,4,5,,,3,,,,10,10,95.0
"Hannebery, Dan",,9,7,8,5,,,,6,7,3,4,12,9,4,,,,,9,4,3,10,100.0
"Hayward, Will",6,4,6,3,1,3,7,6,4,5,6,5,4,5,5,5,7,5,5,2,6,10,5,115.0
"Heeney, Isaac",7,18,15,9,11,12,7,10,9,10,7,13,8,5,,15,10,9,6,10,10,11,11,223.0
"Hewett, George",11,13,5,5,9,11,10,11,7,21,12,11,13,20,7,9,11,7,16,10,9,19,8,255.0
"Jack, Kieren",5,7,8,5,6,10,9,5,5,8,5,,2,5,1,,,,1,6,12,2,4,106.0
"Johnson, Alex",,,,,,,,,,,,,,,,,,,4,2,,,,6.0
"Jones, Zak",11,,,5,9,4,7,3,2,7,5,3,5,7,5,5,2,3,,,8,3,4,98.0
"Kennedy, Josh",12,20,12,7,8,17,18,11,10,23,12,13,15,22,22,6,16,10,11,14,14,11,10,314.0
"Lloyd, Jake",5,8,5,4,7,2,3,9,5,10,3,3,5,5,9,3,4,10,6,9,6,10,3,134.0
"Marsh, Harrison",,,,,6,-,3,,,7,4,4,5,,,3,1,,,,,,,33.0
"McCartin, Tom",,,,,,,,3,5,3,,3,9,5,10,3,8,2,6,5,8,2,2,74.0
"McVeigh, Jarrad",2,9,5,4,8,1,7,5,5,5,5,3,,4,4,,,,7,4,4,5,5,92.0
"Melican, Lewis",6,2,2,,,,,,,,,,,,,,,,,,,,,10.0
"Mills, Callum",9,3,5,3,5,9,4,7,6,,,,,,,,,,,,,,,51.0
"Newman, Nic",8,,,7,,,,,,,3,,,,,5,9,3,6,6,7,3,2,59.0
"ORiordan, Colin",,,,,,,,,,,,,,,,6,7,5,,,,,,18.0
"Papley, Tom",8,4,2,10,7,7,4,3,7,11,,4,5,,,7,10,6,4,8,4,7,9,127.0
"Parker, Luke",18,17,10,11,9,10,13,19,11,9,12,11,10,13,10,16,14,17,14,9,15,,8,276.0
"Rampe, Dane",2,1,6,8,7,4,1,4,5,4,2,2,6,4,3,5,8,4,9,6,5,4,4,104.0
"Reid, Sam",,,7,,,,,,,,,,,,,,,,,,,,,7.0
"Robinson, Dan",,,,,,5,,13,,,,4,,,7,3,,,6,,4,3,6,51.0
"Rohan, Gary",,2,2,,2,9,4,3,2,,3,5,7,5,,,,,,,,,,44.0
"Ronke, Ben",,,,,,8,6,5,7,7,4,5,7,6,4,8,4,6,5,8,3,3,3,99.0
"Rose, James",,,,,,,,,,,,,,4,,,,,,,,,,4.0
"Sinclair, Callum",13,10,11,9,5,14,9,6,7,7,12,8,9,6,9,9,6,10,11,9,8,6,5,199.0
"Smith, Nick",7,9,3,2,9,5,2,13,9,5,6,2,4,2,5,3,3,6,3,-,,,,98.0
"Stoddart, Ryley",,,,,,,,,,2,1,,,,,,,,,,,,,3.0
"Towers, Dean",5,5,9,8,11,,4,4,,,,,,,4,,,,,,,,,50.0
Totals,161,175,141,134,144,149,128,163,138,176,124,125,162,152,149,138,161,141,150,150,158,138,125,3382.0
Opponent,WC,PA,GW,WB,AD,GE,NM,HW,FR,BL,CA,SK,WC,RI,GE,NM,GC,ES,CW,ME,GW,HW,GW,
