Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,Tot
"Aliir, Aliir",5,5,2,5,2,,-,4,5,3,,,2,2,3,2,1,41.0
"Amartey, Joel",,,,,,,,,,,,,,,,3,,3.0
"Bell, James",,,,,,,,3,-,-,1,1,-,,,-,-,5.0
"Blakey, Nick",-,-,-,-,-,1,2,3,2,,1,-,-,3,1,1,-,14.0
"Brand, Kaiden",5,4,,,,,,,,,,,,,,,,9.0
"Clarke, Ryan",,,,,-,1,2,2,1,,,,1,1,-,1,1,10.0
"Cunningham, Harry",1,2,-,-,-,2,1,2,2,1,4,-,-,3,-,1,1,20.0
"Dawson, Jordan",1,-,2,1,4,1,5,7,4,3,1,3,3,3,4,,3,45.0
"Florent, Oliver",1,2,1,3,1,1,1,4,-,-,-,1,-,1,2,-,1,19.0
"Foot, Zac",,,,,,,,,,,1,1,,,,,,2.0
"Fox, Robbie",,,3,2,,8,8,8,11,4,3,5,4,2,8,4,3,73.0
"Gray, Sam",1,-,-,,-,1,,1,1,,,,,,,,,4.0
"Hayward, Will",1,1,2,2,2,7,4,,1,-,1,1,-,1,-,1,-,24.0
"Heeney, Isaac",2,1,-,1,1,-,,,,,,,,,,,,5.0
"Hewett, George",,1,-,-,2,1,-,,,,,,,,,,,4.0
"Kennedy, Josh",-,-,1,-,-,-,,,,,,1,2,1,-,2,-,7.0
"Ling, Matt",,,,,,,,3,2,1,,,,,,,,6.0
"Lloyd, Jake",4,1,-,1,5,3,4,1,3,1,1,4,2,3,1,2,1,37.0
"McCartin, Tom",1,-,2,,,,2,1,1,2,-,1,4,3,5,6,5,33.0
"McInerney, Justin",2,-,,2,2,,,,,,,,1,3,2,2,-,14.0
"McLean, Hayden",,,3,-,3,-,,,,,,,,3,2,,,11.0
"Melican, Lewis",,,,,1,,,,,9,4,15,8,2,1,3,5,48.0
"Mills, Callum",3,6,2,4,3,5,4,2,4,3,6,5,4,,,3,1,55.0
"Naismith, Sam",3,,,2,,,,,,,,,,,,,,5.0
"ORiordan, Colin",3,1,-,,2,4,4,,,,7,4,,,,,,25.0
"Papley, Tom",1,1,-,-,-,1,3,-,1,-,4,2,1,1,-,-,2,17.0
"Parker, Luke",1,1,-,2,4,3,2,4,1,-,2,1,2,1,2,2,3,31.0
"Rampe, Dane",11,4,4,5,5,3,10,9,8,2,4,,,,,,,65.0
"Reid, Sam",,,,,,,,2,-,-,1,1,1,3,-,3,1,12.0
"Ronke, Ben",1,,,-,-,,,,,,,,,,,,,1.0
"Rowbottom, James",-,1,1,1,2,-,-,2,2,1,1,-,1,1,1,,1,15.0
"Sinclair, Callum",,3,2,2,,,1,1,3,1,2,5,3,3,1,,2,29.0
"Stephens, Dylan",,,,,,-,2,3,,-,1,2,,,,1,1,10.0
"Stoddart, Ryley",,,,,,-,-,,,,,,,,,,,
"Taylor, Elijah",,,,,,,3,1,2,1,,,,,,,,7.0
"Taylor, Lewis",-,1,-,-,,,,-,-,,,,,-,2,-,,3.0
"Thurlow, Jackson",,,,,,,,,,2,-,4,4,2,4,3,3,22.0
"Warner, Chad",,,,,,-,1,,,,,,,,,,,1.0
"Wicks, Sam",,,,,,,,,,-,1,2,2,2,1,1,,9.0
Totals,47,35,25,33,39,42,59,63,54,34,46,59,45,44,40,41,35,741.0
Opponent,AD,ES,NM,WB,WC,RI,GC,HW,SK,CW,GW,FR,PA,ME,CA,BL,GE,
