Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,Tot
"Annear, John",,,,-,2,4,5,3,1,-,2,4,3,5,1,1,2,1,1,1,1,-,,37.0
"Barich, Adrian",,,,,1,-,1,,,-,1,-,1,-,1,,1,,,-,,,,6.0
"Brennan, Michael",2,-,4,2,-,-,,,2,-,,4,,2,-,1,-,-,1,1,-,1,,20.0
"Caton, Kevin",,,,,,,,,,,,,,,,,,-,,,,,,
"Cormack, Joe",,,,,,,2,-,-,-,,,,,,-,,,,2,,-,,4.0
"Gastev, John",-,1,2,1,1,1,1,6,,3,1,-,-,,,,,1,-,,2,3,-,23.0
"Glendinning, Ross",-,-,1,1,1,1,,,1,-,1,3,1,,-,-,,-,1,1,2,2,-,16.0
"Hart, David",1,2,3,-,,-,1,1,3,-,-,,,-,3,-,2,1,1,1,1,-,-,20.0
"Holmes, Don",,,,,,,,,1,,,,,1,1,,,,2,-,3,,,8.0
"Hutton, Brent",,,,-,,,,,,-,,,,1,-,1,-,1,-,,,,,3.0
"Ishchenko, Alex",2,4,1,3,1,3,2,1,,,1,3,2,-,,,,,,,,,,23.0
"Keene, Laurie",,,,-,,,,1,3,-,,,,,,2,3,4,2,4,2,2,3,26.0
"Laidley, Dani",,4,-,2,-,4,2,1,,,,1,,,,,,,,,2,-,-,16.0
"Lamb, Dwayne",2,1,-,-,1,1,-,-,1,-,1,-,2,1,2,2,-,4,-,-,1,3,3,25.0
"Langdon, Karl",1,1,1,,,-,1,-,3,,,,,,,1,1,-,1,,1,5,-,16.0
"Lewis, Chris",,,,,,1,1,1,,,-,-,-,-,,,,,-,-,2,-,1,6.0
"Lockyer, Andrew",1,1,1,,1,1,1,2,1,-,1,-,1,1,2,2,,,,,-,-,-,16.0
"Mainwaring, Chris",-,1,1,1,5,,,,5,3,1,1,2,3,3,4,2,1,-,3,2,6,4,48.0
"Malaxos, Stephen",3,,,,,,,,,,-,,,,-,-,2,2,-,5,3,1,2,18.0
"Matera, Wally",,,,,,,,,1,1,1,2,3,-,-,,,2,2,-,-,1,-,13.0
"McKenna, Guy",2,-,-,-,,,-,-,2,1,,1,1,,,1,2,1,1,2,2,1,1,18.0
"Miles, Geoff",-,1,-,2,-,2,1,2,2,2,-,-,1,-,2,1,4,-,1,-,1,-,1,23.0
"OConnell, David",,,,,,,,,,,,,,,3,,,3,1,4,1,1,-,13.0
"OConnell, Michael",2,-,1,-,2,,-,,,1,1,,2,,,,1,,,,,,,10.0
"Peos, Paul",-,,,,,,-,-,-,-,1,1,-,-,,,-,,,2,,,,4.0
"Rance, Murray",2,1,-,1,-,1,1,-,-,3,2,1,1,1,1,3,2,6,,1,1,2,5,35.0
"Scott, Phil",2,1,1,2,-,3,1,1,-,1,-,-,1,1,2,2,2,,,,,,2,22.0
"Turner, Dean",2,3,1,4,3,-,,-,,,2,1,1,3,,,,-,2,3,,,-,25.0
"Ugle, Troy",,-,-,,-,-,,,2,,,,,,,-,1,,1,,,,,4.0
"Waterman, Chris",,,,,-,,,,,,,1,1,1,2,-,,1,,,,,,6.0
"Worsfold, John",4,1,2,1,-,3,-,-,,,1,2,2,-,1,-,-,2,3,-,-,1,-,23.0
"Wrensted, Murray",1,-,2,-,1,1,1,1,1,,,,,,3,-,-,,,,,,1,12.0
"Zanotti, Mark",-,1,1,-,1,3,2,-,2,3,1,,-,-,-,,3,,,,,,,17.0
Totals,27,23,22,20,20,29,23,20,31,18,18,25,25,20,27,21,28,30,20,30,27,29,23,556.0
Opponent,GE,ES,BB,CW,FO,NM,SK,HW,CA,RI,ME,SY,FI,ES,GE,BB,FI,ME,NM,SK,CW,FO,ME,
