Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Antonowicz, David",,,,,,,,,,,,,-,,-,,,,,3,,,3.0
"Banfield, Drew",-,2,2,1,4,2,,,,-,2,1,,,5,6,3,1,1,4,5,1,40.0
"Bellotti, Laurie",,1,2,,,-,-,,,,,,,,1,2,-,-,-,,,,6.0
"Bennett, Scott",,,,,,,3,,,,,,,,,,,,,,,,3.0
"Braun, Michael",2,1,,1,1,3,1,1,2,1,-,4,2,,,,,,,,,,19.0
"Chambers, Callum",,,,,,,,,,1,-,-,,,,,,,,3,-,1,5.0
"Cousins, Ben",1,-,4,3,1,2,2,2,2,1,2,,,,,,3,3,1,2,2,3,34.0
"Crabb, Jaxon",,,,,,,2,1,1,,,,2,3,-,,,1,-,,,,10.0
"Cummings, Scott",1,-,1,-,2,1,-,1,1,1,-,1,,,,-,,,,,,,9.0
"Donnelly, Andrew",,1,,,-,,,,,3,1,3,1,-,-,2,-,-,-,-,,-,11.0
"Embley, Andrew",1,,,,,,,2,1,5,,,1,3,-,-,-,-,,2,1,3,19.0
"Fletcher, Chad",-,3,-,3,2,-,1,1,1,,,,4,-,,,-,3,2,1,1,1,23.0
"Gardiner, Michael",-,-,-,1,-,-,-,-,1,2,-,2,-,-,,,,,,,-,,6.0
"Gehrig, Fraser",-,-,1,2,1,1,-,-,2,2,1,-,,-,-,-,-,1,1,3,,,15.0
"Glass, Darren",,,,1,-,2,,2,-,1,-,3,-,,4,-,-,,,,-,-,13.0
"Green, Kasey",,,,,,,,,,,,,,,,,-,3,-,2,-,2,7.0
"Haynes, David",,,,,,,,,,,,,-,,-,,,1,-,2,-,-,3.0
"Holmes, Todd",,,,,,,,,,,,,1,,,,,,,,,,1.0
"Hunter, Adam",,,,,,,,,,,,,,,,,,,,,,-,
"Jakovich, Glen",2,2,-,-,1,-,2,1,4,-,1,-,-,-,-,3,1,-,2,3,-,3,25.0
"Jones, Rowan",,,3,2,4,3,2,2,4,3,4,2,1,3,2,2,1,1,4,3,4,6,56.0
"Kemp, Dean",2,1,,,4,-,3,7,6,1,3,3,1,7,2,2,-,3,2,2,2,5,56.0
"Lewis, Chris",,,3,1,3,,,,,,,,,,,,,,,,,,7.0
"Matera, Peter",2,-,3,2,2,3,5,,2,,3,1,,3,3,2,,,1,1,4,2,39.0
"Matera, Phillip",2,3,1,-,1,-,,2,3,1,3,4,,-,2,-,-,2,-,-,2,,26.0
"McIntosh, Ashley",-,-,3,-,1,1,-,2,2,2,2,3,-,1,-,3,-,-,-,1,1,2,24.0
"McKenna, Guy",1,2,-,,,2,1,-,,,,3,,2,,,,,,,,1,12.0
"Metropolis, Daniel",1,-,4,1,2,1,1,-,1,1,3,5,1,2,-,1,1,-,-,-,2,,27.0
"Morrison, Chad",1,-,3,1,4,4,-,-,2,-,4,2,2,1,1,3,1,1,-,1,1,1,33.0
"Munro, Kane",,,,,,,,,,,,,,,,,,,,,-,2,2.0
"OBrien, Michael",,,,,,,,,,,,,,,2,1,,,,,,,3.0
"Read, Phillip",3,1,1,1,2,1,-,-,1,,-,2,2,4,2,5,1,2,1,,1,,30.0
"Rintoul, Chad",1,-,1,-,-,2,-,1,1,-,5,-,2,2,,,1,,,,,,16.0
"Stone, Nicholas",,,,,,,,,,1,,,2,3,,,,,,,,,6.0
"Symmons, Paul",,,,,,,,-,2,-,,,,,,2,2,1,1,,,1,9.0
"Turnbull, Ryan",-,-,1,-,3,1,1,-,2,-,-,-,-,1,-,-,1,-,2,1,1,2,16.0
"White, Mitchell",1,,-,1,,,,,,,,,,-,-,3,-,-,1,2,-,2,10.0
"Williams, Andrew",-,1,-,-,,,-,,,,2,3,-,2,-,2,-,1,1,2,-,2,16.0
"Wirrpanda, David",1,-,1,-,-,-,1,5,,,,,,,,,,,,,,,8.0
"Wooden, Josh",,,,,,,,,4,1,8,4,3,5,,1,,,,1,,,27.0
Totals,22,18,34,21,38,29,25,30,45,27,44,46,25,42,24,40,15,24,20,39,27,40,675.0
Opponent,KA,SY,SK,AD,GE,FR,ME,WB,RI,HW,CW,CA,BL,PA,ES,KA,SY,SK,AD,GE,FR,ME,
