Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,Tot
"Armstrong, Steven",,,,-,-,-,-,,-,-,,,,-,-,,1,-,-,1,-,-,2.0
"Braun, Michael",-,-,-,-,-,-,-,-,-,-,1,,-,,-,,-,-,-,-,-,,1.0
"Butler, Sam",,,,,,,,,,,-,1,-,,,,,,,,-,1,2.0
"Cox, Dean",1,-,1,-,1,1,-,-,-,-,1,-,-,-,2,1,-,-,-,-,-,1,9.0
"Davis, Ryan",,,,,,,,-,1,,-,1,,-,-,-,,,-,-,-,-,2.0
"Ebert, Brad",,-,-,,,-,1,-,2,-,,-,-,-,-,-,1,-,,-,,,4.0
"Embley, Andrew",-,-,-,,1,-,1,-,2,2,-,1,1,-,1,-,-,-,1,-,1,-,11.0
"Fletcher, Chad",-,-,-,,-,,-,-,-,-,-,,-,,,1,-,-,-,-,-,-,1.0
"Glass, Darren",1,1,-,-,-,-,-,-,1,-,-,-,1,1,2,1,,-,-,1,-,1,10.0
"Graham, Jaymie",1,-,,,,,1,-,,,-,,,1,,,,,,,,,3.0
"Hansen, Ashley",2,-,-,-,,,,,,,,,1,1,2,2,2,1,1,,-,-,12.0
"Houlihan, Tim",,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,
"Hunter, Adam",-,-,2,1,1,-,,,,,2,3,5,1,-,,,,,,,,15.0
"Hurn, Shannon",-,1,-,-,-,-,,,,,,,,,,,,,,,,,1.0
"Jones, Brett",2,1,-,3,1,-,-,-,1,-,-,-,-,,-,,,,,,,,8.0
"Jones, Chad",,,,,-,-,-,,,,,,,,,,,,,,,,
"Kennedy, Josh",,,,,,2,2,-,1,2,,,,,-,2,,,,,,,9.0
"Kerr, Daniel",-,-,1,-,-,-,,,,-,2,,-,-,-,,,,,,,,3.0
"LeCras, Mark",-,,,,,,,,,,,-,-,-,-,-,3,1,1,-,,1,6.0
"Lynch, Quinten",-,1,-,-,3,-,1,1,-,3,3,-,1,-,1,1,-,1,1,2,1,2,22.0
"Mackenzie, Eric",,,,,,,,,,,,,,,,1,-,-,-,-,1,-,2.0
"Maister, Beau",,,,,,,,,1,2,-,1,-,1,1,-,-,-,2,1,-,1,10.0
"Masten, Chris",,-,,-,-,-,-,-,-,,-,-,,,,,,,,,,,
"McKinley, Ben",,,1,1,3,1,-,-,-,-,,,-,2,2,1,-,2,1,1,1,1,17.0
"McNamara, Jamie",,,,-,,,-,,,,,1,,-,,1,-,-,1,1,-,-,4.0
"Nicoski, Mark",-,-,-,-,-,,1,-,,,-,2,-,-,-,-,1,-,-,-,-,-,4.0
"Notte, Tony",,,,,,,,,,,,,,,,,,,,-,-,,
"Priddis, Matt",-,-,1,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0
"Rosa, Matt",-,,,-,-,-,-,-,2,-,,,,,,,,,,,,,2.0
"Schofield, Will",,,,,,-,-,-,1,2,,-,-,-,,,,,,,,-,3.0
"Seaby, Mark",2,1,-,-,-,,,-,,,1,-,,,,,1,1,-,1,2,-,9.0
"Selwood, Adam",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,3.0
"Selwood, Scott",,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,
"Spangher, Matthew",,,,1,-,,,,,,,,,,,,-,,1,-,-,-,2.0
"Staker, Brent",-,-,1,-,,2,,1,-,1,2,-,,-,,1,-,-,,,,,8.0
"Stenglein, Tyson",-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,4.0
"Waters, Beau",2,-,-,-,1,-,-,,,-,,,,,,,,,,,,,3.0
"Wirrpanda, David",1,-,-,,-,2,-,-,-,-,-,1,-,,1,-,1,-,3,,,,9.0
Totals,12,5,7,7,11,8,7,3,13,14,12,11,9,7,12,12,10,6,13,9,6,8,202.0
Opponent,BL,AD,FR,SY,PA,WB,CA,NM,AD,CW,SY,ES,GE,HW,RI,BL,SK,FR,ES,ME,HW,GE,
