Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Barrass, Tom",,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,,,-,-,-,-,
"Butler, Sam",,,,-,-,-,-,-,-,-,-,,,-,,,,,,,,,,,
"Cole, Tom",,,,,,,,,,,,-,-,-,,,-,,,,,,,,
"Cripps, Jamie",-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Darling, Jack",3,2,-,,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,1,-,-,9.0
"Duggan, Liam",,,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Gaff, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Giles, Jonathan",,16,22,36,,17,18,,,,,,,,,,,,,,,,,,109.0
"Hill, Josh",-,-,-,-,-,-,-,-,,-,-,,-,,,,,,,,-,,,,
"Hurn, Shannon",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,
"Hutchings, Mark",-,-,-,,,,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Jetta, Lewis",-,,-,,,,,,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"Karpany, Malcolm",,,,,,,,,,-,,,-,-,-,,,-,-,,,,,,
"Kennedy, Josh",-,-,2,-,2,-,-,-,1,-,,,,,,-,-,-,-,-,-,-,-,-,5.0
"LeCras, Mark",-,-,-,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,
"Lycett, Scott",,,,,,,,,,,,,,,18,,,,,,,,,,18.0
"Mackenzie, Eric",-,,,,,,,,,,-,-,-,-,-,,,-,-,-,-,-,-,-,
"Masten, Chris",-,-,-,-,-,-,-,-,-,-,,,,-,,-,,,-,,,,,,
"McGovern, Jeremy",-,-,-,-,11,-,-,-,4,-,-,9,-,7,-,-,-,13,6,-,-,-,-,-,50.0
"McInnes, Fraser",,,,,,,,15,5,,,,,,,,,,,,,,,,20.0
"Mitchell, Sam",-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,
"Mutimer, Kurt",,,,,,-,-,-,-,,,,,,,,,,,,,,,,
"Nelson, Jackson",-,-,-,-,-,,,,,-,-,-,,,,-,-,-,-,-,,,,,
"Partington, Luke",,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,
"Petrie, Drew",10,,,,,,,,,9,21,-,8,9,1,11,15,25,15,9,16,10,18,18,195.0
"Priddis, Matt",-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,-,-,-,-,-,
"Redden, Jack",-,-,-,-,-,-,-,-,-,,,,,-,,-,-,-,-,-,-,-,-,-,
"Schofield, Will",,,,-,-,,,,,-,-,-,-,,,-,-,-,-,,,,,,
"Sheed, Dom",,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sheppard, Brad",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shuey, Luke",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Vardy, Nathan",16,20,28,22,27,8,12,21,22,32,14,31,33,16,14,32,16,,,35,31,31,24,33,518.0
"Wellingham, Sharrod",-,-,-,-,-,-,-,-,-,,,,,-,-,,,,,-,,,,-,
"Yeo, Elliot",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,
Totals,29,38,52,58,40,25,30,36,32,42,35,40,41,32,33,43,31,38,23,44,47,42,42,51,924.0
Opponent,NM,SK,RI,SY,HW,FR,PA,WB,ES,GW,GC,GE,ME,WB,PA,FR,CW,BL,SK,CA,GW,AD,PA,GW,
