Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Ah Chee, Brendon",,,,,,,,,,,,,,,8,,,,,,,,,,8.0
"Allen, Oscar",2,2,4,5,1,2,5,8,5,1,7,,9,6,6,7,6,6,11,5,4,7,,,109.0
"Barrass, Tom",5,9,8,16,,,,,,,,,,,5,9,6,5,8,9,7,7,13,3,110.0
"Brander, Jarrod",6,,,,,8,,,,,,,,,,,,,,,,,,,14.0
"Cameron, Jarrod",,,,,,,,,,,,,5,4,5,13,2,3,6,,,,,,38.0
"Cole, Tom",4,13,7,10,12,3,12,1,8,1,7,5,,,,14,5,,,,,,,,102.0
"Cripps, Jamie",,,10,18,2,6,8,7,10,5,12,4,10,7,7,1,,,,8,10,5,12,6,148.0
"Darling, Jack",4,5,2,2,4,3,3,8,5,4,5,5,6,4,3,4,5,9,5,11,3,4,5,4,113.0
"Duggan, Liam",10,19,,12,9,11,9,18,12,6,15,9,10,5,8,,,,,,,16,,,169.0
"Gaff, Andrew",,,23,28,22,19,26,24,21,24,24,13,24,23,20,23,18,23,24,24,11,24,25,23,486.0
"Hickey, Tom",1,6,4,4,2,12,,,3,,,6,8,1,6,7,4,2,7,6,6,4,1,2,92.0
"Hurn, Shannon",8,11,15,11,19,13,16,19,22,7,13,,9,5,15,6,,,15,13,15,15,9,18,274.0
"Hutchings, Mark",3,10,6,9,9,5,8,13,9,4,16,6,7,3,,,,,,10,3,,7,4,132.0
"Jetta, Lewis",10,11,13,,18,11,15,4,9,,19,15,16,8,9,7,9,16,9,10,11,16,12,15,263.0
"Kennedy, Josh",,10,4,6,1,2,5,2,6,4,6,4,5,2,,4,2,4,3,1,5,3,5,5,89.0
"Masten, Chris",8,18,11,12,9,12,10,,,,,,12,7,16,14,19,17,18,,,14,15,7,219.0
"McGovern, Jeremy",5,10,7,12,13,7,11,5,13,6,10,5,7,,10,9,1,2,9,8,11,8,5,9,183.0
"Naitanui, Nic",,,,,,,,,,,,,,2,2,3,,,,,,,8,3,18.0
"Nelson, Jackson",,,,,,,,,,3,,,8,9,7,11,4,19,7,7,10,8,9,7,109.0
"Petruccelle, Jack",8,12,7,5,14,4,10,9,5,5,8,3,6,,,,2,9,10,7,4,6,,7,141.0
"Redden, Jack",13,15,9,21,13,,14,8,12,13,15,10,24,15,13,20,11,17,11,16,8,10,19,6,313.0
"Rioli, Junior",,,,,,,,,5,6,14,9,,2,7,5,11,16,6,15,3,10,11,,120.0
"Rotham, Josh",,,6,15,,,,,,,,8,,,,,,,,,11,,,,40.0
"Ryan, Liam",4,7,6,5,7,4,3,7,7,3,6,8,6,6,3,7,3,5,9,6,5,7,10,7,141.0
"Schofield, Will",,,,,11,2,9,3,,3,7,10,5,1,,,,6,6,6,,,5,2,76.0
"Sheed, Dom",16,21,16,9,18,11,22,15,21,12,15,16,23,14,10,18,19,22,11,14,9,19,15,8,374.0
"Sheppard, Brad",13,15,18,21,16,9,22,17,11,11,20,14,14,10,16,18,17,16,21,15,14,13,18,8,367.0
"Shuey, Luke",15,19,16,12,18,11,17,16,11,15,22,15,21,17,8,14,13,13,21,11,14,20,20,16,375.0
"Smith, Josh",,11,,,,,,,,,,5,,,,,,,,,,,,,16.0
"Vardy, Nathan",1,3,2,6,2,,3,6,3,2,5,-,,,,,,,,,,,,,33.0
"Venables, Daniel",4,8,,,,3,9,7,1,,,,,,,,,,,,,,,,32.0
"Waterman, Jake",5,,,,,,,12,,4,15,5,,,,,6,7,11,8,6,15,13,8,115.0
"Watson, Francis",,,,,,,,,,,,,,,,,11,9,,,,,,,20.0
"Yeo, Elliot",14,9,12,18,5,13,16,11,10,11,10,,12,7,7,16,4,12,11,12,8,12,12,11,253.0
Totals,159,244,206,257,225,171,253,220,209,150,271,175,247,158,191,230,178,238,239,222,178,243,249,179,5092.0
Opponent,BL,GW,CW,FR,PA,GE,GC,SK,ME,AD,WB,SY,ES,HW,FR,CW,ME,NM,CA,AD,RI,HW,ES,GE,
